ligand,target,vina_mode,rtmscore
EH40_11,3POZ,5,27.44263429197833
EH40_31,3POZ,3,27.38222567445816
EH40_30,3POZ,2,27.382184643628875
EH40_04,3POZ,9,27.338974558078515
EH40_18,3POZ,6,27.306039494983096
EH40_09,3POZ,7,27.30143653413383
EH40_22,3POZ,7,26.941760172903987
EH40_27,3POZ,8,26.644235600309297
EH40_08,3POZ,1,26.608504000864613
EH40_08,3POZ,9,26.5865887500128
EH40_39,3POZ,4,26.5314420989966
EH40_18,3POZ,7,26.4578926417256
EH40_40,3POZ,3,26.244590682121668
EH40_11,3POZ,9,25.957413948257063
EH40_27,3POZ,5,25.9497199141674
EH40_05,3POZ,6,25.949220801451844
EH40_34,3POZ,8,25.68837074117444
EH40_29,3POZ,6,25.67747319016654
EH40_37,3POZ,9,25.601755218414464
EH40_12,3POZ,6,25.595704165877045
EH40_28,3POZ,5,25.43561308057087
EH40_27,3POZ,4,25.39634736954886
EH40_35,3POZ,9,25.36287108663336
EH40_38,3POZ,5,25.300176579758755
EH40_32,3POZ,7,25.250508047837084
EH40_28,3POZ,2,25.24036404900667
EH40_16,3POZ,7,25.147368786824387
EH40_31,3POZ,8,25.118497835578168
EH40_28,3POZ,3,24.95104974555553
EH40_27,3POZ,6,24.91025350659783
EH40_36,3POZ,3,24.8618400097954
EH40_36,3POZ,1,24.854752754719
EH40_35,3POZ,3,24.78626550392938
EH40_35,3POZ,1,24.752170450713937
EH40_05,3POZ,4,24.751822740861897
EH40_37,3POZ,7,24.74973772335031
EH40_34,3POZ,6,24.658571548638157
EH40_28,3POZ,8,24.586572675075463
EH40_05,3POZ,3,24.4671885894606
EH40_01,3POZ,6,24.4534464671424
EH40_13,3POZ,3,24.35553507526575
EH40_20,3POZ,1,24.32735929125105
EH40_09,3POZ,3,24.3188421139872
EH40_31,3POZ,5,24.30622174322605
EH40_11,3POZ,4,24.27344460730456
EH40_35,3POZ,7,24.18246629176538
EH40_34,3POZ,9,24.15436302703401
