ligand,target,vina_mode,vina_score
EH40_09,3RCD,2,-9.632
EH40_09,3RCD,3,-9.547
EH40_09,3RCD,4,-9.272
EH40_09,3RCD,5,-9.19
EH40_09,3RCD,6,-9.057
EH40_09,3RCD,7,-9.042
EH40_09,3RCD,8,-8.903
EH40_09,3RCD,9,-8.536
EH40_10,3POZ,1,-8.831
EH40_10,3POZ,2,-8.754
EH40_10,3POZ,3,-8.752
EH40_10,3POZ,4,-8.379
EH40_10,3POZ,5,-8.274
EH40_10,3POZ,6,-8.249
EH40_10,3POZ,7,-8.15
EH40_10,3POZ,8,-8.15
EH40_10,3POZ,9,-8.12
EH40_10,3RCD,1,-8.457
EH40_10,3RCD,2,-8.175
EH40_10,3RCD,3,-8.166
EH40_10,3RCD,4,-8.103
EH40_10,3RCD,5,-8.03
EH40_10,3RCD,6,-7.81
EH40_10,3RCD,7,-7.663
EH40_10,3RCD,8,-7.58
EH40_10,3RCD,9,-7.507
EH40_11,3POZ,1,-10.424
EH40_11,3POZ,2,-9.936
EH40_11,3POZ,3,-9.89
EH40_11,3POZ,4,-9.714
EH40_11,3POZ,5,-9.647
EH40_11,3POZ,6,-9.543
EH40_11,3POZ,7,-9.534
EH40_11,3POZ,8,-9.473
EH40_11,3POZ,9,-9.472
EH40_11,3RCD,1,-10.444
EH40_11,3RCD,2,-10.331
EH40_11,3RCD,3,-10.187
EH40_11,3RCD,4,-10.066
EH40_11,3RCD,5,-9.82
EH40_11,3RCD,6,-9.293
EH40_11,3RCD,7,-9.115
EH40_11,3RCD,8,-8.918
EH40_11,3RCD,9,-8.553
EH40_12,3POZ,1,-9.735
EH40_12,3POZ,2,-9.431
EH40_12,3POZ,3,-9.386
EH40_12,3POZ,4,-9.379
EH40_12,3POZ,5,-9.03
EH40_12,3POZ,6,-8.856
EH40_12,3POZ,7,-8.844
EH40_12,3POZ,8,-8.8
EH40_12,3POZ,9,-8.676
EH40_12,3RCD,1,-10.564
EH40_12,3RCD,2,-10.154
EH40_12,3RCD,3,-9.12
EH40_12,3RCD,4,-8.949
EH40_12,3RCD,5,-8.9
EH40_12,3RCD,6,-8.464
EH40_12,3RCD,7,-8.423
EH40_12,3RCD,8,-8.231
EH40_12,3RCD,9,-8.121
EH40_13,3POZ,1,-10.119
EH40_13,3POZ,2,-9.889
EH40_13,3POZ,3,-9.868
EH40_13,3POZ,4,-9.568
EH40_13,3POZ,5,-9.49
EH40_13,3POZ,6,-9.398
EH40_13,3POZ,7,-9.225
EH40_13,3POZ,8,-9.009
EH40_13,3POZ,9,-8.954
EH40_13,3RCD,1,-9.54
EH40_13,3RCD,2,-9.15
EH40_13,3RCD,3,-9.13
EH40_13,3RCD,4,-8.901
EH40_13,3RCD,5,-8.588
EH40_13,3RCD,6,-8.403
EH40_13,3RCD,7,-8.393
EH40_13,3RCD,8,-8.357
EH40_13,3RCD,9,-8.316
EH40_14,3POZ,1,-7.019
EH40_14,3POZ,2,-7.001
EH40_14,3POZ,3,-6.798
EH40_14,3POZ,4,-6.578
EH40_14,3POZ,5,-6.553
EH40_14,3POZ,6,-6.388
EH40_14,3POZ,7,-6.284
EH40_14,3POZ,8,-6.248
EH40_14,3POZ,9,-6.231
EH40_14,3RCD,1,-7.534
EH40_14,3RCD,2,-7.276
EH40_14,3RCD,3,-7.269
EH40_14,3RCD,4,-7.033
EH40_14,3RCD,5,-6.973
EH40_14,3RCD,6,-6.786
EH40_14,3RCD,7,-6.7
EH40_14,3RCD,8,-6.555
EH40_14,3RCD,9,-6.489
EH40_15,3POZ,1,-8.302
EH40_15,3POZ,2,-8.122
EH40_15,3POZ,3,-8.046
EH40_15,3POZ,4,-7.799
EH40_15,3POZ,5,-7.693
EH40_15,3POZ,6,-7.682
EH40_15,3POZ,7,-7.535
EH40_15,3POZ,8,-7.451
EH40_15,3POZ,9,-7.422
EH40_15,3RCD,1,-8.91
EH40_15,3RCD,2,-8.033
EH40_15,3RCD,3,-7.894
EH40_15,3RCD,4,-7.69
EH40_15,3RCD,5,-7.523
EH40_15,3RCD,6,-7.345
EH40_15,3RCD,7,-7.294
EH40_15,3RCD,8,-7.256
EH40_15,3RCD,9,-7.238
EH40_16,3POZ,1,-10.543
EH40_16,3POZ,2,-10.484
EH40_16,3POZ,3,-10.376
EH40_16,3POZ,4,-10.302
EH40_16,3POZ,5,-10.254
EH40_16,3POZ,6,-10.179
EH40_16,3POZ,7,-9.81
EH40_16,3POZ,8,-9.791
EH40_16,3POZ,9,-9.675
EH40_16,3RCD,1,-10.178
EH40_16,3RCD,2,-10.17
EH40_16,3RCD,3,-10.119
EH40_16,3RCD,4,-9.971
EH40_16,3RCD,5,-9.624
EH40_16,3RCD,6,-9.488
EH40_16,3RCD,7,-9.44
EH40_16,3RCD,8,-9.049
EH40_16,3RCD,9,-9.018
EH40_17,3POZ,1,-9.219
EH40_17,3POZ,2,-8.581
EH40_17,3POZ,3,-8.566
EH40_17,3POZ,4,-8.42
EH40_17,3POZ,5,-8.354
EH40_17,3POZ,6,-8.323
EH40_17,3POZ,7,-8.238
EH40_17,3POZ,8,-8.155
EH40_17,3POZ,9,-7.989
EH40_17,3RCD,1,-8.408
EH40_17,3RCD,2,-8.029
EH40_17,3RCD,3,-8.01
EH40_17,3RCD,4,-7.955
EH40_17,3RCD,5,-7.761
EH40_17,3RCD,6,-7.702
EH40_17,3RCD,7,-7.557
EH40_17,3RCD,8,-7.203
EH40_17,3RCD,9,-7.183
EH40_18,3POZ,1,-10.303
EH40_18,3POZ,2,-10.111
EH40_18,3POZ,3,-10.075
EH40_18,3POZ,4,-9.821
EH40_18,3POZ,5,-9.671
EH40_18,3POZ,6,-9.58
EH40_18,3POZ,7,-9.432
EH40_18,3POZ,8,-9.405
EH40_18,3POZ,9,-9.392
EH40_18,3RCD,1,-12.371
EH40_18,3RCD,2,-11.927
EH40_18,3RCD,3,-10.934
EH40_18,3RCD,4,-10.767
EH40_18,3RCD,5,-10.603
EH40_18,3RCD,6,-10.435
EH40_18,3RCD,7,-10.226
EH40_18,3RCD,8,-10.18
EH40_18,3RCD,9,-10.022
EH40_19,3POZ,1,-8.367
EH40_19,3POZ,2,-8.286
EH40_19,3POZ,3,-8.22
EH40_19,3POZ,4,-8.134
EH40_19,3POZ,5,-8.097
EH40_19,3POZ,6,-8.044
EH40_19,3POZ,7,-7.862
EH40_19,3POZ,8,-7.677
EH40_19,3POZ,9,-7.585
EH40_19,3RCD,1,-8.455
EH40_19,3RCD,2,-8.403
EH40_19,3RCD,3,-8.057
EH40_19,3RCD,4,-7.995
EH40_19,3RCD,5,-7.906
EH40_19,3RCD,6,-7.802
EH40_19,3RCD,7,-7.8
EH40_19,3RCD,8,-7.765
EH40_19,3RCD,9,-7.764
EH40_20,3POZ,1,-10.235
EH40_20,3POZ,2,-9.852
EH40_20,3POZ,3,-9.44
EH40_20,3POZ,4,-9.437
EH40_20,3POZ,5,-9.257
EH40_20,3POZ,6,-9.235
EH40_20,3POZ,7,-9.153
EH40_20,3POZ,8,-8.907
EH40_20,3POZ,9,-8.861
EH40_20,3RCD,1,-9.818
EH40_20,3RCD,2,-9.584
EH40_20,3RCD,3,-9.038
EH40_20,3RCD,4,-8.8
EH40_20,3RCD,5,-8.649
EH40_20,3RCD,6,-8.515
EH40_20,3RCD,7,-8.505
EH40_20,3RCD,8,-8.433
EH40_20,3RCD,9,-8.3
EH40_21,3POZ,1,-9.413
EH40_21,3POZ,2,-9.28
EH40_21,3POZ,3,-8.771
EH40_21,3POZ,4,-8.713
EH40_21,3POZ,5,-8.666
EH40_21,3POZ,6,-8.565
EH40_21,3POZ,7,-8.557
EH40_21,3POZ,8,-8.386
EH40_21,3POZ,9,-8.27
EH40_21,3RCD,1,-8.862
EH40_21,3RCD,2,-8.812
EH40_21,3RCD,3,-8.619
