ligand,class,pref_name,molecule_chembl_id,3POZ_affinity,3RCD_affinity,rtm_3POZ,rtm_mode_3POZ,rtm_3RCD,rtm_mode_3RCD,vina_3POZ_hb,vina_3RCD_hb,vina_mean,vina_min,rtm_mean,rtm_min,rtm_3POZ_z,rtm_3RCD_z,rtm_min_z,prep
EH40_01,dual,TAK-285,CHEMBL1614725,-9.733,-9.911,96.01482106466442,1,110.4543258716863,1,9.733,9.911,9.822,9.733,103.23457346817536,96.01482106466442,3.347649255798182,2.37386126368263,2.37386126368263,rdkit_meeko
EH40_02,dual,LAPATINIB,CHEMBL554,-10.71,-10.616,75.86502366938002,4,100.4414836740084,1,10.71,10.616,10.663,10.616,88.15325367169422,75.86502366938002,2.017098895155405,1.90734067566529,1.90734067566529,rdkit_meeko
EH40_03,dual,,CHEMBL5977738,-10.083,-8.426,34.64577469165665,1,24.23259732498766,9,10.083,8.426,9.2545,8.426,29.439186008322153,24.23259732498766,-0.7047292958103911,-1.6434008390603665,-1.6434008390603665,rdkit_meeko
EH40_04,dual,,CHEMBL2006715,-11.825,-11.208,44.51945295911753,7,53.50035819804301,2,11.825,11.208,11.5165,11.208,49.00990557858027,44.51945295911753,-0.05274129206424225,-0.2797507641979848,-0.2797507641979848,rdkit_meeko
EH40_05,dual,CP-724714,CHEMBL483321,-10.237,-9.411,33.71417797191255,8,80.88631746641654,8,10.237,9.411,9.824,9.411,57.300247719164545,33.71417797191255,-0.7662453660275153,0.9962219884998937,-0.7662453660275153,rdkit_meeko
EH40_06,dual,,CHEMBL3911796,-9.942,-10.084,42.36587190179503,5,98.0397286503442,1,9.942,10.084,10.013,9.942,70.20280027606961,42.36587190179503,-0.1949485806181458,1.795437567257842,-0.1949485806181458,rdkit_meeko
EH40_07,dual,,CHEMBL257816,-9.329,-9.63,63.26309818517522,5,60.57348968849108,2,9.329,9.63,9.479500000000002,9.329,61.91829393683315,60.57348968849108,1.1849567068807898,0.049802163622355115,0.049802163622355115,rdkit_meeko
EH40_08,dual,,CHEMBL193681,-9.245,-10.04,47.89045520653652,5,61.66178980155748,2,9.245,10.04,9.642499999999998,9.245,54.776122504047,47.89045520653652,0.16985589678295834,0.10050848642896253,0.10050848642896253,rdkit_meeko
EH40_09,dual,,CHEMBL175556,-10.857,-10.004,50.143606037350985,2,42.33542548171974,7,10.857,10.004,10.430499999999999,10.004,46.239515759535365,42.33542548171974,0.3186380702069131,-0.7999498118970612,-0.7999498118970612,rdkit_meeko
EH40_10,dual,,CHEMBL604094,-8.831,-8.457,34.63939095747695,8,72.99845131840598,4,8.831,8.457,8.644,8.457,53.818921137941466,34.63939095747695,-0.7051508325458937,0.6287087608945131,-0.7051508325458937,rdkit_meeko
