ligand,class,pref_name,molecule_chembl_id,3POZ_affinity,3RCD_affinity,rtm_3POZ,rtm_mode_3POZ,rtm_3RCD,rtm_mode_3RCD,vina_3POZ_hb,vina_3RCD_hb,vina_mean,vina_min,rtm_mean,rtm_min,rtm_3POZ_z,rtm_3RCD_z,rtm_min_z,prep
EH40_11,dual,,CHEMBL3977326,-10.424,-10.444,33.56574445458018,8,61.64870960802277,2,10.424,10.444,10.434000000000001,10.424,47.60722703130148,33.56574445458018,-0.7760468675584578,0.09989905111991414,-0.7760468675584578,rdkit_meeko
EH40_12,dual,,CHEMBL402011,-9.735,-10.564,64.34437399799914,1,59.93764699980856,1,9.735,10.564,10.1495,9.735,62.14101049890385,59.93764699980856,1.256356527657344,0.020176838549371343,0.020176838549371343,rdkit_meeko
EH40_13,dual,,CHEMBL3680374,-10.119,-9.54,37.7295487498466,7,45.912119261693874,9,10.119,9.54,9.8295,9.54,41.82083400577024,37.7295487498466,-0.5010986287235983,-0.6333036935972576,-0.6333036935972576,rdkit_meeko
EH40_14,dual,,CHEMBL5204650,-7.019,-7.534,32.38257284521826,4,22.870623764419623,8,7.019,7.534,7.2765,7.019,27.62659830481894,22.870623764419623,-0.8541751673450954,-1.7068582164759045,-1.7068582164759045,rdkit_meeko
EH40_15,dual,,CHEMBL1645469,-8.302,-8.91,47.036335710055816,7,61.720806234563526,2,8.302,8.91,8.606,8.302,54.378570972309674,47.036335710055816,0.1134558753941383,0.10325819330390462,0.10325819330390462,rdkit_meeko
EH40_16,A_only,,CHEMBL2325101,-10.543,-10.178,44.89251312940165,6,39.93985624853908,5,10.543,10.178,10.3605,10.178,42.41618468897036,39.93985624853908,-0.028107032256292182,-0.9115647105677773,-0.9115647105677773,rdkit_meeko
EH40_17,A_only,,CHEMBL91925,-9.219,-8.408,37.64313037334304,4,62.88380176330376,6,9.219,8.408,8.8135,8.408,50.263466068323396,37.64313037334304,-0.5068050881865547,0.1574447416603001,-0.5068050881865547,rdkit_meeko
EH40_18,A_only,,CHEMBL2000832,-10.303,-12.371,30.76960618528285,1,46.03566889832327,1,10.303,12.371,11.337,10.303,38.40263754180306,30.76960618528285,-0.9606840978807489,-0.627547241234207,-0.9606840978807489,rdkit_meeko
EH40_19,A_only,,CHEMBL589560,-8.367,-8.455,32.861979570008685,2,33.15045124036783,1,8.367,8.455,8.411000000000001,8.367,33.00621540518826,32.861979570008685,-0.8225185318935772,-1.2278981905295892,-1.2278981905295892,rdkit_meeko
EH40_20,A_only,,CHEMBL3357639,-10.235,-9.818,42.49106126091406,9,45.17823233657308,9,10.235,9.818,10.026499999999999,9.818,43.83464679874357,42.49106126091406,-0.18668195918981118,-0.6674971177106418,-0.6674971177106418,rdkit_meeko
EH40_21,A_only,,CHEMBL2112370,-9.413,-8.862,40.59718073794564,5,71.61920902775779,8,9.413,8.862,9.1375,8.862,56.10819488285172,40.59718073794564,-0.3117404579635846,0.5644467949363559,-0.3117404579635846,rdkit_meeko
EH40_22,A_only,,CHEMBL1081849,-10.18,-9.946,40.41843408024804,5,53.47292757008457,1,10.18,9.946,10.062999999999999,9.946,46.945680825166306,40.41843408024804,-0.32354362527080993,-0.2810288181643025,-0.32354362527080993,rdkit_meeko
EH40_23,A_only,,CHEMBL3633938,-11.352,-10.945,65.91810777616817,7,97.14941181290057,1,11.352,10.945,11.1485,10.945,81.53375979453438,65.91810777616817,1.3602747956687413,1.753955725606301,1.3602747956687413,rdkit_meeko
EH40_24,A_only,,CHEMBL602328,-7.308,-7.395,21.070613912939365,8,31.907946614659597,6,7.308,7.395,7.3515,7.308,26.48928026379948,21.070613912939365,-1.6011370718078344,-1.2857892445536003,-1.6011370718078344,rdkit_meeko
EH40_25,A_only,,CHEMBL289959,-7.892,-8.151,19.896400047697373,6,68.54441613572318,3,7.892,8.151,8.0215,7.892,44.220408091710276,19.896400047697373,-1.6786738654152535,0.4211853553067379,-1.6786738654152535,rdkit_meeko
EH40_26,A_only,,CHEMBL371863,-7.499,-7.817,36.69947656890007,6,53.6846541140293,1,7.499,7.817,7.6579999999999995,7.499,45.192065341464684,36.69947656890007,-0.569117323153114,-0.27116400757107445,-0.569117323153114,rdkit_meeko
EH40_27,A_only,ALVOCIDIB,CHEMBL428690,-8.734,-9.297,40.55167608160593,2,45.20774098618591,3,8.734,9.297,9.0155,8.734,42.87970853389592,40.55167608160593,-0.31474526420138305,-0.6661222440936214,-0.6661222440936214,rdkit_meeko
EH40_28,B_only,,CHEMBL6017443,-11.307,-10.812,61.169352729057536,9,56.08355781227816,1,11.307,10.812,11.0595,10.812,58.62645527066785,56.08355781227816,1.0467005389858453,-0.1593937487564922,-0.1593937487564922,rdkit_meeko
EH40_29,B_only,,CHEMBL1080990,-9.133,-9.338,58.587510654318514,2,52.57201877578869,1,9.133,9.338,9.235499999999998,9.133,55.5797647150536,52.57201877578869,0.8762139164022035,-0.323004162643653,-0.323004162643653,rdkit_meeko
EH40_30,B_only,SOTRASTAURIN,CHEMBL565612,-10.084,-9.73,36.85940616921984,6,30.69121311756209,2,10.084,9.73,9.907,9.73,33.77530964339096,30.69121311756209,-0.5585567014650407,-1.3424795643768732,-1.3424795643768732,rdkit_meeko
EH40_31,B_only,,CHEMBL257873,-10.115,-9.944,75.41189162583845,7,85.6074429540556,3,10.115,9.944,10.0295,9.944,80.50966728994703,75.41189162583845,1.9871772541520005,1.2161897254435372,1.2161897254435372,rdkit_meeko
EH40_32,B_only,,CHEMBL394463,-9.045,-9.727,34.47853019687645,9,62.52982729714221,2,9.045,9.727,9.386,9.045,48.504178747009334,34.47853019687645,-0.715772941484833,0.1409522839907779,-0.715772941484833,rdkit_meeko
EH40_33,B_only,,CHEMBL3814021,-10.611,-10.642,33.503115122254385,1,104.77513199867842,2,10.611,10.642,10.6265,10.611,69.1391235604664,33.503115122254385,-0.7801824664966586,2.1092549897802457,-0.7801824664966586,rdkit_meeko
EH40_34,B_only,,CHEMBL2048792,-9.632,-9.136,58.361247004973066,5,58.59462526723246,1,9.632,9.136,9.384,9.136,58.47793613610276,58.361247004973066,0.8612730624406946,-0.04239753104838103,-0.04239753104838103,rdkit_meeko
EH40_35,B_only,,CHEMBL449949,-10.393,-10.842,45.76359855388822,8,64.78888800837915,2,10.393,10.842,10.6175,10.393,55.27624328113369,45.76359855388822,0.029413299237091416,0.24620694700919007,0.029413299237091416,rdkit_meeko
EH40_36,B_only,,CHEMBL5901840,-11.18,-10.684,43.92611809357754,2,56.5627884859006,1,11.18,10.684,10.931999999999999,10.684,50.24445328973907,43.92611809357754,-0.0919209375881679,-0.1370653257932166,-0.1370653257932166,rdkit_meeko
EH40_37,B_only,,CHEMBL5542514,-10.414,-10.97,49.438866527268814,2,72.22980860990545,1,10.414,10.97,10.692,10.414,60.83433756858713,49.438866527268814,0.27210204848401026,0.5928959875315142,0.27210204848401026,rdkit_meeko
EH40_38,neither,,CHEMBL2005631,-10.073,-9.685,41.54263826487886,3,35.18778134748751,2,10.073,9.685,9.879000000000001,9.685,38.36520980618319,35.18778134748751,-0.24930911789820892,-1.132974449518338,-1.132974449518338,rdkit_meeko
EH40_39,neither,,CHEMBL1683950,-10.384,-9.938,34.62587039425505,5,51.56170268098317,2,10.384,9.938,10.161000000000001,9.938,43.09378653761911,34.62587039425505,-0.7060436350847022,-0.37007703659160796,-0.7060436350847022,rdkit_meeko
EH40_40,neither,,CHEMBL141175,-7.829,-7.941,47.12801918344843,7,43.01083839805634,5,7.829,7.941,7.885,7.829,45.06942879075238,43.01083839805634,0.11951000468360072,-0.768480821907692,-0.768480821907692,rdkit_meeko
