molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold,source_target,source_chembl_id
CHEMBL553,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4.79,1,c1ccc(Nc2ncnc3ccccc23)cc1,OCT1,CHEMBL5685
CHEMBL5285127,,C/C=C1\C2CC(=O)OC[C@@H](c3ccc(O)c(O)c3)OC[C@H]3O[C@@H](O[C@@H]1OC=C2C(=O)OC)[C@H](O)[C@@H](O)[C@@H]3O,4.33,1,C=C1C2C=COC1OC1CCCC(COC(c3ccccc3)COC(=O)C2)O1,OCT1,CHEMBL5685
CHEMBL546,OXPRENOLOL,C=CCOc1ccccc1OCC(O)CNC(C)C,4.54,1,c1ccccc1,OCT1,CHEMBL5685
CHEMBL1294,QUINIDINE,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,4.63,1,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,OCT1,CHEMBL5685
CHEMBL170,QUININE,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,4.29,1,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,OCT1,CHEMBL5685
CHEMBL157101,KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,5.58,1,c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,OCT1,CHEMBL5685
CHEMBL103,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.52,1,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,OCT1,CHEMBL5685
CHEMBL4062501,,CC(C)(C)c1ccc(N=C(N)N)cc1,6.05,1,c1ccccc1,OCT1,CHEMBL5685
CHEMBL321582,BUCINDOLOL,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1C#N,4.57,1,c1ccc(OCCCNCCc2c[nH]c3ccccc23)cc1,OCT1,CHEMBL5685
CHEMBL5280198,,CC(C)=CCc1c(O)cc(O)c2c(=O)c(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(-c3ccc(O)cc3)oc12,4.95,1,O=c1c(OC2OCCCC2OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,OCT1,CHEMBL5685
CHEMBL5266270,,CC(C)=CCc1cc(-c2cc(=O)c3c(O)cc(O)c(CC=C(C)C)c3o2)cc(O)c1O,4.4,1,O=c1cc(-c2ccccc2)oc2ccccc12,OCT1,CHEMBL5685
CHEMBL517,DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.09,1,c1ccc(Cc2ccccn2)cc1,OCT1,CHEMBL5685
CHEMBL27,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12,4.2,1,c1ccc2ccccc2c1,OCT1,CHEMBL5685
CHEMBL163,RITONAVIR,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.47,1,O=C(CNC(=O)NCc1cscn1)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,OCT1,CHEMBL5685
CHEMBL926,DOBUTAMINE,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,5.38,1,c1ccc(CCCNCCc2ccccc2)cc1,OCT1,CHEMBL5685
CHEMBL644,TRIMIPRAMINE,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,4.56,1,c1ccc2c(c1)CCc1ccccc1N2,OCT1,CHEMBL5685
CHEMBL643,PROMETHAZINE,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.46,1,c1ccc2c(c1)Nc1ccccc1S2,OCT1,CHEMBL5685
CHEMBL753,PHENOXYBENZAMINE,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,5.195,2,c1ccc(CNCCOc2ccccc2)cc1,OCT1,CHEMBL5685
CHEMBL807,MEMANTINE,CC12CC3CC(C)(C1)CC(N)(C3)C2,4.57,1,C1C2CC3CC1CC(C2)C3,OCT1,CHEMBL5685
CHEMBL658,SUFENTANIL,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,4.71,1,c1ccc(NC2CCN(CCc3cccs3)CC2)cc1,OCT1,CHEMBL5685
CHEMBL596,FENTANYL,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.34,1,c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,OCT1,CHEMBL5685
CHEMBL314437,MEPTAZINOL,CCC1(c2cccc(O)c2)CCCCN(C)C1,4.72,1,c1ccc(C2CCCCNC2)cc1,OCT1,CHEMBL5685
CHEMBL2074837,TETRAHEXYLAMMONIUM,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,5.52,1,,OCT1,CHEMBL5685
CHEMBL1236196,TETRABUTHYLAMMONIUM,CCCC[N+](CCCC)(CCCC)CCCC,4.28,1,,OCT1,CHEMBL5685
CHEMBL631,PROPAFENONE,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,4.885,2,O=C(CCc1ccccc1)c1ccccc1,OCT1,CHEMBL5685
CHEMBL2074857,TETRAPROPYLAMMONIUM,CCC[N+](CCC)(CCC)CCC,4.05,1,,OCT1,CHEMBL5685
CHEMBL1206,ETHOPROPAZINE,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,4.69,1,c1ccc2c(c1)Nc1ccccc1S2,OCT1,CHEMBL5685
CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,5.21,1,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,OCT1,CHEMBL5685
CHEMBL86,METOCLOPRAMIDE,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,4.02,1,c1ccccc1,OCT1,CHEMBL5685
CHEMBL253592,CAMYLOFIN,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,5.04,1,c1ccccc1,OCT1,CHEMBL5685
CHEMBL73234,CARBETAPENTANE,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,5.81,1,c1ccc(C2CCCC2)cc1,OCT1,CHEMBL5685
CHEMBL1197556,,CCN1/C(=C/c2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,6.01,1,C1=Cc2ccccc2NC1=Cc1ccc2ccccc2[nH+]1,OCT1,CHEMBL5685
CHEMBL607,MEPERIDINE,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,4.65,1,c1ccc(C2CCNCC2)cc1,OCT1,CHEMBL5685
CHEMBL4550731,,CCOC(=O)[C@@]1(c2ccccc2)CCC=C[C@@H]1N(C)C,4.41,1,C1=CCC(c2ccccc2)CC1,OCT1,CHEMBL5685
CHEMBL1272,REPAGLINIDE,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,5.04,1,O=C(Cc1ccccc1)NCc1ccccc1N1CCCCC1,OCT1,CHEMBL5685
CHEMBL1201776,TAPENTADOL,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,4.66,1,c1ccccc1,OCT1,CHEMBL5685
