target,ligand_id,job_key,seed,log_path,source,match_ok
3RCD,EH40_14,3RCD_EH40_14,-1901907151,/home/gwj/vina_work/logs/3RCD_EH40_14.log,log,True
3RCD,EH40_15,3RCD_EH40_15,-1119136424,/home/gwj/vina_work/logs/3RCD_EH40_15.log,log,True
3RCD,EH40_16,3RCD_EH40_16,755323306,/home/gwj/vina_work/logs/3RCD_EH40_16.log,log,True
3RCD,EH40_17,3RCD_EH40_17,-625518981,/home/gwj/vina_work/logs/3RCD_EH40_17.log,log,True
3RCD,EH40_18,3RCD_EH40_18,-2005322927,/home/gwj/vina_work/logs/3RCD_EH40_18.log,log,True
3RCD,EH40_19,3RCD_EH40_19,-741897484,/home/gwj/vina_work/logs/3RCD_EH40_19.log,log,True
3RCD,EH40_20,3RCD_EH40_20,1484624527,/home/gwj/vina_work/logs/3RCD_EH40_20.log,log,True
3RCD,EH40_21,3RCD_EH40_21,-1149165720,/home/gwj/vina_work/logs/3RCD_EH40_21.log,log,True
3RCD,EH40_22,3RCD_EH40_22,1652935012,/home/gwj/vina_work/logs/3RCD_EH40_22.log,log,True
3RCD,EH40_23,3RCD_EH40_23,1037079047,/home/gwj/vina_work/logs/3RCD_EH40_23.log,log,True
3RCD,EH40_24,3RCD_EH40_24,1989635034,/home/gwj/vina_work/logs/3RCD_EH40_24.log,log,True
3RCD,EH40_25,3RCD_EH40_25,-1031046803,/home/gwj/vina_work/logs/3RCD_EH40_25.log,log,True
3RCD,EH40_26,3RCD_EH40_26,836314591,/home/gwj/vina_work/logs/3RCD_EH40_26.log,log,True
3RCD,EH40_27,3RCD_EH40_27,-1352614953,/home/gwj/vina_work/logs/3RCD_EH40_27.log,log,True
3RCD,EH40_28,3RCD_EH40_28,121330477,/home/gwj/vina_work/logs/3RCD_EH40_28.log,log,True
3RCD,EH40_29,3RCD_EH40_29,2077566095,/home/gwj/vina_work/logs/3RCD_EH40_29.log,log,True
3RCD,EH40_30,3RCD_EH40_30,621864150,/home/gwj/vina_work/logs/3RCD_EH40_30.log,log,True
3RCD,EH40_31,3RCD_EH40_31,2047000999,/home/gwj/vina_work/logs/3RCD_EH40_31.log,log,True
3RCD,EH40_32,3RCD_EH40_32,-1744938166,/home/gwj/vina_work/logs/3RCD_EH40_32.log,log,True
3RCD,EH40_33,3RCD_EH40_33,2134096236,/home/gwj/vina_work/logs/3RCD_EH40_33.log,log,True
3RCD,EH40_34,3RCD_EH40_34,1336009969,/home/gwj/vina_work/logs/3RCD_EH40_34.log,log,True
3RCD,EH40_35,3RCD_EH40_35,-622897315,/home/gwj/vina_work/logs/3RCD_EH40_35.log,log,True
3RCD,EH40_36,3RCD_EH40_36,712765559,/home/gwj/vina_work/logs/3RCD_EH40_36.log,log,True
3RCD,EH40_37,3RCD_EH40_37,-1760479006,/home/gwj/vina_work/logs/3RCD_EH40_37.log,log,True
3RCD,EH40_38,3RCD_EH40_38,-81579190,/home/gwj/vina_work/logs/3RCD_EH40_38.log,log,True
3RCD,EH40_39,3RCD_EH40_39,-1029117169,/home/gwj/vina_work/logs/3RCD_EH40_39.log,log,True
3RCD,EH40_40,3RCD_EH40_40,-419161332,/home/gwj/vina_work/logs/3RCD_EH40_40.log,log,True
