name,chembl_id,max_phase,canonical_smiles,scaffold,mw,s_u_percentile,s_n_percentile,s_n_ml_percentile,s_n_dock_percentile,p_active_nlrp3,pains_any,brenk,qed,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok,mw_oral_ok,structurally_clean,druglike,clean_candidate,preferred_candidate,has_carboxylic_acid,nlrp3_structure_supported,nlrp3_ml_only_risk,is_known_reference,dual_structure_balance,chemistry_rank_score
LASALOCID,CHEMBL145347,2.0,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,O=C(CCCCCc1ccccc1)CC1CCC(C2CCCCO2)O1,590.8,99.65541006202618,98.3459682977257,91.38525155065471,98.3459682977257,1.0,False,False,0.225,False,False,False,False,False,True,False,False,False,True,True,False,False,98.3459682977257,0.24
BMS-986094,CHEMBL1209734,2.0,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(N[C@@H](C)C(=O)OCC(C)(C)C)Oc2cccc3ccccc23)[C@@H](O)[C@@]1(C)O,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)Oc1cccc2ccccc12,658.65,96.6919365954514,98.07029634734666,24.01791867677464,98.07029634734666,0.9166666,False,True,0.135,False,False,False,False,False,False,False,False,False,True,True,False,False,96.6919365954514,0.20400000000000001
QUEMLICLUSTAT,CHEMBL4471306,2.0,C[C@H](Nc1cc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1F,c1ccc(CNc2ccnc3c2cnn3C2CCCO2)cc1,580.83,92.6946933149552,97.65678842177807,24.01791867677464,97.65678842177807,0.9166666,False,True,0.16,False,False,False,False,False,False,False,False,False,False,True,False,False,92.6946933149552,0.064
FOSDESDENOSINE SIPALABENAMIDE,CHEMBL5277528,2.0,C[C@H](NP(=O)(OC[C@@H]1C[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O1)Oc1ccccc1)C(=O)OCc1ccccc1,O=C(CNP(=O)(OCC1CCC(n2cnc3cncnc32)O1)Oc1ccccc1)OCc1ccccc1,568.53,90.62715368711234,98.41488628532046,24.01791867677464,98.41488628532046,0.9166666,False,True,0.179,False,False,False,False,False,False,False,False,False,True,True,False,False,90.62715368711234,0.2216
TREPROSTINIL PHOSPHATE,CHEMBL5314603,1.0,CCCCC[C@@H](CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1OP(=O)(O)O)OP(=O)(O)O,c1ccc2c(c1)CC1CCCC1C2,550.48,98.1392143349414,97.7946243969676,6.960716747070986,97.7946243969676,0.6472298,False,True,0.168,True,False,False,False,False,False,False,False,False,True,True,False,False,97.7946243969676,0.2172
GW-695634,CHEMBL1233182,1.0,CCC(=O)NS(=O)(=O)c1ccc(NC(=O)COc2ccc(Cl)cc2C(=O)c2cc(Cl)cc(C#N)c2)c(C)c1,O=C(COc1ccccc1C(=O)c1ccccc1)Nc1ccccc1,574.44,95.58924879393524,95.38249483115094,91.38525155065471,95.38249483115094,1.0,False,False,0.355,True,False,False,False,False,True,False,False,False,False,True,False,False,95.38249483115094,0.142
SACIBERTINIB,CHEMBL5314440,2.0,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c(C#N)cnc2cc1O[C@H]1CCOC1,c1ccc(COc2ccc(Nc3ccnc4cc(OC5CCOC5)ccc34)cc2)nc1,599.09,92.83252929014472,91.38525155065471,91.38525155065471,77.39490006891798,1.0,False,True,0.209,False,False,False,False,False,False,False,False,False,False,False,True,False,77.39490006891798,0.08360000000000001
DRAFLAZINE,CHEMBL1628717,2.0,NC(=O)C1CN(CCCCC(c2ccc(F)cc2)c2ccc(F)cc2)CCN1CC(=O)Nc1c(Cl)cc(N)cc1Cl,O=C(CN1CCN(CCCCC(c2ccccc2)c2ccccc2)CC1)Nc1ccccc1,604.53,98.8973121984838,91.38525155065471,91.38525155065471,68.50447966919366,1.0,False,True,0.205,False,False,False,False,False,False,False,False,False,False,False,True,False,68.50447966919366,0.082
URSULCHOLIC ACID,CHEMBL2107238,2.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](OS(=O)(=O)O)C[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,C1CCC2C(C1)CCC1C3CCCC3CCC21,552.71,92.07443142660236,91.38525155065471,91.38525155065471,55.54789800137836,1.0,False,True,0.373,True,False,False,False,False,False,False,False,False,True,False,True,False,55.54789800137836,0.2992
AFOXOLANER,CHEMBL2219412,2.0,O=C(CNC(=O)c1ccc(C2=NOC(c3cc(Cl)cc(C(F)(F)F)c3)(C(F)(F)F)C2)c2ccccc12)NCC(F)(F)F,c1ccc(C2CC(c3cccc4ccccc34)=NO2)cc1,625.88,93.59062715368712,91.38525155065471,91.38525155065471,9.235010337698135,1.0,False,False,0.307,False,True,False,True,False,True,False,False,False,False,False,True,False,9.235010337698135,0.1228
DIVARASIB,CHEMBL5095236,2.0,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c(F)c(-c4nc(N)cc(C)c4C(F)(F)F)c(Cl)cc23)[C@@H](C)C1,c1ccc(-c2ccc3c(N4CCNCC4)nc(OCC4CCCN4)nc3c2)nc1,622.07,93.17711922811854,91.38525155065471,91.38525155065471,3.721571330117157,1.0,False,True,0.3,False,True,False,True,False,False,False,False,False,False,False,True,False,3.721571330117157,0.12
