id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason
CHEMBL3935588_ACR0,CHEMBL3935588,chembl,C=CC(=O)N[C@@H]1CCc2c(-c3noc(-c4ccc(OCC)c(C#N)c4)n3)cccc21,CBNRCWGYVGYUAG-LJQANCHMSA-N,CCOc1ccc(-c2nc(-c3cccc4c3CC[C@H]4N)no2)cc1C#N,400.44,3.96,6,3.117,ok,0,1,0.1792,0.1429,56d,JNK-IN-8,0.7809,JNK-IN-8,c1ccc(-c2nc(-c3cccc4c3CCC4)no2)cc1,,0,0.1587,0.1308,0.7357,0.1694,0.1333,0.7357,0.1754,0.1429,0.7809,0.1792,0.0990,0.6395,novel,novel,
CHEMBL3586726_ACR1,CHEMBL3586726,chembl,C=CC(=O)N1CCC(Nc2ncc(-c3ccccn3)c3cc(C)c(=O)[nH]c23)CC1,BYOKTXBEICMAKO-UHFFFAOYSA-N,Cc1cc2c(-c3ccccn3)cnc(NC3CCNCC3)c2[nH]c1=O,389.46,2.88,4,2.800,ok,0,1,0.2212,0.1758,YL2056,JNK-IN-8,0.7808,YL5084,O=c1ccc2c(-c3ccccn3)cnc(NC3CCNCC3)c2[nH]1,,1,0.1780,0.1485,0.7808,0.2212,0.1633,0.7808,0.1869,0.1758,0.7240,0.2041,0.1398,0.6787,novel,novel,
CHEMBL2442610_ACR1,CHEMBL2442610,chembl,C=CC(=O)N/C(=N\O)c1ccc(-c2cncc(-c3ccc(/C(N)=N/O)cc3)n2)cn1,IWDFJKVAUNYZMT-UHFFFAOYSA-N,N/C(=N\O)c1ccc(-c2cncc(-c3ccc(/C(N)=N/O)nc3)n2)cc1,403.40,1.74,5,3.009,ok,0,1,0.1910,0.1818,56d,JNK-IN-8,0.7808,JNK-IN-8,c1ccc(-c2cncc(-c3cccnc3)n2)cc1,,1,0.1441,0.1494,0.7378,0.1455,0.1529,0.7378,0.1735,0.1818,0.7808,0.1910,0.1250,0.7028,novel,novel,
CHEMBL3359759_ACR0,CHEMBL3359759,chembl,C=CC(=O)NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1ncc(-c3ccnc(F)c3)cc12,HLWLFJJFGWQYPL-MHZLTWQESA-N,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1ncc(-c3ccnc(F)c3)cc12,497.46,4.52,3,4.240,ok,0,1,0.1930,0.1633,JNK-IN-8,JNK-IN-8,0.7808,YL5084,C1=N[C@@]2(CO1)c1cc(-c3cccnc3)ccc1Oc1ncc(-c3ccncc3)cc12,,1,0.1562,0.1182,0.7808,0.1575,0.1204,0.7808,0.1930,0.1633,0.6936,0.1869,0.0971,0.6955,novel,novel,
CHEMBL3688821_ACR0,CHEMBL3688821,chembl,C=CC(=O)NC1=N[C@](CF)(c2cc(NC(=O)c3ncc(C#N)cc3OC)ccc2Cl)[C@H]2C[C@H]2O1,RYKMXMJSHGNMKS-XSSDXNQZSA-N,COc1cc(C#N)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,483.89,3.11,6,4.372,ok,0,1,0.1982,0.2136,56d,JNK-IN-8,0.7808,JNK-IN-8,O=C(Nc1cccc(C2N=CO[C@@H]3C[C@H]23)c1)c1ccccn1,,1,0.1407,0.1261,0.7792,0.1418,0.1186,0.7792,0.1933,0.2136,0.7808,0.1982,0.1589,0.7562,novel,novel,
CHEMBL3683805_ACR0,CHEMBL3683805,chembl,C=CC(=O)NC1=N[C@@](c2cc(NC(=O)c3ncc(C#N)cc3OC)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,BFXIDJAUKZHJMZ-URSPUVDMSA-N,COc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,485.42,2.89,6,4.407,ok,0,1,0.2000,0.2039,56d,JNK-IN-8,0.7808,JNK-IN-8,O=C(Nc1cccc(C2N=CO[C@@H]3C[C@H]23)c1)c1ccccn1,,1,0.1333,0.1271,0.7792,0.1343,0.1197,0.7792,0.1750,0.2039,0.7808,0.2000,0.1604,0.7562,novel,novel,
CHEMBL3683842_ACR0,CHEMBL3683842,chembl,C=CC(=O)NC1=N[C@](CF)(c2cc(NC(=O)c3ncc(C#N)cc3OC)cc(Cl)c2F)[C@H]2C[C@H]2O1,YGGDHWZFVKWFJV-LZDDTZTRSA-N,COc1cc(C#N)cnc1C(=O)Nc1cc(Cl)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,501.88,3.25,6,4.510,ok,0,1,0.1739,0.1759,56d,JNK-IN-8,0.7808,JNK-IN-8,O=C(Nc1cccc(C2N=CO[C@@H]3C[C@H]23)c1)c1ccccn1,,1,0.1223,0.1148,0.7792,0.1232,0.1074,0.7792,0.1613,0.1759,0.7808,0.1739,0.1351,0.7562,novel,novel,
CHEMBL3688814_ACR0,CHEMBL3688814,chembl,C=CC(=O)NC1=N[C@@](c2cc(NC(=O)c3ncc(C#N)cc3N(C)C)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,APBAKTNPNZCQRZ-PQNFPLSNSA-N,CN(C)c1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,498.47,2.95,6,4.539,ok,0,1,0.1982,0.2019,56d,JNK-IN-8,0.7808,JNK-IN-8,O=C(Nc1cccc(C2N=CO[C@@H]3C[C@H]23)c1)c1ccccn1,,1,0.1493,0.1261,0.7792,0.1504,0.1186,0.7792,0.1933,0.2019,0.7808,0.1982,0.1589,0.7562,novel,novel,
CHEMBL3688823_ACR0,CHEMBL3688823,chembl,C=CC(=O)NC1=N[C@@](c2cc(NC(=O)c3ncc(C#N)cc3OC)cc(C)c2F)(C(F)F)[C@H]2C[C@H]2O1,BIRZJLVQDLGZGD-RLZCXYDISA-N,COc1cc(C#N)cnc1C(=O)Nc1cc(C)c(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,499.45,3.20,6,4.546,ok,0,1,0.1770,0.2019,56d,JNK-IN-8,0.7808,JNK-IN-8,O=C(Nc1cccc(C2N=CO[C@@H]3C[C@H]23)c1)c1ccccn1,,1,0.1159,0.1167,0.7792,0.1168,0.1092,0.7792,0.1736,0.2019,0.7808,0.1770,0.1376,0.7562,novel,novel,
CHEMBL4208054_ACR0,CHEMBL4208054,chembl,C=CC(=O)NCc1ccc(-c2ccc(N3C[C@H](CN4CCOC4=O)OC3=O)cc2F)cc1,PPZIACGQRCGVJT-SFHVURJKSA-N,NCc1ccc(-c2ccc(N3C[C@H](CN4CCOC4=O)OC3=O)cc2F)cc1,439.44,3.07,7,3.123,ok,0,1,0.1650,0.1165,56d,YL2056,0.7808,YL5084,O=C1OCCN1C[C@H]1CN(c2ccc(-c3ccccc3)cc2)C(=O)O1,,0,0.1190,0.1038,0.7808,0.1290,0.1165,0.7808,0.1121,0.1020,0.6946,0.1650,0.1031,0.6905,novel,novel,
