id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason
CHEMBL184709_ACR0,CHEMBL184709,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(NC(=O)Nc2ccc(N(C)C)cc2)ccc1C,ODMOPIMHZCKIAG-UHFFFAOYSA-N,Cc1ccc(NC(=O)Nc2ccc(N(C)C)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.57,5.41,7,2.764,watch,1,1,0.3956,0.5493,JNK-IN-8,JNK-IN-8,0.8000,JNK-IN-8,O=C(Nc1ccccc1)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,,1,0.2301,0.2268,0.7266,0.2212,0.2188,0.7266,0.3956,0.5493,0.8000,0.2292,0.2111,0.7212,pan,pan_jnkin8,
CHEMBL292866_ACR0,CHEMBL292866,chembl,C=CC(=O)N(c1cccc(NC(=O)c2ccccn2)c1)c1nccc(-c2cccnc2)n1,URBKOBDALSBUGC-UHFFFAOYSA-N,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,422.45,4.04,6,2.641,watch,0,1,0.3977,0.5455,JNK-IN-8,JNK-IN-8,0.7742,JNK-IN-8,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,,1,0.2162,0.2472,0.6917,0.2072,0.2529,0.6917,0.3977,0.5455,0.7742,0.2667,0.2469,0.6196,pan,pan_jnkin8,
CHEMBL185775_ACR0,CHEMBL185775,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(NC(=O)N2CCCCC2)ccc1C,MQPIJQPPLYGTPH-UHFFFAOYSA-N,Cc1ccc(NC(=O)N2CCCCC2)cc1Nc1nccc(-c2cccnc2)n1,442.52,4.72,5,2.731,watch,0,1,0.3723,0.5417,JNK-IN-8,JNK-IN-8,0.7040,JNK-IN-8,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)N1CCCCC1,,1,0.2368,0.2632,0.6999,0.2389,0.2688,0.6999,0.3723,0.5417,0.7040,0.2000,0.1828,0.5607,pan,pan_jnkin8,
CHEMBL365439_ACR0,CHEMBL365439,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(NC(=O)Nc2cccc3ncccc23)ccc1C,DYDGFBKPJPMAJW-UHFFFAOYSA-N,Cc1ccc(NC(=O)Nc2cccc3ncccc23)cc1Nc1nccc(-c2cccnc2)n1,501.55,5.89,6,2.793,watch,0,1,0.3854,0.5405,JNK-IN-8,JNK-IN-8,0.7707,JNK-IN-8,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)Nc1cccc2ncccc12,,2,0.1983,0.2178,0.7288,0.1901,0.2100,0.7288,0.3854,0.5405,0.7707,0.3053,0.2841,0.7192,pan,pan_jnkin8,
CHEMBL56671_ACR0,CHEMBL56671,chembl,C=CC(=O)N(c1cccc(C(=O)OC)c1)c1nccc(-c2cccnc2)n1,VWGOVZPNZPOPQN-UHFFFAOYSA-N,COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,360.37,3.18,5,2.575,watch,0,1,0.3678,0.5385,JNK-IN-8,JNK-IN-8,0.6845,YL5084,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,,1,0.2018,0.2529,0.6845,0.1927,0.2442,0.6845,0.3678,0.5385,0.6208,0.2088,0.2073,0.5344,pan,pan_jnkin8,
CHEMBL1400651_ACR0,CHEMBL1400651,chembl,C=CC(=O)Nc1cccc(C(=O)Nc2ccc3[nH]c(-c4cccnc4)nc3c2)c1,CMZKTKYMRSJEJJ-UHFFFAOYSA-N,Nc1cccc(C(=O)Nc2ccc3[nH]c(-c4cccnc4)nc3c2)c1,383.41,4.00,5,2.251,watch,0,1,0.4235,0.5362,JNK-IN-8,JNK-IN-8,0.8288,56d,O=C(Nc1ccc2[nH]c(-c3cccnc3)nc2c1)c1ccccc1,,2,0.1770,0.1735,0.6834,0.1786,0.1771,0.6834,0.4235,0.5362,0.7874,0.4000,0.3636,0.8288,pan,pan_jnkin8,
CHEMBL278287_ACR0,CHEMBL278287,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(N(C)C(=O)c2ccccc2)ccc1C,KESMTHUBXPBYHO-UHFFFAOYSA-N,Cc1ccc(N(C)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,449.51,4.97,6,2.734,watch,0,1,0.3736,0.5352,JNK-IN-8,JNK-IN-8,0.6604,JNK-IN-8,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,,1,0.2342,0.2688,0.6449,0.2252,0.2747,0.6449,0.3736,0.5352,0.6604,0.1837,0.1739,0.5292,pan,pan_jnkin8,
CHEMBL184702_ACR0,CHEMBL184702,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(NC(=O)NCCCO)ccc1C,IQVHHIJIWDGZOA-UHFFFAOYSA-N,Cc1ccc(NC(=O)NCCCO)cc1Nc1nccc(-c2cccnc2)n1,432.48,3.20,8,2.778,watch,0,1,0.3830,0.5342,JNK-IN-8,JNK-IN-8,0.7784,JNK-IN-8,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,,1,0.2137,0.2222,0.6890,0.2051,0.2143,0.6890,0.3830,0.5342,0.7784,0.2222,0.2065,0.6773,pan,pan_jnkin8,
CHEMBL185834_ACR0,CHEMBL185834,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(NC(=O)N2CCN(C)CC2)ccc1C,BNGZXMCPQZWVKK-UHFFFAOYSA-N,Cc1ccc(NC(=O)N2CCN(C)CC2)cc1Nc1nccc(-c2cccnc2)n1,457.54,3.48,5,2.788,watch,0,1,0.3684,0.5342,JNK-IN-8,JNK-IN-8,0.7489,YL5084,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)N1CCNCC1,,1,0.2456,0.2737,0.7489,0.2478,0.2796,0.7489,0.3684,0.5342,0.7314,0.1980,0.1809,0.5528,pan,pan_jnkin8,
CHEMBL93898_ACR0,CHEMBL93898,chembl,C=CC(=O)N(c1ccc(NC(C)=O)cc1)c1nccc(-c2cccnc2)n1,KVTVIBZCGTUPRR-UHFFFAOYSA-N,CC(=O)Nc1ccc(Nc2nccc(-c3cccnc3)n2)cc1,359.39,3.35,5,2.530,watch,0,1,0.3647,0.5323,JNK-IN-8,JNK-IN-8,0.7455,JNK-IN-8,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,,1,0.2427,0.2530,0.6981,0.2330,0.2439,0.6981,0.3647,0.5323,0.7455,0.1889,0.1605,0.5937,pan,pan_jnkin8,
