pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neither,independent,reported,ci_lo,ci_hi,n_boot_total,n_boot_valid,ligand_ids_pos,source_result_file
JAK1/TYK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,31,32,,0.8397177419354838,0.8397,,,,,,same splits as ECFP4-only
JAK1/TYK2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,31,32,,-0.006048387096774355,-0.006099999999999994,,,,,,paired same-fold subtraction
JAK1/TYK2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,31,32,,0.9022177419354839,0.9022,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
JAK1/TYK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,31,32,,0.9032258064516128,0.9032,,,,,,same splits as ECFP4-only
JAK1/TYK2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,31,32,,0.0010080645161288926,0.0010000000000000009,,,,,,paired same-fold subtraction
PIK3CA/mTOR,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,18,14,,0.7619047619047619,0.7619,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
PIK3CA/mTOR,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,18,14,,0.7420634920634921,0.7421,,,,,,same splits as ECFP4-only
PIK3CA/mTOR,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,18,14,,-0.01984126984126977,-0.01980000000000004,,,,,,paired same-fold subtraction
PIK3CA/mTOR,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,18,12,,0.8888888888888888,0.8889,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
PIK3CA/mTOR,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,18,12,,0.8981481481481481,0.8981,,,,,,same splits as ECFP4-only
PIK3CA/mTOR,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,18,12,,0.0092592592592593,0.009199999999999986,,,,,,paired same-fold subtraction
AChE/BChE,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,27,25,,0.8948148148148148,0.8948,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
AChE/BChE,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,27,25,,0.8933333333333333,0.8933,,,,,,same splits as ECFP4-only
AChE/BChE,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,27,25,,-0.001481481481481528,-0.0015000000000000568,,,,,,paired same-fold subtraction
AChE/BChE,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,27,28,,0.8214285714285714,0.8214,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
AChE/BChE,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,27,28,,0.8082010582010581,0.8082,,,,,,same splits as ECFP4-only
AChE/BChE,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,27,28,,-0.013227513227513255,-0.01319999999999999,,,,,,paired same-fold subtraction
F2/F10,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,31,32,,0.936491935483871,0.9365,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
F2/F10,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,31,32,,0.9294354838709677,0.9294,,,,,,same splits as ECFP4-only
F2/F10,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,31,32,,-0.007056451612903247,-0.007099999999999995,,,,,,paired same-fold subtraction
F2/F10,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,31,32,,0.6653225806451613,0.6653,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
F2/F10,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,31,32,,0.686491935483871,0.6865,,,,,,same splits as ECFP4-only
F2/F10,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,31,32,,0.021169354838709742,0.021199999999999997,,,,,,paired same-fold subtraction
PPARG/PPARA,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,32,31,,0.8326612903225806,0.8327,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
PPARG/PPARA,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,32,31,,0.8195564516129032,0.8196,,,,,,same splits as ECFP4-only
PPARG/PPARA,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,32,31,,-0.01310483870967738,-0.0131,,,,,,paired same-fold subtraction
PPARG/PPARA,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,32,32,,0.66796875,0.668,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
PPARG/PPARA,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,32,32,,0.67578125,0.6758,,,,,,same splits as ECFP4-only
PPARG/PPARA,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,32,32,,0.0078125,0.007799999999999918,,,,,,paired same-fold subtraction
PPARA/PPARD,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,32,32,,0.931640625,0.9316,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
PPARA/PPARD,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,32,32,,0.927734375,0.9277,,,,,,same splits as ECFP4-only
PPARA/PPARD,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,32,32,,-0.00390625,-0.0039000000000000146,,,,,,paired same-fold subtraction
PPARA/PPARD,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,32,32,,0.8583984375,0.8584,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
PPARA/PPARD,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,32,32,,0.8349609375,0.835,,,,,,same splits as ECFP4-only
PPARA/PPARD,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,32,32,,-0.0234375,-0.023400000000000087,,,,,,paired same-fold subtraction
EGFR/HER2,independent_GNINA,summary_min,independent GNINA rank-1 minimizedAffinity inverted; not Vina-pose rescoring,,28,32,,0.21986607142857142,0.22,,,,,,gnina_dock_scores_* / scores_gnina_independent_jak1_tyk2_v1.csv
EGFR/HER2,independent_GNINA,AUROC_D_vs_neither_mean,mean of inverted independent GNINA scores,,28,11,,0.7824675324675324,0.783,,,,,,
PIK3CA/mTOR,independent_GNINA,summary_min,independent GNINA rank-1 minimizedAffinity inverted; not Vina-pose rescoring,,18,12,,0.6324786324786325,0.633,,,,,,gnina_dock_scores_* / scores_gnina_independent_jak1_tyk2_v1.csv
PIK3CA/mTOR,independent_GNINA,AUROC_D_vs_neither_mean,mean of inverted independent GNINA scores,,18,4,,0.5694444444444444,0.569,,,,,,
JAK1/TYK2,independent_GNINA,summary_min,independent GNINA rank-1 minimizedAffinity inverted; not Vina-pose rescoring,,30,29,,0.31724137931034485,0.317,,,,,,gnina_dock_scores_* / scores_gnina_independent_jak1_tyk2_v1.csv
JAK1/TYK2,independent_GNINA,AUROC_D_vs_neither_mean,mean of inverted independent GNINA scores,,30,14,,0.7047619047619048,0.705,,,,,,
