pair,n,k,Top10_D,Top10_A,Top10_B,Top10_N,D_total,dual_fraction_full,dual_fraction_top10,EF_dual_10,expected_DABN,expected_EF,match_expected_composition,top_ligand_ids,AUROC_mean_D_vs_neither,AUROC_mean_D_vs_AplusB,delta_AUROC_mean
EGFR/HER2,110,11,1,5,5,0,28,0.2545454545454545,0.09090909090909091,0.3571428571428572,1/5/5/0,0.357,1,EH40_04;EH40_18;EH120_088;EH40_28;EH120_062;EH120_085;EH40_23;EH120_072;EH120_061;EH120_087;EH120_092,0.7559523809523809,0.5163265306122449,0.23962585034013606
JAK1/JAK2,110,11,6,5,0,0,32,0.2909090909090909,0.5454545454545454,1.875,6/5/0/0,1.875,1,J1J2_074;J1J2_081;J1J2_072;J1J2_031;J1J2_075;J1J2_096;J1J2_029;J1J2_026;J1J2_013;J1J2_027;J1J2_088,0.7299107142857143,0.65478515625,0.0751255580357143
JAK1/TYK2,109,11,1,3,7,0,31,0.28440366972477066,0.09090909090909091,0.3196480938416422,1/3/7/0,0.32,1,J1TYK2_006;J1TYK2_064;J1TYK2_042;J1TYK2_056;J1TYK2_058;J1TYK2_046;J1TYK2_069;J1TYK2_060;J1TYK2_023;J1TYK2_063;J1TYK2_009,0.7695852534562212,0.47404233870967744,0.29554291474654376
PIK3CA/mTOR,48,5,4,1,0,0,18,0.375,0.8,2.1333333333333333,4/1/0/0,2.133,1,PM48_04;PM48_02;PM48_31;PM48_07;PM48_10,0.5138888888888888,0.6987179487179487,-0.18482905982905984
AChE/BChE,95,10,5,3,1,1,27,0.28421052631578947,0.5,1.7592592592592593,5/3/1/1,1.759,1,AB_004;AB_057;AB_030;AB_005;AB_017;AB_026;AB_098;AB_027;AB_048;AB_037,0.6493827160493827,0.5593990216631726,0.08998369438621012
F2/F10,107,11,4,1,6,0,31,0.2897196261682243,0.36363636363636365,1.2551319648093844,4/1/6/0,1.255,1,F2F10_061;F2F10_096;F2F10_086;F2F10_058;F2F10_046;F2F10_068;F2F10_021;F2F10_053;F2F10_081;F2F10_054;F2F10_055,0.5188172043010753,0.38382056451612906,0.1349966397849462
PPARG/PPARA,109,11,7,3,0,1,32,0.29357798165137616,0.6363636363636364,2.1676136363636362,7/3/0/1,2.168,1,PGPA_074;PGPA_069;PGPA_102;PGPA_001;PGPA_096;PGPA_011;PGPA_068;PGPA_009;PGPA_087;PGPA_067;PGPA_083,0.6852678571428571,0.6726190476190477,0.012648809523809423
PPARA/PPARD,110,11,5,2,3,1,32,0.2909090909090909,0.45454545454545453,1.5625,5/2/3/1,1.562,1,PAPD_104;PAPD_085;PAPD_018;PAPD_033;PAPD_017;PAPD_064;PAPD_082;PAPD_055;PAPD_070;PAPD_075;PAPD_076,0.5647321428571429,0.512451171875,0.052280970982142905
