name,chembl_id,max_phase,canonical_smiles,scaffold,mw,s_u_percentile,s_n_percentile,s_n_ml_percentile,s_n_dock_percentile,p_active_nlrp3,dock_score,nlrp3_dock_score,pains_any,brenk,qed,lipinski_pass,veber_pass,ghose_pass,ro5_props_ok,oral_absorption_ok,mw_oral_ok,macro_scaffold_risk,structurally_clean,druglike,clean_candidate,preferred_candidate,has_carboxylic_acid,nlrp3_structure_supported,nlrp3_ml_only_risk,is_known_reference,dual_structure_balance,chemistry_rank_score
CANERTINIB,CHEMBL31965,3.0,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)ccc23)cc1,485.9470000000004,87.18354430379746,87.27848101265823,49.68354430379747,87.27848101265823,0.9166667,-8.0,-7.186,False,True,0.3429726304570578,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,87.18354430379746,0.21725530218282263
ENCALERET,CHEMBL1672973,3.0,Cc1cc(-c2ccccc2[C@@H](C)OC[C@H](O)CNC(C)(C)Cc2ccc(Cl)c(F)c2)ccc1C(=O)O,c1ccc(CCNCCCOCc2ccccc2-c2ccccc2)cc1,514.0370000000003,84.74683544303797,82.78481012658227,23.73417721518988,82.78481012658227,0.9166666,-7.94,-7.076,False,False,0.2842341940459221,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,82.78481012658227,0.3086474276183685
UCB-1184197,CHEMBL4297363,2.0,CCOC(=O)[C@H](Cc1ccc(Nc2nccc3ccncc23)cc1)NC1=C(Br)C(=O)C12CCCCC2,O=C1C=C(NCCc2ccc(Nc3nccc4ccncc34)cc2)C12CCCCC2,549.469,93.95569620253164,95.9493670886076,23.73417721518988,95.9493670886076,0.9166666,-8.248,-7.527,False,False,0.3547743500993549,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,93.95569620253164,0.1425734900397419
REZATAPOPT,CHEMBL5314538,2.0,CNC(=O)c1ccc(NCC#Cc2cc3c(N[C@@H]4CCN(C)C[C@@H]4F)cccc3n2CC(F)(F)F)c(OC)c1,C(#Cc1cc2c(NC3CCNCC3)cccc2[nH]1)CNc1ccccc1,545.5810000000001,91.45569620253164,95.0632911392405,49.68354430379747,95.0632911392405,0.9166667,-8.151,-7.475,False,True,0.3016762794589155,False,True,False,True,True,True,False,False,True,False,False,False,True,False,False,91.45569620253164,0.12619426178356602
KOS-1584,CHEMBL4297296,2.0,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C1,O=C1CCCC=CCC=CCC(C=Cc2cscn2)OC(=O)CCC1,489.6780000000003,96.0126582278481,91.36075949367088,91.36075949367088,88.41772151898735,1.0,-8.385,-7.222,False,True,0.446114429776996,False,True,False,True,True,True,True,False,True,False,False,False,True,False,False,88.41772151898735,0.25384827191079806
OLINCIGUAT,CHEMBL4297616,2.0,NC(=O)[C@](O)(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)C(F)(F)F,c1ccc(Cn2nc(-c3ncccn3)cc2-c2ccon2)cc1,509.3950000000001,92.46835443037976,86.6139240506329,49.68354430379747,86.6139240506329,0.9166667,-8.19,-7.171,False,False,0.307458825428698,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,86.6139240506329,0.17373978017147912
SUVADRONABINOL,CHEMBL6068033,2.0,CCCCCc1cc(OC(=O)[C@@H](NC(=O)CCC(=O)O)C(C)C)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,C1=CC2c3ccccc3OCC2CC1,513.6750000000004,85.69620253164557,89.36708860759494,49.68354430379747,89.36708860759494,0.9166667,-7.959,-7.246,False,True,0.1642854241259829,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,85.69620253164557,0.2611204196503926
SELETALISIB,CHEMBL4297648,2.0,[O-][n+]1cccc(-c2nc3c(Cl)cccc3cc2[C@@H](Nc2ncnc3cccnc23)C(F)(F)F)c1,c1c[nH+]cc(-c2nc3ccccc3cc2CNc2ncnc3cccnc23)c1,482.8530000000001,93.38607594936708,85.69620253164557,75.31645569620254,85.69620253164557,0.91666675,-8.215,-7.144,False,True,0.2780481490600307,False,True,False,True,True,True,False,False,True,False,False,False,True,False,False,85.69620253164557,0.19515300962401214
INT131,CHEMBL1236924,2.0,O=S(=O)(Nc1cc(Cl)c(Oc2cnc3ccccc3c2)c(Cl)c1)c1ccc(Cl)cc1Cl,O=S(=O)(Nc1ccc(Oc2cnc3ccccc3c2)cc1)c1ccccc1,514.2170000000001,92.21518987341771,85.63291139240506,23.73417721518988,85.63291139240506,0.9166666,-8.185,-7.143,False,False,0.3007218475117858,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,85.63291139240506,0.1650174890047142
MK-3577,CHEMBL1933350,2.0,CCC[C@H](c1ccc(C(=O)NCCC(=O)O)cc1)[C@H](c1ccc(Cl)cc1)c1c[nH]c2c(F)cc(C)cc12,c1ccc(CC(c2ccccc2)c2c[nH]c3ccccc23)cc1,521.0320000000002,85.31645569620252,94.17721518987342,49.68354430379747,94.17721518987342,0.9166667,-7.948,-7.439,False,False,0.2068093536320571,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,85.31645569620252,0.26893374145282267
PILARALISIB,CHEMBL3360203,2.0,COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1,O=S(=O)(Nc1nc2ccccc2nc1Nc1ccccc1)c1ccccc1,541.0330000000002,84.27215189873418,93.5759493670886,49.68354430379747,93.5759493670886,0.9166667,-7.933,-7.42,False,False,0.2548874964075678,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,84.27215189873418,0.11316374856302681
UPLARAFENIB,CHEMBL5314547,2.0,CCCS(=O)(=O)Nc1cc(F)c(F)c(C(=O)c2ccc3ncc(N4CCOCC4)nc3c2)c1F,O=C(c1ccccc1)c1ccc2ncc(N3CCOCC3)nc2c1,494.4950000000003,84.08227848101266,95.25316455696202,75.31645569620254,95.25316455696202,0.91666675,-7.932,-7.485,False,True,0.3974267301580712,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,84.08227848101266,0.22835194206322812
EDICOTINIB,CHEMBL3674570,2.0,CC1(C)CC=C(c2nc(C3CC(C)(C)OC(C)(C)C3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1,O=C(Nc1ccc(C2CCOCC2)nc1C1=CCCCC1)c1ncc[nH]1,461.6100000000002,86.0126582278481,91.36075949367088,91.36075949367088,83.60759493670886,1.0,-7.965,-7.094,False,False,0.5833422097424645,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,83.60759493670886,0.34382438389698555
LUT-014,CHEMBL5095249,2.0,Cc1ccc2c(Nc3cccc(OC(F)(F)F)c3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12,c1ccc(Nc2nccc3c(Nc4ncccc4-c4ncnc5[nH]cnc45)cccc23)cc1,528.498,83.54430379746836,93.00632911392404,91.36075949367088,93.00632911392404,1.0,-7.923,-7.393,False,False,0.2200352088849489,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,83.54430379746836,0.1148915835539795
FARGLITAZAR,CHEMBL107367,2.0,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,O=C(c1ccccc1)c1ccccc1NCCc1ccc(OCCc2coc(-c3ccccc3)n2)cc1,546.6230000000003,83.35443037974683,86.26582278481013,49.68354430379747,86.26582278481013,0.9166667,-7.92,-7.16,True,False,0.1698206621933434,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,83.35443037974683,0.22214951487733703
NAZARTINIB,CHEMBL3787344,2.0,Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1,O=C(Nc1nc2ccccc2n1C1CCCCNC1)c1ccncc1,495.0270000000004,91.29746835443038,82.5632911392405,49.68354430379747,82.5632911392405,0.9166667,-8.148,-7.074,False,True,0.515927271936796,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,82.5632911392405,0.2750871587747179
ATUZABRUTINIB,CHEMBL4114766,2.0,CC(C)(C)/C=C(\C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1,c1ccc(Oc2ccc(-c3nn(C4CCCNC4)c4ncncc34)cc2)cc1,539.615,82.27848101265822,96.8987341772152,91.36075949367088,96.8987341772152,1.0,-7.894,-7.615,False,True,0.2561299100779402,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,82.27848101265822,0.1154332140311761
OCTOTIAMINE,CHEMBL2105140,2.0,COC(=O)CCCCC(CCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N)SC(C)=O,c1cncnc1,544.7650000000003,98.41772151898736,80.5379746835443,23.73417721518988,80.5379746835443,0.9166666,-8.61,-7.042,False,True,0.1269470704559894,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,80.5379746835443,0.05732257818239536
SAGOPILONE,CHEMBL2304041,2.0,C=CC[C@H]1C(=O)C(C)(C)[C@@H](O)CC(=O)O[C@H](c2ccc3sc(C)nc3c2)C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@@H]1O,O=C1CCCCCCC2OC2CC(c2ccc3scnc3c2)OC(=O)CCC1,543.7260000000005,80.37974683544304,91.36075949367088,91.36075949367088,88.86075949367088,1.0,-7.84,-7.233,False,True,0.3006955044435261,False,True,False,True,True,True,False,False,True,False,False,True,True,False,False,80.37974683544304,0.2781207017774099
TAK-285,CHEMBL1614725,1.0,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,c1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2)cc1,547.9650000000001,93.76582278481013,84.17721518987342,23.73417721518988,84.17721518987342,0.9166666,-8.234,-7.111,False,False,0.2405020233836149,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,84.17721518987342,0.09874455935344578
DSP-2230,CHEMBL5095026,1.0,C[C@@H](NCc1nc2ccc(Oc3cc(F)c(F)c(F)c3)nc2n1C1CCC1)C(N)=O,c1ccc(Oc2ccc3ncn(C4CCC4)c3n2)cc1,419.4070000000002,82.91139240506328,88.5126582278481,49.68354430379747,88.5126582278481,0.9166667,-7.908,-7.223,False,True,0.5731002238085642,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False,82.91139240506328,0.5924813395234254
MK-5108,CHEMBL3600873,1.0,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,c1ccc(OC2CCC(Cc3cccc(Nc4nccs4)n3)CC2)cc1,461.94600000000025,81.29746835443038,91.36075949367088,91.36075949367088,86.9620253164557,1.0,-7.871,-7.176,False,False,0.4685133967446258,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,81.29746835443038,0.29747285869785
LY-3499446,CHEMBL5095252,1.0,C=CC(=O)N1CCN(c2ncnc3c(F)c(-c4ccc(F)c5sc(N)nc45)c(Cl)cc23)CC1,c1cc(-c2ccc3c(N4CCNCC4)ncnc3c2)c2ncsc2c1,486.9350000000002,81.17088607594937,96.39240506329114,91.36075949367088,96.39240506329114,1.0,-7.868,-7.578,False,True,0.4353523177530741,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,81.17088607594937,0.25297217710122943
AZD-9574,CHEMBL5095223,1.0,CNC(=O)c1ccc(N2CCN(Cc3ccc4nc(C)c(=O)[nH]c4c3F)CC2)c(F)n1,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,428.44300000000015,85.8860759493671,80.28481012658229,3.10126582278481,80.28481012658229,0.56645995,-7.962,-7.037,False,True,0.6132665617230264,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False,80.28481012658229,0.5972528746892104
TUBOCURARINE,CHEMBL339427,4.0,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,c1cc2cc(c1)Oc1ccc3c(c1)C(Cc1ccc(cc1)Oc1cccc4c1C(C2)[NH2+]CC4)NCC3,609.7429999999999,89.30379746835443,93.9240506329114,75.31645569620254,93.9240506329114,0.91666675,-8.076,-7.433,False,True,0.2449408495712499,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,89.30379746835443,0.09797633982849996
RIFAXIMIN,CHEMBL1617,4.0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,O=C1C=CC=CCCCCCCCCC=COC2Oc3ccc4cc(c5c(nc6ccccn65)c4c3C2=O)N1,785.8910000000003,85.56962025316456,91.01265822784808,49.68354430379747,91.01265822784808,0.9166667,-7.955,-7.299,False,True,0.1148554830122395,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,85.56962025316456,0.0459421932048958
RIFAMYCIN,CHEMBL437765,4.0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,O=C1C=CC=CCCCCCCCCC=COC2Oc3ccc4cc(ccc4c3C2=O)N1,697.7780000000002,84.43037974683546,80.94936708860759,49.68354430379747,80.94936708860759,0.9166667,-7.934,-7.049,True,True,0.1430874087072338,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,80.94936708860759,0.057234963482893524
