ligand,target,vina_mode,rtmscore
EH40_01,3POZ,1,20.38900952252521
EH40_01,3POZ,2,98.96569128453538
EH40_01,3POZ,3,26.961349764809743
EH40_01,3POZ,4,43.76397054828943
EH40_01,3POZ,5,24.902048898412744
EH40_01,3POZ,6,53.35136554248923
EH40_01,3POZ,7,97.06321256647
EH40_01,3POZ,8,67.01331978395035
EH40_01,3POZ,9,26.401534912681257
EH40_02,3POZ,1,38.41354120862453
EH40_02,3POZ,2,18.73445779608596
EH40_02,3POZ,3,21.000818152207373
EH40_02,3POZ,4,23.80508521199804
EH40_02,3POZ,5,80.18303753269697
EH40_02,3POZ,6,22.946724696257824
EH40_02,3POZ,7,23.62636108808158
EH40_02,3POZ,8,26.3072229216996
EH40_02,3POZ,9,44.6299398367815
EH40_03,3POZ,1,19.53420439890513
EH40_03,3POZ,2,24.09536954675736
EH40_03,3POZ,3,37.19214782868872
EH40_03,3POZ,4,15.539368118946644
EH40_03,3POZ,5,11.043825260765091
EH40_03,3POZ,6,37.60284670712245
EH40_03,3POZ,7,23.90565176501813
EH40_03,3POZ,8,16.240423405996307
EH40_03,3POZ,9,14.49554544094626
EH40_04,3POZ,1,39.89551635514247
EH40_04,3POZ,2,29.434834874504304
EH40_04,3POZ,3,45.11733909524085
EH40_04,3POZ,4,48.39333952615426
EH40_04,3POZ,5,28.778292297558483
EH40_04,3POZ,6,33.1794327700609
EH40_04,3POZ,7,23.37492294519009
EH40_04,3POZ,8,26.141422922268983
EH40_04,3POZ,9,30.99333668947978
EH40_05,3POZ,1,17.461192237744793
EH40_05,3POZ,2,26.81291020550877
EH40_05,3POZ,3,21.73265328399929
EH40_05,3POZ,4,35.94808230818812
EH40_05,3POZ,5,37.78719636771403
EH40_05,3POZ,6,59.30073645019885
EH40_05,3POZ,7,44.170341915121824
EH40_05,3POZ,8,25.697056844651208
EH40_05,3POZ,9,19.2951005942735
EH40_06,3POZ,1,32.97279702181988
EH40_06,3POZ,2,15.35191223850936
EH40_06,3POZ,3,46.47679529101217
EH40_06,3POZ,4,38.85408908740459
EH40_06,3POZ,5,30.5146119929796
EH40_06,3POZ,6,78.03996691732848
EH40_06,3POZ,7,28.878482300001664
EH40_06,3POZ,8,46.119374834476254
EH40_06,3POZ,9,25.40895614244113
EH40_07,3POZ,1,18.52676041427173
EH40_07,3POZ,2,7.782073657131408
EH40_07,3POZ,3,23.107279154843088
EH40_07,3POZ,4,28.94844877178381
