ligand,class,pref_name,molecule_chembl_id,3POZ_affinity,3RCD_affinity,vina_mean_raw
EH40_01,dual,TAK-285,CHEMBL1614725,-10.605,-9.745,-10.175
EH40_02,dual,LAPATINIB,CHEMBL554,-10.799,-10.571,-10.684999999999999
EH40_03,dual,,CHEMBL5977738,-10.133,-10.215,-10.174
EH40_04,dual,,CHEMBL2006715,-11.968,-11.632,-11.8
EH40_05,dual,CP-724714,CHEMBL483321,-10.098,-9.98,-10.039000000000001
EH40_06,dual,,CHEMBL3911796,-9.773,-10.024,-9.898499999999999
EH40_07,dual,,CHEMBL257816,-9.372,-9.65,-9.511
EH40_08,dual,,CHEMBL193681,-9.882,-9.707,-9.7945
EH40_09,dual,,CHEMBL175556,-11.011,-9.963,-10.486999999999998
EH40_10,dual,,CHEMBL604094,-8.753,-8.321,-8.536999999999999
EH40_11,dual,,CHEMBL3977326,-10.434,-10.275,-10.3545
EH40_12,dual,,CHEMBL402011,-9.692,-10.467,-10.0795
EH40_13,dual,,CHEMBL3680374,-10.219,-9.203,-9.710999999999999
EH40_14,dual,,CHEMBL5204650,-7.128,-7.55,-7.339
EH40_15,dual,,CHEMBL1645469,-8.26,-8.259,-8.2595
EH40_16,A_only,,CHEMBL2325101,-10.466,-10.072,-10.268999999999998
EH40_17,A_only,,CHEMBL91925,-9.126,-8.576,-8.850999999999999
EH40_18,A_only,,CHEMBL2000832,-11.17,-12.292,-11.731
EH40_19,A_only,,CHEMBL589560,-8.396,-8.225,-8.310500000000001
EH40_20,A_only,,CHEMBL3357639,-10.245,-9.624,-9.9345
EH40_21,A_only,,CHEMBL2112370,-9.684,-9.132,-9.408
EH40_22,A_only,,CHEMBL1081849,-10.012,-10.127,-10.069500000000001
EH40_23,A_only,,CHEMBL3633938,-11.292,-10.764,-11.027999999999999
EH40_24,A_only,,CHEMBL602328,-7.097,-6.886,-6.9915
EH40_25,A_only,,CHEMBL289959,-7.956,-8.044,-8.0
EH40_26,A_only,,CHEMBL371863,-7.394,-7.472,-7.433
EH40_27,A_only,ALVOCIDIB,CHEMBL428690,-8.84,-9.216,-9.027999999999999
EH40_28,B_only,,CHEMBL6017443,-11.075,-11.53,-11.302499999999998
EH40_29,B_only,,CHEMBL1080990,-9.298,-9.331,-9.314499999999999
EH40_30,B_only,SOTRASTAURIN,CHEMBL565612,-9.399,-9.628,-9.5135
EH40_31,B_only,,CHEMBL257873,-10.12,-9.812,-9.966
EH40_32,B_only,,CHEMBL394463,-9.136,-9.76,-9.448
EH40_33,B_only,,CHEMBL3814021,-10.698,-10.591,-10.6445
EH40_34,B_only,,CHEMBL2048792,-9.615,-9.184,-9.3995
EH40_35,B_only,,CHEMBL449949,-10.142,-10.562,-10.352
EH40_36,B_only,,CHEMBL5901840,-9.955,-10.678,-10.316500000000001
EH40_37,B_only,,CHEMBL5542514,-10.59,-10.758,-10.674
EH40_38,neither,,CHEMBL2005631,-9.905,-9.687,-9.796
EH40_39,neither,,CHEMBL1683950,-10.373,-10.12,-10.2465
EH40_40,neither,,CHEMBL141175,-8.367,-8.612,-8.4895
EH120_041,dual,IMATINIB,CHEMBL941,-10.482,-10.975,-10.7285
EH120_042,dual,,CHEMBL5221067,-9.356,-9.29,-9.323
EH120_043,dual,,CHEMBL5881155,-8.541,-8.746,-8.6435
EH120_044,dual,,CHEMBL203599,-10.762,-9.618,-10.190000000000001
EH120_045,dual,IBRUTINIB,CHEMBL1873475,-10.619,-9.661,-10.14
EH120_046,dual,,CHEMBL5282641,-10.106,-9.712,-9.908999999999999
EH120_047,dual,NERATINIB,CHEMBL180022,-10.162,-9.106,-9.634
EH120_048,dual,,CHEMBL203644,-9.452,-8.336,-8.894
EH120_049,dual,,CHEMBL437890,-9.998,-9.551,-9.7745
EH120_050,dual,,CHEMBL5176920,-10.63,-9.956,-10.293
EH120_051,dual,,CHEMBL54091,-8.966,-8.286,-8.626
EH120_052,dual,,CHEMBL203661,-10.226,-9.923,-10.0745
EH120_053,dual,,CHEMBL4075917,-10.136,-10.645,-10.3905
EH120_054,A_only,,CHEMBL29197,-8.192,-7.685,-7.9384999999999994
EH120_055,A_only,,CHEMBL93464,-9.101,-8.25,-8.6755
EH120_056,A_only,,CHEMBL4078431,-7.795,-7.962,-7.8785
EH120_057,A_only,,CHEMBL53753,-8.062,-7.557,-7.8095
EH120_058,A_only,,CHEMBL3357643,-10.178,-9.275,-9.726500000000001
EH120_059,A_only,,CHEMBL305194,-9.575,-8.645,-9.11
EH120_060,A_only,VANDETANIB,CHEMBL24828,-9.015,-9.173,-9.094000000000001
EH120_061,A_only,,CHEMBL4280835,-10.876,-10.937,-10.9065
EH120_062,A_only,,CHEMBL4286733,-11.415,-11.098,-11.256499999999999
EH120_063,A_only,,CHEMBL3929002,-9.575,-9.815,-9.695
EH120_064,A_only,,CHEMBL5270270,-7.819,-8.147,-7.9830000000000005
EH120_065,A_only,,CHEMBL281300,-8.773,-8.591,-8.681999999999999
EH120_066,A_only,BOSUTINIB,CHEMBL288441,-8.648,-8.522,-8.585
EH120_067,A_only,,CHEMBL56543,-8.423,-8.877,-8.65
EH120_068,A_only,,CHEMBL4061382,-9.352,-8.977,-9.1645
EH120_069,A_only,,CHEMBL30973,-9.013,-8.872,-8.942499999999999
EH120_070,A_only,,CHEMBL55979,-8.852,-9.136,-8.994
EH120_071,A_only,,CHEMBL3647967,-9.8,-10.075,-9.9375
EH120_072,A_only,,CHEMBL4278886,-11.068,-10.933,-11.000499999999999
EH120_073,A_only,,CHEMBL3114689,-9.858,-9.943,-9.900500000000001
EH120_074,A_only,,CHEMBL205652,-8.486,-8.505,-8.4955
EH120_075,A_only,,CHEMBL372112,-8.702,-8.296,-8.498999999999999
EH120_076,A_only,,CHEMBL56731,-8.786,-8.776,-8.780999999999999
EH120_077,A_only,SB-203580,CHEMBL10,-8.672,-9.532,-9.102
EH120_078,A_only,,CHEMBL179633,-10.03,-9.471,-9.750499999999999
EH120_079,A_only,,CHEMBL370934,-7.872,-7.811,-7.8415
EH120_080,B_only,,CHEMBL1080506,-9.988,-10.185,-10.086500000000001
EH120_081,B_only,,CHEMBL6150652,-10.624,-10.857,-10.7405
EH120_082,B_only,,CHEMBL257478,-9.68,-9.54,-9.61
EH120_083,B_only,,CHEMBL6006814,-10.534,-10.925,-10.729500000000002
EH120_084,B_only,,CHEMBL6133515,-10.632,-10.589,-10.6105
EH120_085,B_only,,CHEMBL1257998,-10.883,-11.507,-11.195
EH120_086,B_only,,CHEMBL5890920,-10.441,-10.535,-10.488
EH120_087,B_only,,CHEMBL5797736,-10.823,-10.917,-10.870000000000001
EH120_088,B_only,,CHEMBL1256432,-10.927,-12.208,-11.567499999999999
EH120_089,B_only,,CHEMBL1087368,-9.003,-9.349,-9.176
EH120_090,B_only,,CHEMBL403785,-9.271,-9.72,-9.4955
EH120_091,B_only,,CHEMBL193578,-10.058,-10.33,-10.193999999999999
EH120_092,B_only,,CHEMBL5555280,-10.576,-10.96,-10.768
EH120_093,B_only,,CHEMBL5977568,-10.409,-10.482,-10.4455
EH120_094,B_only,,CHEMBL118109,-8.631,-8.571,-8.600999999999999
EH120_095,B_only,,CHEMBL256362,-10.316,-10.471,-10.3935
EH120_096,B_only,,CHEMBL5561933,-10.579,-10.736,-10.6575
EH120_097,B_only,,CHEMBL194337,-10.095,-10.427,-10.261
EH120_098,B_only,,CHEMBL5557178,-10.411,-10.601,-10.506
EH120_099,B_only,,CHEMBL1080272,-10.246,-9.896,-10.071000000000002
EH120_100,B_only,,CHEMBL5561503,-10.09,-10.414,-10.251999999999999
EH120_101,B_only,,CHEMBL5558817,-10.597,-10.64,-10.618500000000001
EH120_102,neither,CLOTRIMAZOLE,CHEMBL104,-6.785,-6.806,-6.7955000000000005
EH120_103,neither,,CHEMBL4087921,-8.747,-9.24,-8.993500000000001
EH120_104,neither,,CHEMBL4102214,-10.219,-11.276,-10.747499999999999
EH120_105,neither,,CHEMBL4102942,-9.216,-9.25,-9.233
EH120_106,neither,,CHEMBL4074782,-9.051,-9.584,-9.317499999999999
EH120_107,neither,TAUROACIDIN A,CHEMBL1095259,-7.758,-8.162,-7.960000000000001
EH120_108,neither,,CHEMBL4575427,-7.763,-7.881,-7.822
EH120_109,neither,,CHEMBL589165,-4.636,-5.037,-4.8365
EH120_110,neither,,CHEMBL589503,-6.797,-7.056,-6.9265
