ligand,gnina_cnn_3POZ,gnina_aff_3POZ,gnina_cnn_3RCD,gnina_aff_3RCD
EH40_15,0.8862076998,6.8523201942,0.8935677409,7.3736858368
EH40_16,0.7668889761,7.3769721985,0.1330377012,6.3793072701
EH40_17,0.2452256233,6.3017368317,0.1827307642,6.6398978233
EH40_18,0.6801264286,7.2382311821,0.626434803,7.404882431
EH40_19,0.2745919526,6.2024612427,0.2485249788,6.2417564392
EH40_20,0.2328980267,6.7404079437,0.177113995,6.8134055138
EH40_21,0.1507405192,6.1609787941,0.6151255369,7.1079540253
EH40_22,0.7677553296,8.1493911743,0.7678081989,8.4115400314
EH40_23,0.7865078449,7.7154583931,0.816481173,8.0228624344
EH40_24,0.6686756611,5.0903201103,0.8063154221,5.193669796
EH40_25,0.7834923863,5.8569359779,0.9103206396,6.4399967194
EH40_26,0.878395021,6.5828919411,0.9466865659,7.1313681602
EH40_27,0.6062709689,5.8640213013,0.7428929806,6.9659023285
EH40_28,0.9582284093,8.5485239029,0.9321275949,8.8226547241
EH40_29,0.8173196912,7.2802791595,0.29515481,7.1653199196
EH40_30,0.6696352363,7.0540561676,0.452660203,7.4224648476
EH40_31,0.7740440965,7.4244008064,0.8314228058,8.0839738846
EH40_32,0.2488914579,6.3592638969,0.7702799439,7.4953894615
EH40_33,0.3252042532,6.7627978325,0.4829194546,7.850092411
EH40_34,0.8385308385,7.3740286827,0.7955318093,7.6963210106
EH40_35,0.8111672997,7.9256768227,0.7804031372,8.3124380112
EH40_36,0.7986811399,8.2117013931,0.7354686856,8.3014860153
EH40_37,0.8288607597,8.3540687561,0.8975137472,9.1723566055
EH40_38,0.6312627196,6.9687457085,0.1665873826,5.8973727226
EH40_39,0.7386897206,7.0886454582,0.4371072948,7.2269873619
EH40_40,0.4860238433,5.8626976013,0.4511547983,6.5783233643
