ligand,target,vina_mode,vina_score
EH40_01,3POZ,1,-10.605
EH40_01,3POZ,2,-10.198
EH40_01,3POZ,3,-10.025
EH40_01,3POZ,4,-9.97
EH40_01,3POZ,5,-9.791
EH40_01,3POZ,6,-9.494
EH40_01,3POZ,7,-9.44
EH40_01,3POZ,8,-9.435
EH40_01,3POZ,9,-9.26
EH40_01,3RCD,1,-9.745
EH40_01,3RCD,2,-9.592
EH40_01,3RCD,3,-9.451
EH40_01,3RCD,4,-9.388
EH40_01,3RCD,5,-9.115
EH40_01,3RCD,6,-9.004
EH40_01,3RCD,7,-9.003
EH40_01,3RCD,8,-9.0
EH40_01,3RCD,9,-8.886
EH40_02,3POZ,1,-10.799
EH40_02,3POZ,2,-10.538
EH40_02,3POZ,3,-10.522
EH40_02,3POZ,4,-10.214
EH40_02,3POZ,5,-10.118
EH40_02,3POZ,6,-10.046
EH40_02,3POZ,7,-10.041
EH40_02,3POZ,8,-9.889
EH40_02,3POZ,9,-9.792
EH40_02,3RCD,1,-10.571
EH40_02,3RCD,2,-10.192
EH40_02,3RCD,3,-9.565
EH40_02,3RCD,4,-9.508
EH40_02,3RCD,5,-9.481
EH40_02,3RCD,6,-9.4
EH40_02,3RCD,7,-9.285
EH40_02,3RCD,8,-9.135
EH40_02,3RCD,9,-9.066
EH40_03,3POZ,1,-10.133
EH40_03,3POZ,2,-9.52
EH40_03,3POZ,3,-9.319
EH40_03,3POZ,4,-8.922
EH40_03,3POZ,5,-8.909
EH40_03,3POZ,6,-8.83
EH40_03,3POZ,7,-8.741
EH40_03,3POZ,8,-8.647
EH40_03,3POZ,9,-8.574
EH40_03,3RCD,1,-10.215
EH40_03,3RCD,2,-9.863
EH40_03,3RCD,3,-9.491
EH40_03,3RCD,4,-9.086
EH40_03,3RCD,5,-8.99
EH40_03,3RCD,6,-8.681
EH40_03,3RCD,7,-8.436
EH40_03,3RCD,8,-8.32
EH40_03,3RCD,9,-8.234
EH40_04,3POZ,1,-11.968
EH40_04,3POZ,2,-11.872
EH40_04,3POZ,3,-11.687
EH40_04,3POZ,4,-11.622
EH40_04,3POZ,5,-11.56
EH40_04,3POZ,6,-11.542
EH40_04,3POZ,7,-11.489
EH40_04,3POZ,8,-11.307
EH40_04,3POZ,9,-11.285
EH40_04,3RCD,1,-11.632
EH40_04,3RCD,2,-11.554
EH40_04,3RCD,3,-11.537
EH40_04,3RCD,4,-11.368
EH40_04,3RCD,5,-11.172
EH40_04,3RCD,6,-11.086
EH40_04,3RCD,7,-10.904
EH40_04,3RCD,8,-10.869
EH40_04,3RCD,9,-10.724
EH40_05,3POZ,1,-10.098
EH40_05,3POZ,2,-9.496
EH40_05,3POZ,3,-9.408
EH40_05,3POZ,4,-9.384
EH40_05,3POZ,5,-9.101
EH40_05,3POZ,6,-8.96
EH40_05,3POZ,7,-8.918
EH40_05,3POZ,8,-8.808
EH40_05,3POZ,9,-8.781
EH40_05,3RCD,1,-9.98
EH40_05,3RCD,2,-9.668
EH40_05,3RCD,3,-9.497
EH40_05,3RCD,4,-9.276
EH40_05,3RCD,5,-8.933
EH40_05,3RCD,6,-8.904
