pair,ligand_id,class,in_directional_auroc
F2/F10,F2F10_001,A_only,1
F2/F10,F2F10_002,A_only,1
F2/F10,F2F10_003,A_only,1
F2/F10,F2F10_004,A_only,1
F2/F10,F2F10_005,A_only,1
F2/F10,F2F10_006,A_only,1
F2/F10,F2F10_007,A_only,1
F2/F10,F2F10_008,A_only,1
F2/F10,F2F10_009,A_only,1
F2/F10,F2F10_010,A_only,1
F2/F10,F2F10_011,A_only,1
F2/F10,F2F10_012,A_only,1
F2/F10,F2F10_013,A_only,1
F2/F10,F2F10_014,A_only,1
F2/F10,F2F10_015,A_only,1
F2/F10,F2F10_016,A_only,1
F2/F10,F2F10_017,A_only,1
F2/F10,F2F10_018,A_only,1
F2/F10,F2F10_019,A_only,1
F2/F10,F2F10_020,A_only,1
F2/F10,F2F10_021,A_only,1
F2/F10,F2F10_022,A_only,1
F2/F10,F2F10_023,A_only,1
F2/F10,F2F10_024,A_only,1
F2/F10,F2F10_025,A_only,1
F2/F10,F2F10_026,A_only,1
F2/F10,F2F10_027,A_only,1
F2/F10,F2F10_028,A_only,1
F2/F10,F2F10_029,A_only,1
F2/F10,F2F10_030,A_only,1
F2/F10,F2F10_031,A_only,1
F2/F10,F2F10_032,A_only,1
F2/F10,F2F10_033,B_only,1
F2/F10,F2F10_034,B_only,1
F2/F10,F2F10_035,B_only,1
F2/F10,F2F10_036,B_only,1
F2/F10,F2F10_037,B_only,1
F2/F10,F2F10_038,B_only,1
F2/F10,F2F10_039,B_only,1
F2/F10,F2F10_040,B_only,1
F2/F10,F2F10_041,B_only,1
F2/F10,F2F10_042,B_only,1
F2/F10,F2F10_043,B_only,1
F2/F10,F2F10_044,B_only,1
F2/F10,F2F10_045,B_only,1
F2/F10,F2F10_046,B_only,1
F2/F10,F2F10_047,B_only,1
F2/F10,F2F10_048,B_only,1
F2/F10,F2F10_049,B_only,1
F2/F10,F2F10_050,B_only,1
F2/F10,F2F10_051,B_only,1
F2/F10,F2F10_052,B_only,1
F2/F10,F2F10_053,B_only,1
F2/F10,F2F10_054,B_only,1
F2/F10,F2F10_055,B_only,1
F2/F10,F2F10_056,B_only,1
F2/F10,F2F10_057,B_only,1
F2/F10,F2F10_058,B_only,1
F2/F10,F2F10_059,B_only,1
F2/F10,F2F10_060,B_only,1
F2/F10,F2F10_061,B_only,1
F2/F10,F2F10_062,B_only,1
F2/F10,F2F10_063,B_only,1
F2/F10,F2F10_064,B_only,1
F2/F10,F2F10_065,dual,1
F2/F10,F2F10_066,dual,1
F2/F10,F2F10_067,dual,1
F2/F10,F2F10_068,dual,1
F2/F10,F2F10_069,dual,1
F2/F10,F2F10_070,dual,1
F2/F10,F2F10_071,dual,1
F2/F10,F2F10_072,dual,1
F2/F10,F2F10_073,dual,1
F2/F10,F2F10_074,dual,1
F2/F10,F2F10_075,dual,1
F2/F10,F2F10_076,dual,1
F2/F10,F2F10_077,dual,1
F2/F10,F2F10_078,dual,1
F2/F10,F2F10_079,dual,1
F2/F10,F2F10_081,dual,1
F2/F10,F2F10_082,dual,1
F2/F10,F2F10_083,dual,1
F2/F10,F2F10_084,dual,1
F2/F10,F2F10_085,dual,1
F2/F10,F2F10_086,dual,1
F2/F10,F2F10_087,dual,1
F2/F10,F2F10_088,dual,1
F2/F10,F2F10_089,dual,1
F2/F10,F2F10_090,dual,1
F2/F10,F2F10_091,dual,1
F2/F10,F2F10_092,dual,1
F2/F10,F2F10_093,dual,1
F2/F10,F2F10_094,dual,1
F2/F10,F2F10_095,dual,1
F2/F10,F2F10_096,dual,1
F2/F10,F2F10_097,neither,0
F2/F10,F2F10_098,neither,0
F2/F10,F2F10_099,neither,0
F2/F10,F2F10_100,neither,0
F2/F10,F2F10_101,neither,0
F2/F10,F2F10_102,neither,0
F2/F10,F2F10_103,neither,0
F2/F10,F2F10_104,neither,0
F2/F10,F2F10_107,neither,0
F2/F10,F2F10_108,neither,0
F2/F10,F2F10_109,neither,0
F2/F10,F2F10_110,neither,0
JAK1/TYK2,J1TYK2_001,A_only,1
JAK1/TYK2,J1TYK2_002,A_only,1
JAK1/TYK2,J1TYK2_003,A_only,1
JAK1/TYK2,J1TYK2_004,A_only,1
JAK1/TYK2,J1TYK2_005,A_only,1
JAK1/TYK2,J1TYK2_006,A_only,1
JAK1/TYK2,J1TYK2_007,A_only,1
JAK1/TYK2,J1TYK2_008,A_only,1
JAK1/TYK2,J1TYK2_009,A_only,1
JAK1/TYK2,J1TYK2_010,A_only,1
JAK1/TYK2,J1TYK2_011,A_only,1
JAK1/TYK2,J1TYK2_012,A_only,1
JAK1/TYK2,J1TYK2_013,A_only,1
JAK1/TYK2,J1TYK2_014,A_only,1
JAK1/TYK2,J1TYK2_015,A_only,1
JAK1/TYK2,J1TYK2_016,A_only,1
JAK1/TYK2,J1TYK2_017,A_only,1
JAK1/TYK2,J1TYK2_018,A_only,1
JAK1/TYK2,J1TYK2_019,A_only,1
JAK1/TYK2,J1TYK2_020,A_only,1
JAK1/TYK2,J1TYK2_021,A_only,1
JAK1/TYK2,J1TYK2_022,A_only,1
JAK1/TYK2,J1TYK2_023,A_only,1
JAK1/TYK2,J1TYK2_024,A_only,1
JAK1/TYK2,J1TYK2_025,A_only,1
JAK1/TYK2,J1TYK2_026,A_only,1
JAK1/TYK2,J1TYK2_027,A_only,1
JAK1/TYK2,J1TYK2_028,A_only,1
JAK1/TYK2,J1TYK2_029,A_only,1
JAK1/TYK2,J1TYK2_030,A_only,1
JAK1/TYK2,J1TYK2_031,A_only,1
JAK1/TYK2,J1TYK2_032,A_only,1
JAK1/TYK2,J1TYK2_033,B_only,1
JAK1/TYK2,J1TYK2_034,B_only,1
JAK1/TYK2,J1TYK2_035,B_only,1
JAK1/TYK2,J1TYK2_036,B_only,1
JAK1/TYK2,J1TYK2_037,B_only,1
JAK1/TYK2,J1TYK2_038,B_only,1
JAK1/TYK2,J1TYK2_039,B_only,1
JAK1/TYK2,J1TYK2_040,B_only,1
JAK1/TYK2,J1TYK2_041,B_only,1
JAK1/TYK2,J1TYK2_042,B_only,1
JAK1/TYK2,J1TYK2_043,B_only,1
JAK1/TYK2,J1TYK2_044,B_only,1
JAK1/TYK2,J1TYK2_045,B_only,1
JAK1/TYK2,J1TYK2_046,B_only,1
JAK1/TYK2,J1TYK2_047,B_only,1
JAK1/TYK2,J1TYK2_048,B_only,1
JAK1/TYK2,J1TYK2_049,B_only,1
JAK1/TYK2,J1TYK2_050,B_only,1
JAK1/TYK2,J1TYK2_051,B_only,1
JAK1/TYK2,J1TYK2_052,B_only,1
JAK1/TYK2,J1TYK2_053,B_only,1
JAK1/TYK2,J1TYK2_054,B_only,1
JAK1/TYK2,J1TYK2_055,B_only,1
JAK1/TYK2,J1TYK2_056,B_only,1
JAK1/TYK2,J1TYK2_057,B_only,1
JAK1/TYK2,J1TYK2_058,B_only,1
JAK1/TYK2,J1TYK2_059,B_only,1
JAK1/TYK2,J1TYK2_060,B_only,1
JAK1/TYK2,J1TYK2_061,B_only,1
JAK1/TYK2,J1TYK2_062,B_only,1
JAK1/TYK2,J1TYK2_063,B_only,1
JAK1/TYK2,J1TYK2_064,B_only,1
JAK1/TYK2,J1TYK2_065,dual,1
JAK1/TYK2,J1TYK2_066,dual,1
JAK1/TYK2,J1TYK2_067,dual,1
JAK1/TYK2,J1TYK2_068,dual,1
JAK1/TYK2,J1TYK2_069,dual,1
JAK1/TYK2,J1TYK2_070,dual,1
JAK1/TYK2,J1TYK2_071,dual,1
JAK1/TYK2,J1TYK2_072,dual,1
JAK1/TYK2,J1TYK2_073,dual,1
JAK1/TYK2,J1TYK2_074,dual,1
JAK1/TYK2,J1TYK2_075,dual,1
JAK1/TYK2,J1TYK2_076,dual,1
JAK1/TYK2,J1TYK2_077,dual,1
JAK1/TYK2,J1TYK2_078,dual,1
JAK1/TYK2,J1TYK2_079,dual,1
JAK1/TYK2,J1TYK2_080,dual,1
JAK1/TYK2,J1TYK2_081,dual,1
JAK1/TYK2,J1TYK2_082,dual,1
JAK1/TYK2,J1TYK2_083,dual,1
JAK1/TYK2,J1TYK2_084,dual,1
JAK1/TYK2,J1TYK2_085,dual,1
JAK1/TYK2,J1TYK2_086,dual,1
JAK1/TYK2,J1TYK2_087,dual,1
JAK1/TYK2,J1TYK2_088,dual,1
JAK1/TYK2,J1TYK2_089,dual,1
JAK1/TYK2,J1TYK2_090,dual,1
JAK1/TYK2,J1TYK2_091,dual,1
JAK1/TYK2,J1TYK2_093,dual,1
JAK1/TYK2,J1TYK2_094,dual,1
JAK1/TYK2,J1TYK2_095,dual,1
JAK1/TYK2,J1TYK2_096,dual,1
JAK1/TYK2,J1TYK2_097,neither,0
JAK1/TYK2,J1TYK2_098,neither,0
JAK1/TYK2,J1TYK2_099,neither,0
JAK1/TYK2,J1TYK2_100,neither,0
JAK1/TYK2,J1TYK2_101,neither,0
JAK1/TYK2,J1TYK2_102,neither,0
JAK1/TYK2,J1TYK2_103,neither,0
JAK1/TYK2,J1TYK2_104,neither,0
JAK1/TYK2,J1TYK2_105,neither,0
JAK1/TYK2,J1TYK2_106,neither,0
JAK1/TYK2,J1TYK2_107,neither,0
JAK1/TYK2,J1TYK2_108,neither,0
JAK1/TYK2,J1TYK2_109,neither,0
JAK1/TYK2,J1TYK2_110,neither,0
JAK1/JAK2,J1J2_001,A_only,1
JAK1/JAK2,J1J2_002,A_only,1
JAK1/JAK2,J1J2_003,A_only,1
JAK1/JAK2,J1J2_004,A_only,1
JAK1/JAK2,J1J2_005,A_only,1
JAK1/JAK2,J1J2_006,A_only,1
JAK1/JAK2,J1J2_007,A_only,1
JAK1/JAK2,J1J2_008,A_only,1
JAK1/JAK2,J1J2_009,A_only,1
JAK1/JAK2,J1J2_010,A_only,1
JAK1/JAK2,J1J2_011,A_only,1
JAK1/JAK2,J1J2_012,A_only,1
JAK1/JAK2,J1J2_013,A_only,1
JAK1/JAK2,J1J2_014,A_only,1
JAK1/JAK2,J1J2_015,A_only,1
JAK1/JAK2,J1J2_016,A_only,1
JAK1/JAK2,J1J2_017,A_only,1
JAK1/JAK2,J1J2_018,A_only,1
JAK1/JAK2,J1J2_019,A_only,1
JAK1/JAK2,J1J2_020,A_only,1
JAK1/JAK2,J1J2_021,A_only,1
JAK1/JAK2,J1J2_022,A_only,1
JAK1/JAK2,J1J2_023,A_only,1
JAK1/JAK2,J1J2_024,A_only,1
JAK1/JAK2,J1J2_025,A_only,1
JAK1/JAK2,J1J2_026,A_only,1
JAK1/JAK2,J1J2_027,A_only,1
JAK1/JAK2,J1J2_028,A_only,1
JAK1/JAK2,J1J2_029,A_only,1
JAK1/JAK2,J1J2_030,A_only,1
JAK1/JAK2,J1J2_031,A_only,1
JAK1/JAK2,J1J2_032,A_only,1
JAK1/JAK2,J1J2_033,B_only,1
JAK1/JAK2,J1J2_034,B_only,1
JAK1/JAK2,J1J2_035,B_only,1
JAK1/JAK2,J1J2_036,B_only,1
JAK1/JAK2,J1J2_037,B_only,1
JAK1/JAK2,J1J2_038,B_only,1
JAK1/JAK2,J1J2_039,B_only,1
JAK1/JAK2,J1J2_040,B_only,1
JAK1/JAK2,J1J2_041,B_only,1
JAK1/JAK2,J1J2_042,B_only,1
JAK1/JAK2,J1J2_043,B_only,1
JAK1/JAK2,J1J2_044,B_only,1
JAK1/JAK2,J1J2_045,B_only,1
JAK1/JAK2,J1J2_046,B_only,1
JAK1/JAK2,J1J2_047,B_only,1
JAK1/JAK2,J1J2_048,B_only,1
JAK1/JAK2,J1J2_049,B_only,1
JAK1/JAK2,J1J2_050,B_only,1
JAK1/JAK2,J1J2_051,B_only,1
JAK1/JAK2,J1J2_052,B_only,1
JAK1/JAK2,J1J2_053,B_only,1
JAK1/JAK2,J1J2_054,B_only,1
JAK1/JAK2,J1J2_055,B_only,1
JAK1/JAK2,J1J2_056,B_only,1
JAK1/JAK2,J1J2_057,B_only,1
JAK1/JAK2,J1J2_058,B_only,1
JAK1/JAK2,J1J2_059,B_only,1
JAK1/JAK2,J1J2_060,B_only,1
JAK1/JAK2,J1J2_061,B_only,1
JAK1/JAK2,J1J2_062,B_only,1
JAK1/JAK2,J1J2_063,B_only,1
JAK1/JAK2,J1J2_064,B_only,1
JAK1/JAK2,J1J2_065,dual,1
JAK1/JAK2,J1J2_066,dual,1
JAK1/JAK2,J1J2_067,dual,1
JAK1/JAK2,J1J2_068,dual,1
JAK1/JAK2,J1J2_069,dual,1
JAK1/JAK2,J1J2_070,dual,1
JAK1/JAK2,J1J2_071,dual,1
JAK1/JAK2,J1J2_072,dual,1
JAK1/JAK2,J1J2_073,dual,1
JAK1/JAK2,J1J2_074,dual,1
JAK1/JAK2,J1J2_075,dual,1
JAK1/JAK2,J1J2_076,dual,1
JAK1/JAK2,J1J2_077,dual,1
JAK1/JAK2,J1J2_078,dual,1
JAK1/JAK2,J1J2_079,dual,1
JAK1/JAK2,J1J2_080,dual,1
JAK1/JAK2,J1J2_081,dual,1
JAK1/JAK2,J1J2_082,dual,1
JAK1/JAK2,J1J2_083,dual,1
JAK1/JAK2,J1J2_084,dual,1
JAK1/JAK2,J1J2_085,dual,1
JAK1/JAK2,J1J2_086,dual,1
JAK1/JAK2,J1J2_087,dual,1
JAK1/JAK2,J1J2_088,dual,1
JAK1/JAK2,J1J2_089,dual,1
JAK1/JAK2,J1J2_090,dual,1
JAK1/JAK2,J1J2_091,dual,1
JAK1/JAK2,J1J2_092,dual,1
JAK1/JAK2,J1J2_093,dual,1
JAK1/JAK2,J1J2_094,dual,1
JAK1/JAK2,J1J2_095,dual,1
JAK1/JAK2,J1J2_096,dual,1
JAK1/JAK2,J1J2_097,neither,0
JAK1/JAK2,J1J2_098,neither,0
JAK1/JAK2,J1J2_099,neither,0
JAK1/JAK2,J1J2_100,neither,0
JAK1/JAK2,J1J2_101,neither,0
JAK1/JAK2,J1J2_102,neither,0
JAK1/JAK2,J1J2_103,neither,0
JAK1/JAK2,J1J2_104,neither,0
JAK1/JAK2,J1J2_105,neither,0
JAK1/JAK2,J1J2_106,neither,0
JAK1/JAK2,J1J2_107,neither,0
JAK1/JAK2,J1J2_108,neither,0
JAK1/JAK2,J1J2_109,neither,0
JAK1/JAK2,J1J2_110,neither,0
PPARG/PPARA,PGPA_001,A_only,1
PPARG/PPARA,PGPA_002,A_only,1
PPARG/PPARA,PGPA_003,A_only,1
PPARG/PPARA,PGPA_004,A_only,1
PPARG/PPARA,PGPA_005,A_only,1
PPARG/PPARA,PGPA_006,A_only,1
PPARG/PPARA,PGPA_007,A_only,1
PPARG/PPARA,PGPA_008,A_only,1
PPARG/PPARA,PGPA_009,A_only,1
PPARG/PPARA,PGPA_010,A_only,1
PPARG/PPARA,PGPA_011,A_only,1
PPARG/PPARA,PGPA_012,A_only,1
PPARG/PPARA,PGPA_013,A_only,1
PPARG/PPARA,PGPA_014,A_only,1
PPARG/PPARA,PGPA_015,A_only,1
PPARG/PPARA,PGPA_016,A_only,1
PPARG/PPARA,PGPA_017,A_only,1
PPARG/PPARA,PGPA_018,A_only,1
PPARG/PPARA,PGPA_019,A_only,1
PPARG/PPARA,PGPA_020,A_only,1
PPARG/PPARA,PGPA_021,A_only,1
PPARG/PPARA,PGPA_022,A_only,1
PPARG/PPARA,PGPA_023,A_only,1
PPARG/PPARA,PGPA_024,A_only,1
PPARG/PPARA,PGPA_025,A_only,1
PPARG/PPARA,PGPA_026,A_only,1
PPARG/PPARA,PGPA_027,A_only,1
PPARG/PPARA,PGPA_028,A_only,1
PPARG/PPARA,PGPA_029,A_only,1
PPARG/PPARA,PGPA_031,A_only,1
PPARG/PPARA,PGPA_032,A_only,1
PPARG/PPARA,PGPA_033,B_only,1
PPARG/PPARA,PGPA_034,B_only,1
PPARG/PPARA,PGPA_035,B_only,1
PPARG/PPARA,PGPA_036,B_only,1
PPARG/PPARA,PGPA_037,B_only,1
PPARG/PPARA,PGPA_038,B_only,1
PPARG/PPARA,PGPA_039,B_only,1
PPARG/PPARA,PGPA_040,B_only,1
PPARG/PPARA,PGPA_041,B_only,1
PPARG/PPARA,PGPA_042,B_only,1
PPARG/PPARA,PGPA_043,B_only,1
PPARG/PPARA,PGPA_044,B_only,1
PPARG/PPARA,PGPA_045,B_only,1
PPARG/PPARA,PGPA_046,B_only,1
PPARG/PPARA,PGPA_047,B_only,1
PPARG/PPARA,PGPA_048,B_only,1
PPARG/PPARA,PGPA_049,B_only,1
PPARG/PPARA,PGPA_050,B_only,1
PPARG/PPARA,PGPA_051,B_only,1
PPARG/PPARA,PGPA_052,B_only,1
PPARG/PPARA,PGPA_053,B_only,1
PPARG/PPARA,PGPA_054,B_only,1
PPARG/PPARA,PGPA_055,B_only,1
PPARG/PPARA,PGPA_056,B_only,1
PPARG/PPARA,PGPA_057,B_only,1
PPARG/PPARA,PGPA_058,B_only,1
PPARG/PPARA,PGPA_059,B_only,1
PPARG/PPARA,PGPA_060,B_only,1
PPARG/PPARA,PGPA_061,B_only,1
PPARG/PPARA,PGPA_062,B_only,1
PPARG/PPARA,PGPA_063,B_only,1
PPARG/PPARA,PGPA_064,B_only,1
PPARG/PPARA,PGPA_065,dual,1
PPARG/PPARA,PGPA_066,dual,1
PPARG/PPARA,PGPA_067,dual,1
PPARG/PPARA,PGPA_068,dual,1
PPARG/PPARA,PGPA_069,dual,1
PPARG/PPARA,PGPA_070,dual,1
PPARG/PPARA,PGPA_071,dual,1
PPARG/PPARA,PGPA_072,dual,1
PPARG/PPARA,PGPA_073,dual,1
PPARG/PPARA,PGPA_074,dual,1
PPARG/PPARA,PGPA_075,dual,1
PPARG/PPARA,PGPA_076,dual,1
PPARG/PPARA,PGPA_077,dual,1
PPARG/PPARA,PGPA_078,dual,1
PPARG/PPARA,PGPA_079,dual,1
PPARG/PPARA,PGPA_080,dual,1
PPARG/PPARA,PGPA_081,dual,1
PPARG/PPARA,PGPA_082,dual,1
PPARG/PPARA,PGPA_083,dual,1
PPARG/PPARA,PGPA_084,dual,1
PPARG/PPARA,PGPA_085,dual,1
PPARG/PPARA,PGPA_086,dual,1
PPARG/PPARA,PGPA_087,dual,1
PPARG/PPARA,PGPA_088,dual,1
PPARG/PPARA,PGPA_089,dual,1
PPARG/PPARA,PGPA_090,dual,1
PPARG/PPARA,PGPA_091,dual,1
PPARG/PPARA,PGPA_092,dual,1
PPARG/PPARA,PGPA_093,dual,1
PPARG/PPARA,PGPA_094,dual,1
PPARG/PPARA,PGPA_095,dual,1
PPARG/PPARA,PGPA_096,dual,1
PPARG/PPARA,PGPA_097,neither,0
PPARG/PPARA,PGPA_098,neither,0
PPARG/PPARA,PGPA_099,neither,0
PPARG/PPARA,PGPA_100,neither,0
PPARG/PPARA,PGPA_101,neither,0
PPARG/PPARA,PGPA_102,neither,0
PPARG/PPARA,PGPA_103,neither,0
PPARG/PPARA,PGPA_104,neither,0
PPARG/PPARA,PGPA_105,neither,0
PPARG/PPARA,PGPA_106,neither,0
PPARG/PPARA,PGPA_107,neither,0
PPARG/PPARA,PGPA_108,neither,0
PPARG/PPARA,PGPA_109,neither,0
PPARG/PPARA,PGPA_110,neither,0
PPARA/PPARD,PAPD_001,A_only,1
PPARA/PPARD,PAPD_002,A_only,1
PPARA/PPARD,PAPD_003,A_only,1
