pair,system,label_rule,n_dual,n_A_only,n_B_only,n_scored_both_ends,heavy_summary_min,mw_summary_min,clogp_summary_min,tpsa_summary_min,best_single_descriptor,best_single_descriptor_summary_min,vina_summary_min,vina_summary_min_ci_lo,vina_summary_min_ci_hi,delta_vina_minus_best_descriptor,note
F2/F10,coagulation,strict_6.5_5.5_panel,31,32,32,107,0.432,0.4819,0.5151,0.3453,clogp,0.5151,0.3448,0.2077,0.4476,-0.1703,"best single descriptor is a reference, not a confirmatory competitor"
JAK1/TYK2,JAK,strict_6.5_5.5_panel,31,32,32,109,0.369,0.3891,0.5796,0.4254,clogp,0.5796,0.3649,0.2339,0.5071,-0.2147,"best single descriptor is a reference, not a confirmatory competitor"
JAK1/JAK2,JAK,strict_6.5_5.5_panel,32,32,32,110,0.5781,0.5649,0.4795,0.5698,heavy,0.5781,0.5884,0.4404,0.7139,0.0103,"best single descriptor is a reference, not a confirmatory competitor"
PPARG/PPARA,PPAR,strict_6.5_5.5_panel,32,31,32,109,0.5071,0.4778,0.4849,0.6274,tpsa,0.6274,0.6492,0.5101,0.75,0.0218,"best single descriptor is a reference, not a confirmatory competitor"
PPARA/PPARD,PPAR,strict_6.5_5.5_panel,32,32,32,110,0.4902,0.4365,0.5635,0.3506,clogp,0.5635,0.4463,0.293,0.5801,-0.1172,"best single descriptor is a reference, not a confirmatory competitor"
