pair,target,ligand,rtm_best,best_mode,status
F2/F10,4UDW,F2F10_001,70.0138936185105,2,success
F2/F10,4UDW,F2F10_002,91.7162936695895,5,success
F2/F10,4UDW,F2F10_003,52.19133403405064,1,success
F2/F10,4UDW,F2F10_004,75.57725659069469,4,success
F2/F10,4UDW,F2F10_005,75.63193056221766,1,success
F2/F10,4UDW,F2F10_006,49.672208249341466,1,success
F2/F10,4UDW,F2F10_007,49.27281477998848,2,success
F2/F10,4UDW,F2F10_008,34.76612370760376,2,success
F2/F10,4UDW,F2F10_009,40.86362700311686,3,success
F2/F10,4UDW,F2F10_010,109.1876791169679,2,success
F2/F10,4UDW,F2F10_011,53.63410138243993,5,success
F2/F10,4UDW,F2F10_012,70.83059749585675,1,success
F2/F10,4UDW,F2F10_013,44.51476335878558,1,success
F2/F10,4UDW,F2F10_014,51.82512973702491,1,success
F2/F10,4UDW,F2F10_015,30.20464910043282,2,success
F2/F10,4UDW,F2F10_016,52.89816469054892,4,success
F2/F10,4UDW,F2F10_017,137.51932428879573,1,success
F2/F10,4UDW,F2F10_018,126.91058072493716,2,success
F2/F10,4UDW,F2F10_019,105.20283216339644,4,success
F2/F10,4UDW,F2F10_020,45.72609150831324,9,success
F2/F10,4UDW,F2F10_021,51.95746752282959,8,success
F2/F10,4UDW,F2F10_022,66.33031928560392,2,success
F2/F10,4UDW,F2F10_023,93.50118793997753,8,success
F2/F10,4UDW,F2F10_024,88.78268896440929,5,success
F2/F10,4UDW,F2F10_025,82.34115582520839,5,success
F2/F10,4UDW,F2F10_026,96.14199721167368,1,success
F2/F10,4UDW,F2F10_027,92.92263212389224,3,success
F2/F10,4UDW,F2F10_028,43.60738913516499,3,success
F2/F10,4UDW,F2F10_029,48.04475345435426,7,success
F2/F10,4UDW,F2F10_030,42.21822198205646,5,success
F2/F10,4UDW,F2F10_031,42.89857979574187,1,success
F2/F10,4UDW,F2F10_032,90.4463640408467,2,success
F2/F10,4UDW,F2F10_033,68.48770774641386,3,success
F2/F10,4UDW,F2F10_034,45.67035587425093,2,success
F2/F10,4UDW,F2F10_035,80.0526224871537,3,success
F2/F10,4UDW,F2F10_036,66.56433677162974,2,success
F2/F10,4UDW,F2F10_037,61.71934600825848,1,success
F2/F10,4UDW,F2F10_038,82.49722389870303,4,success
F2/F10,4UDW,F2F10_039,143.54025015217226,1,success
F2/F10,4UDW,F2F10_040,45.2448040738523,2,success
F2/F10,4UDW,F2F10_041,66.11016221743803,2,success
F2/F10,4UDW,F2F10_042,68.89528934485261,8,success
F2/F10,4UDW,F2F10_043,72.21770369043662,5,success
F2/F10,4UDW,F2F10_044,70.22896791670993,3,success
F2/F10,4UDW,F2F10_045,46.86412200871483,6,success
F2/F10,4UDW,F2F10_046,68.47228751380005,4,success
F2/F10,4UDW,F2F10_047,79.46998853274889,1,success
F2/F10,4UDW,F2F10_048,37.454509445061134,1,success
F2/F10,4UDW,F2F10_049,52.8815971656525,4,success
F2/F10,4UDW,F2F10_050,55.24071661394455,1,success
F2/F10,4UDW,F2F10_051,64.28469857682947,2,success
F2/F10,4UDW,F2F10_052,73.74021827868155,1,success
F2/F10,4UDW,F2F10_053,71.22442124088239,5,success
F2/F10,4UDW,F2F10_054,81.64173522030787,5,success
F2/F10,4UDW,F2F10_055,87.36575171598743,1,success
F2/F10,4UDW,F2F10_056,57.28117558822876,4,success
F2/F10,4UDW,F2F10_057,141.20956867403856,1,success
F2/F10,4UDW,F2F10_058,69.515454562807,5,success
F2/F10,4UDW,F2F10_059,76.67540365857433,7,success
F2/F10,4UDW,F2F10_060,73.3289242159591,3,success
F2/F10,4UDW,F2F10_061,67.0801943679824,2,success
F2/F10,4UDW,F2F10_062,91.50954863298732,5,success
F2/F10,4UDW,F2F10_063,40.53989814110431,3,success
F2/F10,4UDW,F2F10_064,35.4274131841294,7,success
F2/F10,4UDW,F2F10_065,61.093740462537085,2,success
F2/F10,4UDW,F2F10_066,59.6556740646518,1,success
F2/F10,4UDW,F2F10_067,90.37378792478334,1,success
F2/F10,4UDW,F2F10_068,141.67030445882503,1,success
F2/F10,4UDW,F2F10_069,64.3915528095176,2,success
F2/F10,4UDW,F2F10_070,77.10174146068178,1,success
F2/F10,4UDW,F2F10_071,88.62356568308239,2,success
F2/F10,4UDW,F2F10_072,48.8205151775069,1,success
F2/F10,4UDW,F2F10_073,111.68377931643111,7,success
F2/F10,4UDW,F2F10_074,83.95173988328226,5,success
F2/F10,4UDW,F2F10_075,73.01616631888422,4,success
F2/F10,4UDW,F2F10_076,77.40743376509926,9,success
F2/F10,4UDW,F2F10_077,40.476657410243696,3,success
F2/F10,4UDW,F2F10_078,58.40873533491713,1,success
F2/F10,4UDW,F2F10_079,91.51239308989996,3,success
F2/F10,4UDW,F2F10_081,67.7462497647069,8,success
F2/F10,4UDW,F2F10_082,66.69940033294094,1,success
F2/F10,4UDW,F2F10_083,51.35997855661465,1,success
F2/F10,4UDW,F2F10_084,51.86237413028785,1,success
F2/F10,4UDW,F2F10_085,63.97005598055981,2,success
F2/F10,4UDW,F2F10_086,88.75304988179583,1,success
F2/F10,4UDW,F2F10_087,40.95726780409086,6,success
F2/F10,4UDW,F2F10_088,46.98729018430209,3,success
F2/F10,4UDW,F2F10_089,110.31322495411008,6,success
F2/F10,4UDW,F2F10_090,89.12207877502817,3,success
F2/F10,4UDW,F2F10_091,108.50418774805526,6,success
F2/F10,4UDW,F2F10_092,107.7554319218397,6,success
F2/F10,4UDW,F2F10_093,47.11749286718188,7,success
F2/F10,4UDW,F2F10_094,90.24311837992995,4,success
F2/F10,4UDW,F2F10_095,91.07510228704338,2,success
F2/F10,4UDW,F2F10_096,77.79489614108608,1,success
F2/F10,4UDW,F2F10_097,78.26242147386054,2,success
F2/F10,4UDW,F2F10_098,56.72858315907873,4,success
F2/F10,4UDW,F2F10_099,41.431639966683576,5,success
F2/F10,4UDW,F2F10_100,55.97138664000239,2,success
