ligand,gnina_cnn_4UDW,gnina_aff_4UDW,gnina_cnn_2JKH,gnina_aff_2JKH,gnina_cnn_6N7A,gnina_aff_6N7A,gnina_cnn_3LXP,gnina_aff_3LXP,gnina_cnn_8BXH,gnina_aff_8BXH,gnina_cnn_9V8H,gnina_aff_9V8H,gnina_cnn_6LXA,gnina_aff_6LXA,gnina_cnn_5U3Q,gnina_aff_5U3Q
F2F10_065,0.7208713293,5.6589736938,0.6750612259,5.6601929665,,,,,,,,,,,,
F2F10_066,0.2279290706,6.1085076332,0.5696965456,7.0098385811,,,,,,,,,,,,
F2F10_067,0.8786605597,8.1877536774,0.3429569602,7.1322340965,,,,,,,,,,,,
F2F10_068,0.9359445572,8.5143690109,0.6844228506,8.1145219803,,,,,,,,,,,,
F2F10_069,0.2114486247,7.1376624107,0.5635079741,7.3146133423,,,,,,,,,,,,
F2F10_070,0.6172819138,8.2719392776,0.9284719825,8.3035936356,,,,,,,,,,,,
F2F10_071,0.9864192605,8.1202716827,0.858093977,7.1210885048,,,,,,,,,,,,
F2F10_072,0.3804820776,7.1243095398,0.3412074149,6.7422308922,,,,,,,,,,,,
F2F10_073,0.8684873581,8.1905231476,0.9244605303,8.1510782242,,,,,,,,,,,,
F2F10_074,0.6950064898,6.6289353371,0.6059129238,6.5533528328,,,,,,,,,,,,
F2F10_075,0.9132980704,8.4954824448,0.7911515832,7.7246880531,,,,,,,,,,,,
F2F10_076,0.3792511225,7.2061328888,0.7127017975,7.7579021454,,,,,,,,,,,,
F2F10_077,0.1193146333,6.3412971497,0.2735463679,6.6779866219,,,,,,,,,,,,
F2F10_078,0.7027121186,7.1645541191,0.7476702332,7.3103346825,,,,,,,,,,,,
F2F10_079,0.8166549206,7.9151229858,0.8040081859,7.4316806793,,,,,,,,,,,,
F2F10_081,0.5352740884,8.3364562988,0.8791825175,8.4436674118,,,,,,,,,,,,
F2F10_082,0.4066692889,7.9929766655,0.83201015,8.1962614059,,,,,,,,,,,,
F2F10_083,0.7562984824,8.4077415466,0.7836467624,8.3105115891,,,,,,,,,,,,
F2F10_084,0.2897842228,6.7183265686,0.5922271609,6.7821507454,,,,,,,,,,,,
F2F10_085,0.722209692,7.9291667938,0.8539656401,8.2349529266,,,,,,,,,,,,
F2F10_086,0.574984014,8.1105394363,0.727453649,7.9114794731,,,,,,,,,,,,
F2F10_087,0.2697785497,7.445909977,0.3693818748,7.0427498817,,,,,,,,,,,,
F2F10_088,0.5196507573,7.7522850037,0.370110184,6.9851279259,,,,,,,,,,,,
F2F10_089,0.9356617928,8.2630243301,0.9473319054,8.372300148,,,,,,,,,,,,
F2F10_090,0.8783021569,7.9533004761,0.970484674,8.1823730469,,,,,,,,,,,,
F2F10_091,0.8331000209,8.2055015564,0.862523675,8.36323452,,,,,,,,,,,,
F2F10_092,0.8739768863,7.9375815392,0.9666178823,8.5557546616,,,,,,,,,,,,
F2F10_093,0.388725698,6.8161244392,0.3769223392,6.018632412,,,,,,,,,,,,
F2F10_094,0.8638632298,8.6005887985,0.9230679274,8.0969171524,,,,,,,,,,,,
F2F10_095,0.8778702617,8.4290390015,0.8423740864,8.2399721146,,,,,,,,,,,,
F2F10_096,0.8991811275,7.7590312958,0.9652425647,8.1419801712,,,,,,,,,,,,
F2F10_097,0.5218786597,7.8450279236,0.4924534559,7.0682892799,,,,,,,,,,,,
F2F10_098,0.4539926648,8.3052778244,0.2514130771,7.5191597939,,,,,,,,,,,,
F2F10_099,0.946634531,7.8706374168,0.8815528154,7.98285532,,,,,,,,,,,,
F2F10_100,0.654052794,7.8060746193,0.7971767187,7.4857177734,,,,,,,,,,,,
F2F10_101,0.664937377,7.2099394798,0.309889704,6.4403815269,,,,,,,,,,,,
F2F10_102,0.4627943635,6.7002792358,0.2167386562,5.8334555626,,,,,,,,,,,,
F2F10_103,0.4603197873,6.7110600471,0.6086683869,6.0683465004,,,,,,,,,,,,
F2F10_104,0.6261700392,6.12560606,0.8023523092,6.6183648109,,,,,,,,,,,,
F2F10_105,,,0.6688967347,7.2605686188,,,,,,,,,,,,
F2F10_106,,,0.1789607257,7.8915343285,,,,,,,,,,,,
F2F10_107,0.3130677044,8.18064785,0.2525804639,7.4025034904,,,,,,,,,,,,
F2F10_108,0.625528276,6.7854075432,0.6547452211,5.6867527962,,,,,,,,,,,,
F2F10_109,0.516622901,6.8298530579,0.5855317116,5.765586853,,,,,,,,,,,,
F2F10_110,0.3766650259,7.0047225952,0.4073794782,6.7971920967,,,,,,,,,,,,
J1J2_001,,,,,0.1327799112,4.7105183601,,,0.099228844,5.9089488983,,,,,,
J1J2_002,,,,,0.8296094537,7.3623900414,,,0.7772107124,7.3469252586,,,,,,
J1J2_003,,,,,0.8508781791,7.2589287758,,,0.8281210661,7.5627121925,,,,,,
J1J2_004,,,,,0.8623182178,6.8932991028,,,0.8900709152,7.0080661774,,,,,,
J1J2_005,,,,,0.5992602706,6.194355011,,,0.695546329,6.5770926476,,,,,,
J1J2_006,,,,,0.5129104853,5.8630623817,,,0.6707824469,6.3699555397,,,,,,
J1J2_007,,,,,0.8532466888,7.3896808624,,,0.7192158103,7.0716080666,,,,,,
J1J2_008,,,,,0.6837202311,6.4372830391,,,0.1788199544,5.5592498779,,,,,,
J1J2_009,,,,,0.2592211962,6.4058241844,,,0.7826220393,7.5476861,,,,,,
J1J2_010,,,,,0.0781837329,4.7155337334,,,0.6761472821,7.6846065521,,,,,,
J1J2_011,,,,,0.4549561739,6.9396891594,,,0.8087335229,7.5714988708,,,,,,
J1J2_012,,,,,0.1572366655,6.4487404823,,,0.2271845192,6.7576708794,,,,,,
J1J2_013,,,,,0.8215147853,8.3882226944,,,0.4031514525,8.0387849808,,,,,,
J1J2_014,,,,,0.4230774641,8.1076936722,,,0.4009066522,8.1554336548,,,,,,
J1J2_015,,,,,0.9570153356,8.2849578857,,,0.6618441343,7.6043872833,,,,,,
J1J2_016,,,,,0.7579488158,8.2223434448,,,0.1198814437,7.0138678551,,,,,,
J1J2_017,,,,,0.4999887943,7.4694423676,,,0.0778026357,6.4341845512,,,,,,
J1J2_018,,,,,0.9666777849,7.9942641258,,,0.8724309206,8.0860948563,,,,,,
