pair_hint,target,ligand,cnn_score,cnn_affinity
F2/F10,4UDW,F2F10_032,0.9327925444,8.0327577591
F2/F10,2JKH,F2F10_033,0.8063640594,7.9714951515
F2/F10,4UDW,F2F10_033,0.5954595804,7.1572780609
F2/F10,2JKH,F2F10_034,0.7856299877,8.0510940552
F2/F10,4UDW,F2F10_034,0.7935979962,8.1444892883
F2/F10,2JKH,F2F10_035,0.6002310514,7.6684012413
F2/F10,4UDW,F2F10_035,0.4703675807,7.7191519737
F2/F10,2JKH,F2F10_036,0.5939126015,7.0257086754
F2/F10,4UDW,F2F10_036,0.5646802783,7.3229117393
F2/F10,2JKH,F2F10_037,0.8038768768,7.9771018028
F2/F10,4UDW,F2F10_037,0.5633073449,7.646648407
F2/F10,2JKH,F2F10_038,0.3902741075,7.090736866
F2/F10,4UDW,F2F10_038,0.6802053452,7.9123892784
F2/F10,2JKH,F2F10_039,0.9120324254,8.4943132401
F2/F10,4UDW,F2F10_039,0.8310878277,7.9770407677
F2/F10,2JKH,F2F10_040,0.298235476,7.0654854774
F2/F10,4UDW,F2F10_040,0.3523370028,7.097890377
F2/F10,2JKH,F2F10_041,0.6309040189,8.4170045853
F2/F10,4UDW,F2F10_041,0.4707303643,7.9485015869
F2/F10,2JKH,F2F10_042,0.9422475696,7.7782855034
F2/F10,4UDW,F2F10_042,0.8408154845,7.5514903069
F2/F10,2JKH,F2F10_043,0.8104330301,8.3297204971
F2/F10,4UDW,F2F10_043,0.1799906641,7.4040603638
F2/F10,2JKH,F2F10_044,0.209526822,6.8165450096
F2/F10,4UDW,F2F10_044,0.0658389926,6.9250016212
F2/F10,2JKH,F2F10_045,0.796910584,7.6416420937
F2/F10,4UDW,F2F10_045,0.2766999006,7.2589812279
F2/F10,2JKH,F2F10_046,0.850515604,8.5046110153
F2/F10,4UDW,F2F10_046,0.422336787,7.8830170631
F2/F10,2JKH,F2F10_047,0.8443616033,8.0573015213
F2/F10,4UDW,F2F10_047,0.7905961871,7.8103289604
F2/F10,2JKH,F2F10_048,0.5302749872,7.1767144203
F2/F10,4UDW,F2F10_048,0.6632000804,7.6823859215
F2/F10,2JKH,F2F10_049,0.6882371902,7.3962841034
F2/F10,4UDW,F2F10_049,0.8062583804,8.1438322067
F2/F10,2JKH,F2F10_050,0.9175783992,7.8599243164
F2/F10,4UDW,F2F10_050,0.8073132634,8.1259336472
F2/F10,2JKH,F2F10_051,0.7719730735,7.5709500313
F2/F10,4UDW,F2F10_051,0.7489702702,7.3639583588
F2/F10,2JKH,F2F10_052,0.9585220218,7.8065490723
F2/F10,4UDW,F2F10_052,0.7146769166,7.2147269249
F2/F10,2JKH,F2F10_053,0.7142239213,7.3782162666
F2/F10,4UDW,F2F10_053,0.4648098648,7.3212313652
F2/F10,2JKH,F2F10_054,0.6821342707,8.2240381241
F2/F10,4UDW,F2F10_054,0.5391082168,8.172413826
F2/F10,2JKH,F2F10_055,0.9040554166,8.0103082657
F2/F10,4UDW,F2F10_055,0.894779861,7.8550567627
F2/F10,2JKH,F2F10_056,0.4238015115,7.1114826202
F2/F10,4UDW,F2F10_056,0.1739278883,6.4928951263
F2/F10,2JKH,F2F10_057,0.7429353595,8.3364143372
F2/F10,4UDW,F2F10_057,0.7507071495,8.4229059219
F2/F10,2JKH,F2F10_058,0.9051566124,8.6766500473
F2/F10,4UDW,F2F10_058,0.6336464286,8.1146669388
F2/F10,2JKH,F2F10_059,0.8955773711,7.9902348518
F2/F10,4UDW,F2F10_059,0.608784318,7.3536491394
F2/F10,2JKH,F2F10_060,0.4651711285,7.6112351418
F2/F10,4UDW,F2F10_060,0.1913141608,8.2140550613
F2/F10,2JKH,F2F10_061,0.6936479211,8.1138563156
F2/F10,4UDW,F2F10_061,0.3768751919,7.4416732788
F2/F10,2JKH,F2F10_062,0.9469793439,7.788497448
F2/F10,4UDW,F2F10_062,0.8307974339,7.4839186668
F2/F10,2JKH,F2F10_063,0.7954909205,7.939977169
F2/F10,4UDW,F2F10_063,0.6719122529,8.0232801437
F2/F10,2JKH,F2F10_064,0.4961924851,7.4812235832
F2/F10,4UDW,F2F10_064,0.2252102196,7.6303668022
F2/F10,2JKH,F2F10_065,0.6750612259,5.6601929665
F2/F10,4UDW,F2F10_065,0.7208713293,5.6589736938
F2/F10,2JKH,F2F10_066,0.5696965456,7.0098385811
F2/F10,4UDW,F2F10_066,0.2279290706,6.1085076332
F2/F10,2JKH,F2F10_067,0.3429569602,7.1322340965
F2/F10,4UDW,F2F10_067,0.8786605597,8.1877536774
F2/F10,2JKH,F2F10_068,0.6844228506,8.1145219803
F2/F10,4UDW,F2F10_068,0.9359445572,8.5143690109
F2/F10,2JKH,F2F10_069,0.5635079741,7.3146133423
F2/F10,4UDW,F2F10_069,0.2114486247,7.1376624107
F2/F10,2JKH,F2F10_070,0.9284719825,8.3035936356
F2/F10,4UDW,F2F10_070,0.6172819138,8.2719392776
F2/F10,2JKH,F2F10_071,0.858093977,7.1210885048
F2/F10,4UDW,F2F10_071,0.9864192605,8.1202716827
F2/F10,2JKH,F2F10_072,0.3412074149,6.7422308922
F2/F10,4UDW,F2F10_072,0.3804820776,7.1243095398
F2/F10,2JKH,F2F10_073,0.9244605303,8.1510782242
F2/F10,4UDW,F2F10_073,0.8684873581,8.1905231476
F2/F10,2JKH,F2F10_074,0.6059129238,6.5533528328
F2/F10,4UDW,F2F10_074,0.6950064898,6.6289353371
F2/F10,2JKH,F2F10_075,0.7911515832,7.7246880531
F2/F10,4UDW,F2F10_075,0.9132980704,8.4954824448
F2/F10,2JKH,F2F10_076,0.7127017975,7.7579021454
F2/F10,4UDW,F2F10_076,0.3792511225,7.2061328888
F2/F10,2JKH,F2F10_077,0.2735463679,6.6779866219
F2/F10,4UDW,F2F10_077,0.1193146333,6.3412971497
