pair,system,label_rule,n_dual,n_A_only,n_B_only,n_neither,n_scored_both_ends,auroc_D_vs_A_pocketB,auroc_D_vs_B_pocketA,summary_min,summary_min_ci_lo,summary_min_ci_hi,target_a,target_b
F2/F10,coagulation,strict_6.5_5.5_panel,31,32,32,12,107,0.4133,0.3448,0.3448,0.2077,0.4476,4UDW,2JKH
JAK1/TYK2,JAK,strict_6.5_5.5_panel,31,32,32,14,109,0.5751,0.3649,0.3649,0.2339,0.5071,6N7A,3LXP
JAK1/JAK2,JAK,strict_6.5_5.5_panel,32,32,32,14,110,0.5884,0.7275,0.5884,0.4404,0.7139,6N7A,8BXH
PPARG/PPARA,PPAR,strict_6.5_5.5_panel,32,31,32,14,109,0.6492,0.7061,0.6492,0.5101,0.75,9V8H,6LXA
PPARA/PPARD,PPAR,strict_6.5_5.5_panel,32,32,32,14,110,0.6465,0.4463,0.4463,0.293,0.5801,6LXA,5U3Q
F2/F10,coagulation,theta6_0,31,32,32,12,107,0.4133,0.3448,0.3448,0.2077,0.4466,4UDW,2JKH
JAK1/TYK2,JAK,theta6_0,31,32,32,14,109,0.5751,0.3649,0.3649,0.2339,0.501,6N7A,3LXP
JAK1/JAK2,JAK,theta6_0,32,32,32,14,110,0.5884,0.7275,0.5884,0.4458,0.7168,6N7A,8BXH
PPARG/PPARA,PPAR,theta6_0,32,31,32,14,109,0.6492,0.7061,0.6492,0.5039,0.7393,9V8H,6LXA
PPARA/PPARD,PPAR,theta6_0,32,32,32,14,110,0.6465,0.4463,0.4463,0.2988,0.5879,6LXA,5U3Q
