pair,dataset,n_dual,n_A_only,n_B_only,matched_D_vs_A,wrong_D_vs_A,delta_D_vs_A,matched_D_vs_B,wrong_D_vs_B,delta_D_vs_B,matched_summary_min,wrong_summary_min,delta_summary_min,delta_summary_min_ci,weaker_matched,weaker_wrong,weaker_switched,weaker_switched_definition,unidirectional_delta_is,ci_applies_to,derivation
EGFR/HER2,main_panel,28,38,32,0.6664,0.6983,-0.0319,0.4297,0.2600,0.1697,0.4297,0.2600,0.1697,"[0.060, 0.280]",D_vs_B,D_vs_B,no,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
AChE/BChE,main_panel,27,25,28,0.6504,0.4444,0.2060,0.6058,0.5582,0.0476,0.6058,0.4444,0.1614,"[0.037, 0.269]",D_vs_B,D_vs_A,yes,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
AChE/BChE,unused_pool_holdout,20,20,20,0.6350,0.6425,-0.0075,0.6175,0.6525,-0.0350,0.6175,0.6425,-0.0250,"[-0.112, 0.071]",D_vs_B,D_vs_A,yes,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
PIK3CA/mTOR,main_panel,18,14,12,0.7143,0.7103,0.0040,0.6921,0.6019,0.0902,0.6921,0.6019,0.0902,"[-0.122, 0.263]",D_vs_B,D_vs_B,no,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
PIK3CA/mTOR,unused_pool_holdout,20,20,20,0.8600,0.7875,0.0725,0.7650,0.8575,-0.0925,0.7650,0.7875,-0.0225,"[-0.117, 0.079]",D_vs_B,D_vs_A,yes,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
F2/F10,main_panel,31,32,32,0.4133,0.4506,-0.0373,0.3448,0.3755,-0.0307,0.3448,0.3755,-0.0307,"[-0.117, 0.040]",D_vs_B,D_vs_B,no,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
F2/F10,unused_pool_holdout,19,20,20,0.3921,0.6987,-0.3066,0.5513,0.4711,0.0802,0.3921,0.4711,-0.0790,"[-0.251, 0.075]",D_vs_A,D_vs_B,yes,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
JAK1/TYK2,main_panel,31,32,32,0.5751,0.5151,0.0600,0.3649,0.4294,-0.0645,0.3649,0.4294,-0.0645,"[-0.152, 0.038]",D_vs_B,D_vs_B,no,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
JAK1/TYK2,unused_pool_holdout,20,20,20,0.6438,0.6500,-0.0062,0.4750,0.4500,0.0250,0.4750,0.4500,0.0250,"[-0.087, 0.133]",D_vs_B,D_vs_B,no,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
JAK1/JAK2,main_panel,32,32,32,0.5884,0.6074,-0.0190,0.7275,0.7231,0.0044,0.5884,0.6074,-0.0190,"[-0.097, 0.054]",D_vs_A,D_vs_A,no,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
JAK1/JAK2,unused_pool_holdout,20,20,18,0.6525,0.6288,0.0237,0.6194,0.6111,0.0083,0.6194,0.6111,0.0083,"[-0.072, 0.111]",D_vs_B,D_vs_B,no,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
PPARG/PPARA,main_panel,32,31,32,0.6492,0.6512,-0.0020,0.7061,0.6196,0.0865,0.6492,0.6196,0.0296,"[-0.081, 0.163]",D_vs_A,D_vs_B,yes,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
PPARG/PPARA,unused_pool_holdout,20,19,20,0.7026,0.5289,0.1737,0.5350,0.7037,-0.1687,0.5350,0.5289,0.0061,"[-0.168, 0.183]",D_vs_B,D_vs_A,yes,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
PPARA/PPARD,main_panel,32,32,32,0.6465,0.4346,0.2119,0.4463,0.4990,-0.0527,0.4463,0.4346,0.0117,"[-0.092, 0.145]",D_vs_B,D_vs_A,yes,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
PPARA/PPARD,unused_pool_holdout,20,20,20,0.4450,0.2950,0.1500,0.4575,0.3862,0.0713,0.4450,0.2950,0.1500,"[-0.056, 0.294]",D_vs_A,D_vs_A,no,matched_vs_mismatched_weaker_arm,point_estimate_only,delta_summary_min_only,rearranged_from_locked_wrong_pocket_tables
