repurposing_id,canonical_smiles,status,pdbqt,n_microspecies,selected_smiles,formal_charge,has_carboxylate,all_microspecies,mw
REP_01593,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_01593.pdbqt,1,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)[O-],-1,True,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)[O-],522.6220000000003
REP_05922,Cc1cc(C(=O)O)ccc1COc1cc2c(cc1N(CC(C)C)S(=O)(=O)c1nccs1)CCC2,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_05922.pdbqt,1,Cc1cc(C(=O)[O-])ccc1COc1cc2c(cc1N(CC(C)C)S(=O)(=O)c1nccs1)CCC2,-1,True,Cc1cc(C(=O)[O-])ccc1COc1cc2c(cc1N(CC(C)C)S(=O)(=O)c1nccs1)CCC2,499.6340000000003
REP_03238,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)O,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_03238.pdbqt,1,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)[O-],-1,True,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)[O-],498.54300000000023
REP_01122,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_01122.pdbqt,1,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)[O-],-1,True,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)[O-],517.9240000000003
REP_04971,CCCSc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_04971.pdbqt,1,CCCSc1nc(N2CCC[C@@H](CC(=O)[O-])C2)ccc1C(=O)NC1CCCCC1,-1,True,CCCSc1nc(N2CCC[C@@H](CC(=O)[O-])C2)ccc1C(=O)NC1CCCCC1,418.5830000000002
REP_07580,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_07580.pdbqt,2,N#Cc1ccc(N2N=C3c4ccc(C(=O)[O-])cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,-1,True,N#Cc1ccc([NH+]2N=C3c4ccc(C(=O)[O-])cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl|N#Cc1ccc(N2N=C3c4ccc(C(=O)[O-])cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,418.9040000000002
REP_06464,CCCOc1ccc2c(c1)[C@@H](c1ccc(OC)cc1OCCO)[C@H](C(=O)O)[C@H]2c1ccc2c(c1)OCO2,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_06464.pdbqt,1,CCCOc1ccc2c(c1)[C@@H](c1ccc(OC)cc1OCCO)[C@H](C(=O)[O-])[C@H]2c1ccc2c(c1)OCO2,-1,True,CCCOc1ccc2c(c1)[C@@H](c1ccc(OC)cc1OCCO)[C@H](C(=O)[O-])[C@H]2c1ccc2c(c1)OCO2,505.54300000000035
REP_07120,CC(C)NC(=O)c1ccc2c(c1)[C@]1(CCO2)C[C@H]1C(=O)Nc1cc(C#N)ccc1CCCC(=O)O,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_07120.pdbqt,1,CC(C)NC(=O)c1ccc2c(c1)[C@]1(CCO2)C[C@H]1C(=O)Nc1cc(C#N)ccc1CCCC(=O)[O-],-1,True,CC(C)NC(=O)c1ccc2c(c1)[C@]1(CCO2)C[C@H]1C(=O)Nc1cc(C#N)ccc1CCCC(=O)[O-],474.53700000000026
REP_01485,O=C(O)C1C/C(=C2/CCN(c3ccccc3)C2=O)c2ccc(Cl)cc2N1,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_01485.pdbqt,2,O=C([O-])C1C/C(=C2/CCN(c3ccccc3)C2=O)c2ccc(Cl)cc2N1,-1,True,O=C([O-])C1C/C(=C2/CCN(c3ccccc3)C2=O)c2ccc(Cl)cc2[NH2+]1|O=C([O-])C1C/C(=C2/CCN(c3ccccc3)C2=O)c2ccc(Cl)cc2N1,367.81200000000007
REP_06855,O=C(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nc(C2CC2)c1F,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_06855.pdbqt,4,O=C([O-])[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2n[n-]c3ncc(F)cc23)nc(C2CC2)c1F,-2,True,O=C([O-])[C@H]1C2CCC(CC2)[C@@H]1[NH2+]c1nc(-c2n[n-]c3ncc(F)cc23)nc(C2CC2)c1F|O=C([O-])[C@H]1C2CCC(CC2)[C@@H]1[NH2+]c1nc(-c2n[nH]c3ncc(F)cc23)nc(C2CC2)c1F|O=C([O-])[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nc(C2CC2)c1F|O=C([O-])[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2n[n-]c3ncc(F)cc23)nc(C2CC2)c1F,438.4380000000002
REP_07885,CC(F)(F)c1cc(F)ccc1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_07885.pdbqt,2,CC(F)(F)c1cc(F)ccc1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)[O-])cc1,-1,True,CC(F)(F)c1cc(F)ccc1-c1sc2cc([O-])ccc2c1Oc1ccc(/C=C/C(=O)[O-])cc1|CC(F)(F)c1cc(F)ccc1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)[O-])cc1,469.4600000000002
REP_06119,O=C(O)c1ccc(-c2ccc3cc(O)ccc3n2)c(Cl)c1,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_06119.pdbqt,2,O=C([O-])c1ccc(-c2ccc3cc([O-])ccc3n2)c(Cl)c1,-2,True,O=C([O-])c1ccc(-c2ccc3cc(O)ccc3n2)c(Cl)c1|O=C([O-])c1ccc(-c2ccc3cc([O-])ccc3n2)c(Cl)c1,297.697
REP_04441,CCC(CC)COC(=O)[C@@H]1C[C@H]2C[C@@H](Oc3cccc(Cl)c3-c3nnn[nH]3)CC[C@H]2CN1,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_04441.pdbqt,4,CCC(CC)COC(=O)[C@@H]1C[C@H]2C[C@@H](Oc3cccc(Cl)c3-c3nnn[nH]3)CC[C@H]2C[NH2+]1,1,False,CCC(CC)COC(=O)[C@@H]1C[C@H]2C[C@@H](Oc3cccc(Cl)c3-c3nnn[nH]3)CC[C@H]2C[NH2+]1|CCC(CC)COC(=O)[C@@H]1C[C@H]2C[C@@H](Oc3cccc(Cl)c3-c3nnn[nH]3)CC[C@H]2CN1|CCC(CC)COC(=O)[C@@H]1C[C@H]2C[C@@H](Oc3cccc(Cl)c3-c3nnn[n-]3)CC[C@H]2C[NH2+]1|CCC(CC)COC(=O)[C@@H]1C[C@H]2C[C@@H](Oc3cccc(Cl)c3-c3nnn[n-]3)CC[C@H]2CN1,463.00200000000024
REP_06875,O=C(O)c1cc(NC(=O)C2(c3ccc(C(F)(F)F)cc3F)CC2)ccc1-c1cnn(C2CCC2)c1,prepared,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_06875.pdbqt,1,O=C([O-])c1cc(NC(=O)C2(c3ccc(C(F)(F)F)cc3F)CC2)ccc1-c1cnn(C2CCC2)c1,-1,True,O=C([O-])c1cc(NC(=O)C2(c3ccc(C(F)(F)F)cc3F)CC2)ccc1-c1cnn(C2CCC2)c1,486.4450000000003
