canonical_smiles,scaffold,max_tc_active
CC(C)(C)S(=O)(=O)NC(=O)CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12,O=c1c2ccsc2ncn1-c1ccc(C2CC2)c2ccccc12,0.3372093023255814
CC(C)(C)c1cc(C(=O)N2CCc3ccccc32)cc(C#N)c1O,O=C(c1ccccc1)N1CCc2ccccc21,0.35
CC(C)(C)c1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,0.30303030303030304
CC(C)(C)c1ccc(S(=O)(=O)NC(=O)CSc2nc3sccc3c(=O)n2-c2ccc(C3CC3)c3ccccc23)cc1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,0.31521739130434784
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,O=C(c1ccccc1)c1ccccc1,0.3333333333333333
CC(C)(Sc1ccncc1C(=O)N1CCOc2ccccc21)C(=O)O,O=C(c1cccnc1)N1CCOc2ccccc21,0.40298507462686567
CC(C)(Sc1ccncc1C(=O)N1CCc2ccccc2C1)C(=O)O,O=C(c1cccnc1)N1CCc2ccccc2C1,0.421875
CC(C)(Sc1nc2ccccc2n1-c1ccc(Br)cc1F)C(=O)O,c1ccc(-n2cnc3ccccc32)cc1,0.34285714285714286
CC(C)(Sc1nc2ccccc2n1-c1ccc(C2CC2)c2ccccc12)C(=O)O,c1ccc2c(c1)ncn2-c1ccc(C2CC2)c2ccccc12,0.5151515151515151
CC(C)(Sc1nc2ccccc2n1-c1ccc(Cl)cc1F)C(=O)O,c1ccc(-n2cnc3ccccc32)cc1,0.3287671232876712
CC(C)(Sc1nc2ccccc2n1-c1ccc([N+](=O)[O-])cc1F)C(=O)O,c1ccc(-n2cnc3ccccc32)cc1,0.3611111111111111
CC(C)(Sc1nc2ccccc2n1-c1ccccc1)C(=O)O,c1ccc(-n2cnc3ccccc32)cc1,0.36065573770491804
CC(C)(Sc1nc2ccccc2n1-c1ccccc1F)C(=O)O,c1ccc(-n2cnc3ccccc32)cc1,0.3384615384615385
CC(C)CSc1nc(O)c(C(=O)Nc2ccc(-c3c[nH]nn3)cc2)c(=O)[nH]1,O=C(Nc1ccc(-c2c[nH]nn2)cc1)c1cnc[nH]c1=O,0.4393939393939394
CC(C)Sc1nc(O)c(C(=O)Nc2ccc(-c3c[nH]nn3)cc2F)c(=O)[nH]1,O=C(Nc1ccc(-c2c[nH]nn2)cc1)c1cnc[nH]c1=O,0.33783783783783783
CC(C)c1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C#N)c1O,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,0.24358974358974358
CC(Sc1ccncc1C(=O)N1CCOc2ccccc21)C(=O)O,O=C(c1cccnc1)N1CCOc2ccccc21,0.2878787878787879
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,c1ccccc1,0.26785714285714285
CCc1cc2c(C(=O)c3ccc(O)cc3)cc(OC)cc2o1,O=C(c1ccccc1)c1cccc2occc12,0.5740740740740741
CCc1cc2cc(OC)cc(C(=O)c3ccc(O)cc3)c2o1,O=C(c1ccccc1)c1cccc2ccoc12,0.5454545454545454
CCc1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,0.30303030303030304
CCc1oc2cc(Br)c(O)c(Br)c2c1C(=O)c1ccc(OC)cc1,O=C(c1ccccc1)c1coc2ccccc12,0.6923076923076923
CCn1c(=O)sc2cc(-c3ccc(C(=O)O)c(O)c3)ccc21,O=c1[nH]c2ccc(-c3ccccc3)cc2s1,0.36065573770491804
COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,O=c1c2ccccc2oc2ccccc12,0.2835820895522388
COc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C(F)(F)F)c1O,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,0.2361111111111111
COc1cc(C(=O)[O-])ccc1CSc1ccncc1Oc1ccc(C#N)c2ccccc12.[Na+],c1ccc(CSc2ccncc2Oc2cccc3ccccc23)cc1,0.7464788732394366
COc1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,0.30303030303030304
COc1ccc(Sc2ccncc2Oc2ccc(C#N)c3ccccc23)c(CC(=O)[O-])c1.[Na+],c1ccc(Sc2ccncc2Oc2cccc3ccccc23)cc1,0.4588235294117647
COc1ccccc1-c1cnccc1NS(C)(=O)=O,c1ccc(-c2cccnc2)cc1,0.7272727272727273
CS(=O)(=O)Nc1ccncc1-c1ccccc1C(F)(F)F,c1ccc(-c2cccnc2)cc1,0.54
CSc1nc(O)c(C(=O)Nc2c(F)cc(-c3c[nH]nn3)cc2F)c(=O)[nH]1,O=C(Nc1ccc(-c2c[nH]nn2)cc1)c1cnc[nH]c1=O,0.32857142857142857
CSc1nc(O)c(C(=O)Nc2ccc(-c3nnc[nH]3)cc2)c(=O)[nH]1,O=C(Nc1ccc(-c2nnc[nH]2)cc1)c1cnc[nH]c1=O,0.48333333333333334
CSc1nc(O)c(C(=O)Nc2ncc(-c3c[nH]nn3)cc2C(F)(F)F)c(=O)[nH]1,O=C(Nc1ccc(-c2c[nH]nn2)cn1)c1cnc[nH]c1=O,0.3157894736842105
C[C@H]1[C@H](c2ccc(O)c(O)c2)c2cc(O)c(O)cc2C[C@H]1C,c1ccc(C2CCCc3ccccc32)cc1,0.22580645161290322
Cc1c(C)n(C(=O)c2ccc(O)c(C#N)c2)c2ccccc12,O=C(c1ccccc1)n1ccc2ccccc21,0.2698412698412698
Cc1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,0.3387096774193548
Cc1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1C,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,0.328125
Cc1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1Cl,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,0.31343283582089554
Cc1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1F,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,0.3333333333333333
Cc1cccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)c1,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1,0.34375
Cc1cccc(Oc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)c1,c1ccc(Oc2cncc(-c3ccccc3)c2)cc1,0.34375
N#Cc1cc(-n2cnc(C(=O)O)c2)ccc1N1CCCCCC1,c1cn(-c2ccc(N3CCCCCC3)cc2)cn1,0.2597402597402597
N#Cc1cc(C(=O)N2CCc3ccccc32)cc(C#N)c1O,O=C(c1ccccc1)N1CCc2ccccc21,0.40384615384615385
N#Cc1cc(C(=O)N2CCc3ccccc32)cc(Cl)c1O,O=C(c1ccccc1)N1CCc2ccccc21,0.3684210526315789
N#Cc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C2CC2)c1O,O=C(c1cccc(C2CC2)c1)N1CS(=O)(=O)c2ccccc21,0.21428571428571427
N#Cc1cc(C(=O)N2CSc3ccccc32)cc(C(F)(F)F)c1O,O=C(c1ccccc1)N1CSc2ccccc21,0.2878787878787879
N#Cc1ccc(Oc2cnccc2SCc2ccc(-c3ccccc3C(=O)[O-])cc2)c2ccccc12.[Na+],c1ccc(-c2ccc(CSc3ccncc3Oc3cccc4ccccc34)cc2)cc1,0.5342465753424658
N#Cc1ccc(Oc2cnccc2SCc2ccc(C(=O)[O-])cc2)c2ccccc12.[Na+],c1ccc(CSc2ccncc2Oc2cccc3ccccc23)cc1,0.5394736842105263
N#Cc1ccc(Oc2cnccc2Sc2cccc([N+](=O)[O-])c2CC(=O)[O-])c2ccccc12.[Na+],c1ccc(Sc2ccncc2Oc2cccc3ccccc23)cc1,0.4189189189189189
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)C1CC1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)C1CC1,0.34146341463414637
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccc(C(F)(F)F)cc1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,0.3111111111111111
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccc(Cl)cc1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,0.35294117647058826
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccc(F)cc1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,0.3218390804597701
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccc(O)cc1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,0.32941176470588235
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1cccc([N+](=O)[O-])c1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,0.3010752688172043
