protocol,benchmark,n,EF1pct,hits1pct,EF5pct,AUC
P0,random_full,5152,1.9385425812115893,9/51,2.0944305708810034,0.6314610711428671
P0,random_tc_le_0.5,5152,1.9385425812115893,9/51,2.0944305708810034,0.6314610711428671
P1,random_full,5070,0.864818763326226,4/50,0.8118357956125639,0.6302671756255824
P1,random_tc_le_0.5,5070,0.864818763326226,4/50,0.8118357956125639,0.6302671756255824
P2,random_full,5152,0.21539362013462102,1/51,0.7693826586909809,0.5395469344956375
P2,random_tc_le_0.5,5152,0.21539362013462102,1/51,0.7693826586909809,0.5395469344956375
P3,random_full,5152,0.646180860403863,3/51,0.6411522155758174,0.5637402809326663
P3,random_tc_le_0.5,5152,0.646180860403863,3/51,0.6411522155758174,0.5637402809326663
P4,random_full,4407,0.0,0/44,0.21401515151515152,0.5617965642718117
P4,random_tc_le_0.5,4407,0.0,0/44,0.21401515151515152,0.5617965642718117
P5,random_full,5147,0.0,0/51,1.1982107818683694,0.5526639303087262
P5,random_tc_le_0.5,5147,0.0,0/51,1.1982107818683694,0.5526639303087262
