canonical_smiles,scaffold,max_tc_active
COc1ccc(C2(CNC(=O)c3ccc(Cl)cc3-n3cnnn3)CCOCC2)cc1,O=C(NCC1(c2ccccc2)CCOCC1)c1ccccc1-n1cnnn1,0.25301204819277107
CCOc1ccc(C(C)=O)cc1CN1CCC(C(=O)c2ccc3c(c2)OCCO3)CC1,O=C(c1ccc2c(c1)OCCO2)C1CCN(Cc2ccccc2)CC1,0.20238095238095238
N#Cc1ccc(C(=O)N2CCCC2CC(=O)c2ccccc2)nc1,O=C(CC1CCCN1C(=O)c1ccccn1)c1ccccc1,0.2682926829268293
CS(=O)(=O)c1ccc(CC(=O)N2CCN(c3ccc(=O)n(-c4ccc(Cl)cc4)n3)CC2)cc1,O=C(Cc1ccccc1)N1CCN(c2ccc(=O)n(-c3ccccc3)n2)CC1,0.21176470588235294
COc1ccc(NC(=O)c2ccco2)cc1NC(=S)NC(=O)c1cc(OC)c(OC)c(OC)c1,O=C(NC(=S)Nc1cccc(NC(=O)c2ccco2)c1)c1ccccc1,0.20512820512820512
Cc1oc(-c2cccs2)nc1Cn1c(=O)oc2cc(Cl)ccc21,O=c1oc2ccccc2n1Cc1coc(-c2cccs2)n1,0.23170731707317074
Cc1cc(C)c2c3c(oc2n1)C(=O)N(c1ccc(Cl)cc1)CC(=O)N3,O=C1CN(c2ccccc2)C(=O)c2oc3ncccc3c2N1,0.1927710843373494
O=C1CCCN1c1cccc(NS(=O)(=O)c2ccc3nc[nH]c(=O)c3c2)c1,O=C1CCCN1c1cccc(NS(=O)(=O)c2ccc3nc[nH]c(=O)c3c2)c1,0.2261904761904762
CCc1sc2nc(SCC(=O)Nc3cc(S(=O)(=O)N4CCOCC4)ccc3OC)n(Cc3ccc(C)cc3)c(=O)c2c1C,O=C(CSc1nc2sccc2c(=O)n1Cc1ccccc1)Nc1cccc(S(=O)(=O)N2CCOCC2)c1,0.2018348623853211
COc1cc2nc(CN3CCNC(=O)C3c3c(C)nn(-c4ccccc4)c3C)[nH]c(=O)c2cc1OC,O=C1NCCN(Cc2nc3ccccc3c(=O)[nH]2)C1c1cnn(-c2ccccc2)c1,0.21428571428571427
O=C(Nc1cnn(Cc2ccc(F)cc2)c1)c1cccc(Nc2cnccn2)c1,O=C(Nc1cnn(Cc2ccccc2)c1)c1cccc(Nc2cnccn2)c1,0.21839080459770116
COc1ccc(CNC(=O)C(C)OC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCc4ccccc4C3)c2)cc1,O=C(COC(=O)c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1)NCc1ccccc1,0.21839080459770116
CSCCC1NC(=S)N(C(c2ccc(C)cc2)C2CC2)C1=O,O=C1CNC(=S)N1C(c1ccccc1)C1CC1,0.15
O=C(CN1C(=O)NC2(CCCCC2)C1=O)NC(Cc1ccsc1)c1cccnc1,O=C(CN1C(=O)NC2(CCCCC2)C1=O)NC(Cc1ccsc1)c1cccnc1,0.20689655172413793
O=S(=O)([N-]c1cc(Cc2ccccc2)ccc1O)c1ccc(S(=O)(=O)N2CCCCC2)cc1,O=S(=O)([N-]c1cccc(Cc2ccccc2)c1)c1ccc(S(=O)(=O)N2CCCCC2)cc1,0.20833333333333334
CC(Sc1nnc(C2CC2)n1Cc1ccccc1)C(=O)N1CCN(Cc2ccccc2)CC1,O=C(CSc1nnc(C2CC2)n1Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,0.32894736842105265
Cc1cc(C)n(CC(=O)N2CC(C(=O)N3CCCCCC3)C2)n1,O=C(Cn1cccn1)N1CC(C(=O)N2CCCCCC2)C1,0.25
Cc1[nH]c2ccc(C(=O)N3C[C@@H]4CCS(=O)(=O)[C@@H]4C3)cc2c1C,O=C(c1ccc2[nH]ccc2c1)N1CC2CCS(=O)(=O)C2C1,0.18309859154929578
CC(C)(C)CC[NH+]1CCN(C(=O)NCC2CS(=O)(=O)C2)CC1,O=C(NCC1CS(=O)(=O)C1)N1CC[NH2+]CC1,0.13253012048192772
COc1ccc(C(=O)N2c3ccccc3Sc3ccccc32)cc1S(=O)(=O)N1CCOCC1,O=C(c1cccc(S(=O)(=O)N2CCOCC2)c1)N1c2ccccc2Sc2ccccc21,0.24324324324324326
O=C(N1CCC(n2nc(-c3ccccc3)oc2=O)CC1)C1(c2ccc(Cl)cc2)CC1,O=C(N1CCC(n2nc(-c3ccccc3)oc2=O)CC1)C1(c2ccccc2)CC1,0.225
O=C(Cn1cccc1-c1nnc(-c2ccccc2)o1)N1CCN(c2ccc(F)cc2)CC1,O=C(Cn1cccc1-c1nnc(-c2ccccc2)o1)N1CCN(c2ccccc2)CC1,0.20238095238095238
COCc1noc(CNC(=O)N2CCCCC2CN2CCOCC2)n1,O=C(NCc1ncno1)N1CCCCC1CN1CCOCC1,0.21212121212121213
COc1ccc2c(c1)C(C(=O)NCc1n[nH]c3c1CCCCC3)CC(=O)N2,O=C1CC(C(=O)NCc2n[nH]c3c2CCCCC3)c2ccccc2N1,0.2345679012345679
