ligand,vina_mode1,status,reason,seconds
PM48_01,-9.417,success,,63.0
PM48_07,-9.667,success,,114.0
PM48_04,-12.045,success,,149.5
PM48_08,-9.155,success,,164.4
PM48_09,-8.519,success,,113.8
PM48_05,-9.64,success,,192.5
PM48_06,-8.582,success,,206.1
PM48_11,-8.235,success,,56.8
PM48_02,-10.27,success,,221.9
PM48_16,-8.776,success,,36.0
PM48_14,-8.364,success,,68.2
PM48_15,-9.196,success,,71.5
PM48_12,-8.793,success,,120.2
PM48_13,-9.392,success,,133.9
PM48_17,-9.89,success,,107.0
PM48_18,-9.406,success,,104.0
PM48_21,-8.501,success,,82.4
PM48_24,-8.008,success,,77.5
PM48_22,-10.133,success,,128.3
PM48_23,-7.858,success,,135.0
PM48_03,-8.499,success,,489.8
PM48_20,-8.919,success,,329.5
PM48_29,-8.869,success,,135.6
PM48_27,-9.299,success,,197.5
PM48_28,-8.788,success,,187.8
PM48_10,-10.857,success,,552.4
PM48_25,-5.795,success,,314.5
PM48_19,-8.743,success,,453.5
PM48_32,-8.512,success,,89.0
PM48_33,-9.428,success,,83.3
PM48_26,-9.354,success,,341.3
PM48_30,-9.083,success,,174.0
PM48_35,-9.161,success,,112.8
PM48_36,-9.398,success,,99.7
PM48_39,-9.568,success,,85.6
PM48_40,-8.278,success,,108.1
PM48_34,-9.916,success,,235.2
PM48_38,-8.818,success,,171.3
PM48_41,-9.08,success,,114.7
PM48_45,-9.726,success,,37.1
PM48_47,-7.495,success,,63.1
PM48_42,-9.061,success,,161.6
PM48_31,-10.346,success,,366.3
PM48_43,-9.107,success,,148.0
PM48_48,-8.535,success,,66.5
PM48_46,-9.334,success,,112.3
PM48_44,-8.991,success,,131.0
PM48_37,-9.778,success,,323.3
