ligand,vina_mode1,status,reason,seconds
PAB_001,-8.941,success,,21.0
PAB_006,-10.168,success,,34.1
PAB_005,-8.581,success,,39.6
PAB_008,-8.008,success,,21.0
PAB_009,-7.763,success,,20.1
PAB_007,-8.898,success,,39.8
PAB_012,-10.655,success,,43.6
PAB_004,-8.13,success,,106.6
PAB_010,-8.746,success,,62.7
PAB_003,-10.286,success,,125.6
PAB_011,-10.536,success,,78.3
PAB_002,-8.335,success,,163.2
PAB_013,-8.115,success,,67.2
PAB_016,-8.718,success,,55.3
PAB_014,-8.918,success,,80.3
PAB_020,-8.523,success,,18.3
PAB_015,-9.937,success,,83.5
PAB_017,-9.737,success,,64.6
PAB_019,-9.485,success,,45.8
PAB_021,-8.353,success,,35.5
PAB_018,-9.835,success,,74.4
PAB_022,-9.649,success,,46.1
PAB_026,-8.773,success,,35.5
PAB_027,-10.131,success,,49.5
PAB_028,-8.863,success,,46.7
PAB_029,-9.533,success,,36.7
PAB_030,-8.108,success,,30.2
PAB_023,-7.615,success,,130.8
PAB_033,-7.391,success,,20.3
PAB_032,-8.755,success,,64.1
PAB_031,-9.138,success,,72.6
PAB_025,-10.473,success,,162.5
PAB_036,-7.825,success,,28.5
PAB_037,-8.725,success,,26.3
PAB_038,-9.641,success,,12.7
PAB_040,-9.602,success,,27.6
PAB_039,-9.205,success,,31.7
PAB_035,-8.817,success,,86.5
PAB_043,-8.957,success,,22.8
PAB_042,-8.628,success,,24.5
PAB_044,-9.65,success,,30.3
PAB_041,-9.414,success,,67.1
PAB_046,-8.553,success,,29.2
PAB_045,-9.998,success,,35.5
PAB_024,-8.681,success,,286.9
PAB_050,-8.176,success,,20.9
PAB_048,-9.544,success,,57.2
PAB_047,-8.296,success,,64.5
PAB_053,-10.723,success,,21.2
PAB_052,-8.806,success,,40.9
PAB_049,-10.364,success,,73.5
PAB_051,-9.382,success,,75.6
PAB_054,-8.532,success,,71.8
PAB_055,-7.907,success,,52.9
PAB_058,-8.144,success,,50.5
PAB_057,-8.484,success,,74.3
PAB_059,-8.329,success,,40.1
PAB_056,-8.079,success,,93.8
PAB_061,-8.7,success,,28.3
PAB_064,-8.203,success,,39.9
PAB_062,-8.312,success,,58.8
PAB_065,-7.587,success,,36.0
PAB_066,-8.875,success,,34.4
PAB_068,-7.859,success,,28.4
PAB_063,-8.54,success,,80.2
PAB_067,-8.667,success,,35.2
PAB_069,-8.545,success,,21.2
PAB_060,-10.025,success,,156.5
PAB_071,-8.806,success,,46.9
PAB_073,-9.43,success,,32.5
PAB_074,-8.764,success,,39.1
PAB_075,-8.761,success,,38.1
PAB_070,-8.736,success,,88.3
PAB_076,-7.914,success,,41.4
PAB_077,-8.1,success,,34.2
PAB_078,-8.449,success,,25.2
PAB_072,-10.301,success,,125.2
PAB_082,-7.974,success,,29.5
PAB_081,-7.815,success,,34.6
PAB_079,-8.068,success,,68.9
PAB_086,-7.348,success,,7.0
PAB_085,-8.72,success,,17.4
PAB_088,-7.104,success,,13.9
PAB_080,-8.741,success,,85.0
PAB_083,-8.155,success,,54.0
PAB_091,-9.867,success,,17.2
PAB_090,-8.041,success,,28.5
PAB_084,-8.222,success,,116.3
PAB_087,-7.469,success,,100.1
PAB_093,-8.607,success,,65.5
PAB_094,-7.582,success,,33.2
PAB_034,,timeout,timeout_600s,668.6
PAB_096,-8.384,success,,23.1
PAB_089,-8.945,success,,118.9
PAB_092,-9.349,success,,99.7
PAB_097,-7.635,success,,12.9
PAB_100,-8.032,success,,16.9
PAB_098,-8.458,success,,22.3
PAB_099,-9.226,success,,49.9
PAB_095,-9.343,success,,92.2
