ligand,vina_mode1,status,reason,seconds
PM48_01,-9.085,success,,78.9
PM48_07,-9.382,success,,132.1
PM48_04,-10.207,success,,168.0
PM48_08,-9.001,success,,182.6
PM48_09,-7.715,success,,132.3
PM48_05,-9.839,success,,211.4
PM48_06,-8.719,success,,234.9
PM48_11,-8.161,success,,69.7
PM48_02,-9.996,success,,254.8
PM48_16,-8.243,success,,37.0
PM48_14,-8.415,success,,75.6
PM48_12,-7.844,success,,123.9
PM48_15,-8.61,success,,72.1
PM48_13,-8.806,success,,133.5
PM48_17,-9.295,success,,102.7
PM48_18,-8.303,success,,98.6
PM48_21,-8.298,success,,81.2
PM48_24,-7.526,success,,71.9
PM48_03,-10.041,success,,471.8
PM48_22,-10.207,success,,129.8
PM48_23,-7.591,success,,134.1
PM48_20,-9.007,success,,273.9
PM48_29,-8.228,success,,132.4
PM48_10,-10.125,success,,495.3
PM48_28,-8.488,success,,170.6
PM48_25,-6.62,success,,272.1
PM48_27,-9.177,success,,189.5
PM48_32,-7.988,success,,89.9
PM48_33,-9.131,success,,85.3
PM48_19,-8.243,success,,451.2
PM48_26,-9.139,success,,310.6
PM48_30,-8.704,success,,177.0
PM48_35,-9.613,success,,116.2
PM48_36,-9.16,success,,107.1
PM48_39,-9.701,success,,90.0
PM48_40,-7.675,success,,106.8
PM48_34,-9.109,success,,210.2
PM48_41,-8.801,success,,108.8
PM48_38,-8.777,success,,166.4
PM48_45,-8.693,success,,37.5
PM48_47,-7.458,success,,58.5
PM48_31,-10.388,success,,348.8
PM48_42,-8.212,success,,148.6
PM48_48,-8.737,success,,73.8
PM48_43,-9.029,success,,138.9
PM48_44,-9.02,success,,131.3
PM48_46,-9.581,success,,114.4
PM48_37,-9.431,success,,309.8
