pair,contrast,n_pos,n_neg,true_auroc,n_mc,n_boot,p_ci_excludes_0p5,se_binomial
PPARG/PPARA,dual_vs_B_only,32,32,0.60,1000,2000,0.281,0.014214
PPARG/PPARA,dual_vs_neither,32,14,0.60,1000,2000,0.185,0.012279
PPARG/PPARA,summary_min,32,31/32,0.60,1000,2000,0.056,0.00727076
PPARG/PPARA,dual_vs_A_only,32,31,0.65,1000,2000,0.564,0.0156813
PPARG/PPARA,dual_vs_B_only,32,32,0.65,1000,2000,0.585,0.0155812
PPARG/PPARA,dual_vs_neither,32,14,0.65,1000,2000,0.384,0.01538
PPARG/PPARA,summary_min,32,31/32,0.65,1000,2000,0.272,0.0140718
PPARG/PPARA,dual_vs_A_only,32,31,0.70,1000,2000,0.803,0.0125774
PPARG/PPARA,dual_vs_B_only,32,32,0.70,1000,2000,0.801,0.0126253
PPARG/PPARA,dual_vs_neither,32,14,0.70,1000,2000,0.594,0.0155295
PPARG/PPARA,summary_min,32,31/32,0.70,1000,2000,0.629,0.0152761
PPARG/PPARA,dual_vs_A_only,32,31,0.75,1000,2000,0.957,0.0064149
PPARG/PPARA,dual_vs_B_only,32,32,0.75,1000,2000,0.965,0.00581163
PPARG/PPARA,dual_vs_neither,32,14,0.75,1000,2000,0.808,0.0124554
PPARG/PPARA,summary_min,32,31/32,0.75,1000,2000,0.918,0.00867617
PPARA/PPARD,dual_vs_A_only,32,32,0.50,1000,2000,0.05,0.00689202
PPARA/PPARD,dual_vs_B_only,32,32,0.50,1000,2000,0.06,0.00750999
PPARA/PPARD,dual_vs_neither,32,14,0.50,1000,2000,0.058,0.00739162
PPARA/PPARD,summary_min,32,32/32,0.50,1000,2000,0.108,0.00981509
PPARA/PPARD,dual_vs_A_only,32,32,0.55,1000,2000,0.111,0.00993373
PPARA/PPARD,dual_vs_B_only,32,32,0.55,1000,2000,0.104,0.00965319
PPARA/PPARD,dual_vs_neither,32,14,0.55,1000,2000,0.094,0.00922843
PPARA/PPARD,summary_min,32,32/32,0.55,1000,2000,0.03,0.00539444
PPARA/PPARD,dual_vs_A_only,32,32,0.60,1000,2000,0.295,0.0144213
PPARA/PPARD,dual_vs_B_only,32,32,0.60,1000,2000,0.304,0.0145459
PPARA/PPARD,dual_vs_neither,32,14,0.60,1000,2000,0.212,0.012925
PPARA/PPARD,summary_min,32,32/32,0.60,1000,2000,0.06,0.00750999
PPARA/PPARD,dual_vs_A_only,32,32,0.65,1000,2000,0.55,0.0157321
PPARA/PPARD,dual_vs_B_only,32,32,0.65,1000,2000,0.565,0.0156772
PPARA/PPARD,dual_vs_neither,32,14,0.65,1000,2000,0.364,0.0152153
PPARA/PPARD,summary_min,32,32/32,0.65,1000,2000,0.279,0.0141831
PPARA/PPARD,dual_vs_A_only,32,32,0.70,1000,2000,0.817,0.0122275
PPARA/PPARD,dual_vs_B_only,32,32,0.70,1000,2000,0.83,0.0118786
PPARA/PPARD,dual_vs_neither,32,14,0.70,1000,2000,0.615,0.0153875
PPARA/PPARD,summary_min,32,32/32,0.70,1000,2000,0.644,0.0151415
PPARA/PPARD,dual_vs_A_only,32,32,0.75,1000,2000,0.962,0.00604616
PPARA/PPARD,dual_vs_B_only,32,32,0.75,1000,2000,0.964,0.00589101
PPARA/PPARD,dual_vs_neither,32,14,0.75,1000,2000,0.833,0.0117945
PPARA/PPARD,summary_min,32,32/32,0.75,1000,2000,0.912,0.00895857
