pair,n_dual,n_A_only,n_B_only,n_boot_ok,matched_D_vs_A,matched_D_vs_B,matched_summary_min,matched_ci_lo,matched_ci_hi,wrong_D_vs_A,wrong_D_vs_B,wrong_summary_min,wrong_ci_lo,wrong_ci_hi,delta_matched_minus_wrong,delta_ci_lo,delta_ci_hi,ci_excludes_zero
F2/F10,31,32,32,2000,0.4133,0.3448,0.3448,0.2087,0.4764,0.4506,0.3755,0.3755,0.2369,0.5162,-0.0307,-0.1171,0.0402,False
JAK1/TYK2,31,32,32,2000,0.5751,0.3649,0.3649,0.2377,0.5098,0.5151,0.4294,0.4294,0.2903,0.5466,-0.0645,-0.1524,0.0377,False
JAK1/JAK2,32,32,32,2000,0.5884,0.7275,0.5884,0.4429,0.7139,0.6074,0.7231,0.6074,0.4634,0.7323,-0.019,-0.0972,0.0542,False
PPARG/PPARA,32,31,32,2000,0.6492,0.7061,0.6492,0.4995,0.7478,0.6512,0.6196,0.6196,0.4613,0.712,0.0296,-0.0805,0.1627,False
PPARA/PPARD,32,32,32,2000,0.6465,0.4463,0.4463,0.2969,0.5888,0.4346,0.499,0.4346,0.2864,0.5417,0.0117,-0.0918,0.1452,False
