pair,score,dual_percentile,threshold,n_library,n_dual_library,n_pass,n_dual_pass,n_A_only_pass,n_B_only_pass,precision_dual,recall_dual,hardneg_fraction_pass,note
F2/F10,vina_worst,10,6.948,95,31,92,28,32,32,0.3043,0.9032,0.6957,AND-like filter on Dual+A-only+B-only; neither excluded
F2/F10,vina_worst,25,7.992,95,31,84,23,30,31,0.2738,0.7419,0.7262,AND-like filter on Dual+A-only+B-only; neither excluded
F2/F10,vina_worst,50,8.758,95,31,59,16,20,23,0.2712,0.5161,0.7288,AND-like filter on Dual+A-only+B-only; neither excluded
F2/F10,vina_worst,75,9.395,95,31,32,8,9,15,0.25,0.2581,0.75,AND-like filter on Dual+A-only+B-only; neither excluded
F2/F10,vina_worst,90,10.072,95,31,11,5,1,5,0.4545,0.1613,0.5455,AND-like filter on Dual+A-only+B-only; neither excluded
F2/F10,vina_mean,10,7.1045,95,31,92,28,32,32,0.3043,0.9032,0.6957,AND-like filter on Dual+A-only+B-only; neither excluded
F2/F10,vina_mean,25,8.3935,95,31,82,23,30,29,0.2805,0.7419,0.7195,AND-like filter on Dual+A-only+B-only; neither excluded
F2/F10,vina_mean,50,9.0305,95,31,57,16,19,22,0.2807,0.5161,0.7193,AND-like filter on Dual+A-only+B-only; neither excluded
F2/F10,vina_mean,75,9.6997,95,31,26,8,8,10,0.3077,0.2581,0.6923,AND-like filter on Dual+A-only+B-only; neither excluded
F2/F10,vina_mean,90,10.366,95,31,9,4,1,4,0.4444,0.129,0.5556,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_worst,10,7.969,95,31,82,28,25,29,0.3415,0.9032,0.6585,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_worst,25,8.299,95,31,68,23,18,27,0.3382,0.7419,0.6618,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_worst,50,8.829,95,31,50,16,12,22,0.32,0.5161,0.68,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_worst,75,9.369,95,31,28,8,6,14,0.2857,0.2581,0.7143,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_worst,90,9.543,95,31,22,4,6,12,0.1818,0.129,0.8182,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_mean,10,8.1455,95,31,83,28,26,29,0.3373,0.9032,0.6627,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_mean,25,8.585,95,31,68,23,19,26,0.3382,0.7419,0.6618,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_mean,50,9.245,95,31,43,16,9,18,0.3721,0.5161,0.6279,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_mean,75,9.5435,95,31,30,8,8,14,0.2667,0.2581,0.7333,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/TYK2,vina_mean,90,9.7495,95,31,22,4,6,12,0.1818,0.129,0.8182,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_worst,10,8.1681,96,32,77,28,26,23,0.3636,0.875,0.6364,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_worst,25,8.7513,96,32,61,24,20,17,0.3934,0.75,0.6066,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_worst,50,9.1935,96,32,35,16,13,6,0.4571,0.5,0.5429,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_worst,75,10.1685,96,32,14,8,5,1,0.5714,0.25,0.4286,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_worst,90,10.9507,96,32,5,4,1,0,0.8,0.125,0.2,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_mean,10,8.3958,96,32,74,28,24,22,0.3784,0.875,0.6216,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_mean,25,8.9529,96,32,58,24,19,15,0.4138,0.75,0.5862,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_mean,50,9.3257,96,32,36,16,14,6,0.4444,0.5,0.5556,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_mean,75,10.2988,96,32,17,8,6,3,0.4706,0.25,0.5294,AND-like filter on Dual+A-only+B-only; neither excluded
JAK1/JAK2,vina_mean,90,11.1855,96,32,5,4,1,0,0.8,0.125,0.2,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_worst,10,8.1018,95,32,71,28,19,24,0.3944,0.875,0.6056,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_worst,25,8.2942,95,32,65,24,19,22,0.3692,0.75,0.6308,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_worst,50,8.8815,95,32,31,16,9,6,0.5161,0.5,0.4839,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_worst,75,9.193,95,32,14,8,3,3,0.5714,0.25,0.4286,AND-like filter on Dual+A-only+B-only; neither excluded
