pair,contrast,complete_case_n_pos,complete_case_n_neg,complete_case_auroc,arm_available_n_pos,arm_available_n_neg,arm_available_auroc,full_panel_n_pos,full_panel_n_neg,rank_extreme_lower_bound,rank_extreme_upper_bound,note
F2/F10,D_vs_A_pocketB,31,32,0.4133,31,32,0.4133,32,32,0.4004,0.4316,bounds assign every missing comparison against/for the claimed direction; not an imputation model
F2/F10,D_vs_B_pocketA,31,32,0.3448,31,32,0.3448,32,32,0.334,0.3652,bounds assign every missing comparison against/for the claimed direction; not an imputation model
JAK1/TYK2,D_vs_A_pocketB,31,32,0.5751,31,32,0.5751,32,32,0.5571,0.5884,bounds assign every missing comparison against/for the claimed direction; not an imputation model
JAK1/TYK2,D_vs_B_pocketA,31,32,0.3649,32,32,0.3809,32,32,0.3809,0.3809,bounds assign every missing comparison against/for the claimed direction; not an imputation model
JAK1/JAK2,D_vs_A_pocketB,32,32,0.5884,32,32,0.5884,32,32,0.5884,0.5884,bounds assign every missing comparison against/for the claimed direction; not an imputation model
JAK1/JAK2,D_vs_B_pocketA,32,32,0.7275,32,32,0.7275,32,32,0.7275,0.7275,bounds assign every missing comparison against/for the claimed direction; not an imputation model
PPARG/PPARA,D_vs_A_pocketB,32,31,0.6492,32,32,0.6328,32,32,0.6328,0.6328,bounds assign every missing comparison against/for the claimed direction; not an imputation model
PPARG/PPARA,D_vs_B_pocketA,32,32,0.7061,32,32,0.7061,32,32,0.7061,0.7061,bounds assign every missing comparison against/for the claimed direction; not an imputation model
PPARA/PPARD,D_vs_A_pocketB,32,32,0.6465,32,32,0.6465,32,32,0.6465,0.6465,bounds assign every missing comparison against/for the claimed direction; not an imputation model
PPARA/PPARD,D_vs_B_pocketA,32,32,0.4463,32,32,0.4463,32,32,0.4463,0.4463,bounds assign every missing comparison against/for the claimed direction; not an imputation model
