pair,ligand,chembl_id,class,score_A_available,score_B_available,heavy_atoms,mw,clogp,tpsa,formal_charge,rotatable_bonds,status_reason,note
F2/F10,F2F10_080,CHEMBL3666823,dual,0,0,49,681.815,3.3727,172.7,0,8,2JKH:skip:timeout_600s_torsdof=8;4UDW:skip:timeout_600s_torsdof=8,largest organic fragment; descriptive coverage audit
F2/F10,F2F10_105,CHEMBL564751,neither,0,1,44,628.78,3.4632,171.47,0,10,4UDW:skip:timeout_600s_torsdof=11,largest organic fragment; descriptive coverage audit
F2/F10,F2F10_106,CHEMBL566340,neither,0,1,49,678.843,-0.5335,290.07,0,20,4UDW:skip:timeout_600s_torsdof=20,largest organic fragment; descriptive coverage audit
JAK1/TYK2,J1TYK2_092,CHEMBL6008077,dual,1,0,51,737.741,3.0915,271.58,0,10,3LXP:skip:timeout_600s_torsdof=14,largest organic fragment; descriptive coverage audit
PPARG/PPARA,PGPA_030,CHEMBL555484,A_only,0,1,51,681.833,7.9909,100.46,0,14,9V8H:skip:timeout_600s_torsdof=15,largest organic fragment; descriptive coverage audit
