pair,best_descriptor,n_dual,n_A_only,n_B_only,n_boot_ok,matched_D_vs_A,matched_D_vs_B,matched_summary_min,matched_ci_lo,matched_ci_hi,wrong_D_vs_A,wrong_D_vs_B,wrong_summary_min,wrong_ci_lo,wrong_ci_hi,delta_matched_minus_wrong,delta_ci_lo,delta_ci_hi,ci_excludes_zero,vina_summary_min,descriptor_summary_min,delta_vina_minus_descriptor,note
F2/F10,clogp,31,32,32,2000,0.4133,0.3448,0.3448,0.2026,0.4735,0.5151,0.5675,0.5151,0.3592,0.6586,-0.1703,-0.3244,-0.0117,True,0.3448,0.5151,-0.1703,paired ligand-pool bootstrap of summary_min(Vina) minus summary_min(best single descriptor); exploratory
JAK1/TYK2,clogp,31,32,32,2000,0.5751,0.3649,0.3649,0.2303,0.5093,0.6139,0.5796,0.5796,0.4248,0.6819,-0.2147,-0.3739,-0.0013,True,0.3649,0.5796,-0.2147,paired ligand-pool bootstrap of summary_min(Vina) minus summary_min(best single descriptor); exploratory
JAK1/JAK2,heavy,32,32,32,2000,0.5884,0.7275,0.5884,0.4357,0.7197,0.5801,0.5781,0.5781,0.4033,0.6885,0.0103,-0.084,0.1705,False,0.5884,0.5781,0.0103,paired ligand-pool bootstrap of summary_min(Vina) minus summary_min(best single descriptor); exploratory
PPARG/PPARA,tpsa,32,31,32,2000,0.6492,0.7061,0.6492,0.5078,0.749,0.7399,0.6274,0.6274,0.4889,0.7491,0.0218,-0.1658,0.1927,False,0.6492,0.6274,0.0218,paired ligand-pool bootstrap of summary_min(Vina) minus summary_min(best single descriptor); exploratory
PPARA/PPARD,clogp,32,32,32,2000,0.6465,0.4463,0.4463,0.3034,0.5936,0.665,0.5635,0.5635,0.4065,0.6929,-0.1172,-0.3307,0.1067,False,0.4463,0.5635,-0.1172,paired ligand-pool bootstrap of summary_min(Vina) minus summary_min(best single descriptor); exploratory
