pair,label_rule,bootstrap,n_dual,n_A_only,n_B_only,n_neither,n_scored_both_ends,auroc_D_vs_A_pocketB,auroc_D_vs_B_pocketA,summary_min,ci_lo,ci_hi,n_boot_ok,D_vs_neither_vina_mean,D_vs_neither_ci_lo,D_vs_neither_ci_hi,best_single_descriptor,best_single_descriptor_summary_min,note
F2/F10,theta_6.0,class_stratified_shared_dual,31,32,32,12,107,0.4133,0.3448,0.3448,0.2157,0.4819,2000,0.5188,0.3413,0.6909,clogp,0.5091,Derived from results/canonical; scheme-B primary
JAK1/TYK2,theta_6.0,class_stratified_shared_dual,31,32,32,14,109,0.5751,0.3649,0.3649,0.2329,0.5051,2000,0.7696,0.6128,0.9055,clogp,0.5796,Derived from results/canonical; scheme-B primary
JAK1/JAK2,theta_6.0,class_stratified_shared_dual,32,32,32,14,110,0.5884,0.7275,0.5884,0.4482,0.7158,2000,0.7299,0.5580,0.8818,heavy,0.5781,Derived from results/canonical; scheme-B primary
PPARG/PPARA,theta_6.0,class_stratified_shared_dual,32,31,32,14,109,0.6492,0.7061,0.6492,0.5111,0.7460,2000,0.6853,0.4978,0.8594,tpsa,0.6274,Derived from results/canonical; scheme-B primary
PPARA/PPARD,theta_6.0,class_stratified_shared_dual,32,32,32,14,110,0.6465,0.4463,0.4463,0.3008,0.5898,2000,0.5647,0.3727,0.7478,clogp,0.5635,Derived from results/canonical; scheme-B primary
