assay_id,assay_description,system,organism,cell_type,inferred_cell_type_source,cell_type_from_description,system_from_description,tissue,assay_type,endpoint,standard_type,n_records,n_molecules,evidence_class,classification_basis,missing_system_or_cell,source_file,source_url
CHEMBL3864034,Inhibition of NLRP3 inflammasome in LPS-stimulated human monocyte derived macrophages assessed as reduction in NLRP3 inflammasome-induced IL-1beta production preincubated for 30 mins followed by NLRP3 stimulation with ATP for 1 hr by ELISA,single protein format,Homo sapiens,,unknown,monocyte-derived macrophages,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,5,5,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3864034
CHEMBL4125669,Inhibition of nigericin-induced NLRP3 inflammasome activation in PMA-differentiated human THP1 cells assessed as reduction in LPS-stimulated IL-1beta secretion incubated for 1 hr prior to stimulation with nigericin for 1 hr by quanti-blue based SEAP reporter gene assay,assay format,Homo sapiens,,unknown,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,8,8,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4125669
CHEMBL4187544,Inhibition of NLRP3 in human monocyte derived macrophages assessed as reduction in LPS-induced IL-1beta production incubated for 30 mins followed by nigericin sodium salt stimulation for 2 hrs post LPS challenge for 3 hrs by ELISA,single protein format,Homo sapiens,,unknown,monocyte-derived macrophages,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,5,5,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4187544
CHEMBL4221123,Inhibition of NLRP3 inflammasome in human THP1 cells assessed as reduction in MSU-induced IL-1beta production preincubated for 1 hr followed by MSU stimulation measured after 6 hrs,cell-based format,Homo sapiens,,unknown,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,6,6,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4221123
CHEMBL4605569,Inhibition of NLRP3 inflammasome activation in LPS-primed human THP1 cells assessed as reduction in IL-1beta level preincubated for 1 hr followed by addition of ATP and nigericin further incubated for 1 hrs and measured post ATP addition 1 hr by ELISA method,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,11,11,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4605569
CHEMBL4628081,Inhibition of NLRP3 inflammasome (unknown origin) activation in LPS-primed bone marrow derived macrophage cells assessed as effect on IL-1beta production in presence of nigericin by ELISA,assay format,Homo sapiens,,unknown,bone-marrow-derived macrophages,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,18,18,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4628081
CHEMBL4671767,Inhibition of NLRP3 in human THP1 cells assessed as inhibition of IL-1beta production,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,18,18,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4671767
CHEMBL4702271,Inhibition of NLRP3 in human PBMC cells assessed as inhibition of LPS and ATP-induced IL-1beta production,cell-based format,Homo sapiens,PBMC,PBMC,PBMC,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,23,23,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4702271
CHEMBL4727731,Inhibition of NLRP3 inflammasome in human primary glial cells assessed as reduction in LPS-induced IL-1beta release,cell-based format,Homo sapiens,Primary neuron,Primary neuron,primary glial cells,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,7,7,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4727731
CHEMBL4775286,Inhibition of NLRP3 in PMA-stimulated human THP-1 cells assessed as reduction in IL-1beta release pre-treated for 24 hrs followed by stimulation with LPS for 3 hrs and ATP for 1 hr by ELISA analysis,tissue-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,6,6,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4775286
