ligand_id,name,acid_arg477_min_A_seed42_A1,pass_plus_0.5,pass_plus_1.0,pass_plus_1.5
REP_00940,LANIFIBRANOR,2.913446412755867,True,True,True
REP_00950,TONAPOFYLLINE,4.402491226567064,True,True,True
REP_00992,CAFICRESTAT,3.0243510047611752,True,True,True
REP_01147,ADMILPARANT,3.0838887787986105,True,True,True
REP_05141,LINTITRIPT,7.675933102887225,False,True,True
REP_05302,SPIROGLUMIDE,6.267380712865613,True,True,True
REP_06119,CAVOSONSTAT,2.9966464589604134,True,True,True
REP_06643,RUNCACIGUAT,3.0861022342106565,True,True,True
REP_06875,FULIMETIBANT,6.878127942979834,True,True,True
REP_07580,PF-03882845,3.2377540054797214,True,True,True
REP_07704,PSI-697,3.4848779031696333,True,True,True
REP_08210,CR-3465 FREE ACID,3.1765190067115903,True,True,True
