pair,estimand,point,ci_lo,ci_hi,n_dual,n_A_only,n_B_only,bootstrap,B,seed,ci_excludes_0.5
EGFR/HER2,AUROC_D_vs_A_pocketB,0.6631,0.5212,0.7915,28,37,31,class_stratified,2000,20260729,1
EGFR/HER2,AUROC_D_vs_B_pocketA,0.3341,0.1970,0.4713,28,37,31,class_stratified,2000,20260729,1
JAK1/JAK2,AUROC_D_vs_A_pocketB,0.5884,0.4482,0.7227,32,32,32,class_stratified,2000,20260729,0
JAK1/JAK2,AUROC_D_vs_B_pocketA,0.7275,0.6015,0.8418,32,32,32,class_stratified,2000,20260729,1
JAK1/TYK2,AUROC_D_vs_A_pocketB,0.5751,0.4335,0.7167,31,32,32,class_stratified,2000,20260729,0
JAK1/TYK2,AUROC_D_vs_B_pocketA,0.3649,0.2329,0.5081,31,32,32,class_stratified,2000,20260729,0
PIK3CA/mTOR,AUROC_D_vs_A_pocketB,0.7143,0.5278,0.8889,18,14,12,class_stratified,2000,20260729,1
PIK3CA/mTOR,AUROC_D_vs_B_pocketA,0.6921,0.4906,0.8681,18,14,12,class_stratified,2000,20260729,0
AChE/BChE,AUROC_D_vs_A_pocketB,0.6524,0.4915,0.8063,27,26,28,class_stratified,2000,20260729,0
AChE/BChE,AUROC_D_vs_B_pocketA,0.6058,0.4431,0.7487,27,26,28,class_stratified,2000,20260729,0
F2/F10,AUROC_D_vs_A_pocketB,0.4133,0.2712,0.5706,31,32,32,class_stratified,2000,20260729,0
F2/F10,AUROC_D_vs_B_pocketA,0.3448,0.2177,0.4909,31,32,32,class_stratified,2000,20260729,1
PPARG/PPARA,AUROC_D_vs_A_pocketB,0.6492,0.5121,0.7812,32,31,32,class_stratified,2000,20260729,1
PPARG/PPARA,AUROC_D_vs_B_pocketA,0.7061,0.5732,0.8301,32,31,32,class_stratified,2000,20260729,1
PPARA/PPARD,AUROC_D_vs_A_pocketB,0.6465,0.5088,0.7764,32,32,32,class_stratified,2000,20260729,1
PPARA/PPARD,AUROC_D_vs_B_pocketA,0.4463,0.3008,0.5918,32,32,32,class_stratified,2000,20260729,0
