pair,aggregation,n_ligands,n_dual,n_A_only,n_B_only,n_neither,summary_min,ci_lo,ci_hi,auroc_D_vs_A,auroc_D_vs_B,source,bootstrap,B,seed,class_flips_vs_max
EGFR/HER2,max,108,28,37,31,12,0.3341,0.1970,0.4713,0.6631,0.3341,adjudicated high-confidence max/median + current score master,class_stratified_shared_dual,2000,20260729,0
EGFR/HER2,median,108,27,34,31,16,0.3393,0.2067,0.4910,0.6362,0.3393,adjudicated high-confidence max/median + current score master,class_stratified_shared_dual,2000,20260729,5
JAK1/JAK2,max,110,32,32,32,14,0.5884,0.4482,0.7158,0.5884,0.7275,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,0
JAK1/JAK2,median,110,32,32,32,14,0.5884,0.4482,0.7158,0.5884,0.7275,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,0
JAK1/TYK2,max,109,31,32,32,14,0.3649,0.2329,0.5051,0.5751,0.3649,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,0
JAK1/TYK2,median,109,31,32,32,14,0.3649,0.2329,0.5051,0.5751,0.3649,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,0
PIK3CA/mTOR,max,48,18,14,12,4,0.6921,0.4801,0.8016,0.7143,0.6921,adjudicated high-confidence max/median + current score master,class_stratified_shared_dual,2000,20260729,0
PIK3CA/mTOR,median,48,18,14,12,4,0.6921,0.4801,0.8016,0.7143,0.6921,adjudicated high-confidence max/median + current score master,class_stratified_shared_dual,2000,20260729,0
AChE/BChE,max,94,27,25,28,14,0.6058,0.4429,0.7395,0.6504,0.6058,adjudicated high-confidence max/median + current score master,class_stratified_shared_dual,2000,20260729,0
AChE/BChE,median,94,26,25,28,15,0.6291,0.4670,0.7459,0.6754,0.6291,adjudicated high-confidence max/median + current score master,class_stratified_shared_dual,2000,20260729,1
F2/F10,max,107,31,32,32,12,0.3448,0.2157,0.4819,0.4133,0.3448,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,0
F2/F10,median,107,31,32,32,12,0.3448,0.2157,0.4819,0.4133,0.3448,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,0
PPARG/PPARA,max,109,32,31,32,14,0.6492,0.5111,0.7460,0.6492,0.7061,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,0
PPARG/PPARA,median,109,32,31,32,14,0.6492,0.5111,0.7460,0.6492,0.7061,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,0
PPARA/PPARD,max,110,32,32,32,14,0.4463,0.3008,0.5898,0.6465,0.4463,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,0
PPARA/PPARD,median,110,32,31,32,15,0.4463,0.3018,0.5867,0.6361,0.4463,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729,1
