pair,label_rule,n_dual,n_A_only,n_B_only,n_neither,n_gray,n_missing_pchembl,class_flips_vs_theta6,auroc_D_vs_A,auroc_D_vs_B,summary_min,ci_lo,ci_hi,bootstrap,B,seed,status
EGFR/HER2,theta_5.5,68,21,10,9,0,0,39,0.7780,0.3794,0.3794,0.1853,0.5912,class_stratified_shared_dual,2000,20260729,OK
EGFR/HER2,theta_6.0,28,37,31,12,0,0,0,0.6631,0.3341,0.3341,0.1970,0.4713,class_stratified_shared_dual,2000,20260729,OK
EGFR/HER2,theta_6.5,26,28,28,26,0,0,2,0.7170,0.3626,0.3626,0.2129,0.5220,class_stratified_shared_dual,2000,20260729,OK
EGFR/HER2,strict_6.5_5.5,26,16,7,9,50,0,0,0.7837,0.2033,0.2033,0.0549,0.3626,class_stratified_shared_dual,2000,20260729,OK
JAK1/JAK2,theta_5.5,34,30,32,14,0,0,2,0.5716,0.7169,0.5716,0.4304,0.7030,class_stratified_shared_dual,2000,20260729,OK
JAK1/JAK2,theta_6.0,32,32,32,14,0,0,0,0.5884,0.7275,0.5884,0.4482,0.7158,class_stratified_shared_dual,2000,20260729,OK
JAK1/JAK2,theta_6.5,32,32,32,14,0,0,0,0.5884,0.7275,0.5884,0.4482,0.7158,class_stratified_shared_dual,2000,20260729,OK
JAK1/JAK2,strict_6.5_5.5,32,32,32,14,0,0,0,0.5884,0.7275,0.5884,0.4482,0.7158,class_stratified_shared_dual,2000,20260729,OK
JAK1/TYK2,theta_5.5,32,31,33,13,0,0,1,0.5973,0.3845,0.3845,0.2509,0.5237,class_stratified_shared_dual,2000,20260729,OK
JAK1/TYK2,theta_6.0,31,32,32,14,0,0,0,0.5751,0.3649,0.3649,0.2329,0.5051,class_stratified_shared_dual,2000,20260729,OK
JAK1/TYK2,theta_6.5,31,32,32,14,0,0,0,0.5751,0.3649,0.3649,0.2329,0.5051,class_stratified_shared_dual,2000,20260729,OK
JAK1/TYK2,strict_6.5_5.5,31,32,32,14,0,0,0,0.5751,0.3649,0.3649,0.2329,0.5051,class_stratified_shared_dual,2000,20260729,OK
PIK3CA/mTOR,theta_5.5,33,9,5,1,0,0,15,0.5017,0.5061,0.5017,0.2727,0.6196,class_stratified_shared_dual,2000,20260729,OK
PIK3CA/mTOR,theta_6.0,18,14,12,4,0,0,0,0.7143,0.6921,0.6921,0.4801,0.8016,class_stratified_shared_dual,2000,20260729,OK
PIK3CA/mTOR,theta_6.5,17,15,12,4,0,0,1,0.7098,0.6740,0.6740,0.4509,0.7941,class_stratified_shared_dual,2000,20260729,OK
PIK3CA/mTOR,strict_6.5_5.5,17,7,4,2,18,0,0,0.6387,0.6691,0.6387,0.3382,0.7794,class_stratified_shared_dual,2000,20260729,OK
AChE/BChE,theta_5.5,27,26,28,14,0,0,0,0.6524,0.6058,0.6058,0.4392,0.7354,class_stratified_shared_dual,2000,20260729,OK
AChE/BChE,theta_6.0,27,26,28,14,0,0,0,0.6524,0.6058,0.6058,0.4392,0.7354,class_stratified_shared_dual,2000,20260729,OK
AChE/BChE,theta_6.5,27,26,28,14,0,0,0,0.6524,0.6058,0.6058,0.4392,0.7354,class_stratified_shared_dual,2000,20260729,OK
AChE/BChE,strict_6.5_5.5,27,26,28,14,0,0,0,0.6524,0.6058,0.6058,0.4392,0.7354,class_stratified_shared_dual,2000,20260729,OK
F2/F10,theta_5.5,33,31,31,12,0,0,2,0.4076,0.3529,0.3529,0.2141,0.4761,class_stratified_shared_dual,2000,20260729,OK
F2/F10,theta_6.0,31,32,32,12,0,0,0,0.4133,0.3448,0.3448,0.2157,0.4819,class_stratified_shared_dual,2000,20260729,OK
F2/F10,theta_6.5,31,32,32,12,0,0,0,0.4133,0.3448,0.3448,0.2157,0.4819,class_stratified_shared_dual,2000,20260729,OK
F2/F10,strict_6.5_5.5,31,32,32,12,0,0,0,0.4133,0.3448,0.3448,0.2157,0.4819,class_stratified_shared_dual,2000,20260729,OK
PPARG/PPARA,theta_5.5,33,30,32,14,0,0,1,0.6444,0.7083,0.6444,0.5010,0.7424,class_stratified_shared_dual,2000,20260729,OK
PPARG/PPARA,theta_6.0,32,31,32,14,0,0,0,0.6492,0.7061,0.6492,0.5111,0.7460,class_stratified_shared_dual,2000,20260729,OK
PPARG/PPARA,theta_6.5,32,31,32,14,0,0,0,0.6492,0.7061,0.6492,0.5111,0.7460,class_stratified_shared_dual,2000,20260729,OK
PPARG/PPARA,strict_6.5_5.5,32,31,32,14,0,0,0,0.6492,0.7061,0.6492,0.5111,0.7460,class_stratified_shared_dual,2000,20260729,OK
PPARA/PPARD,theta_5.5,34,33,30,13,0,0,2,0.6711,0.4539,0.4539,0.3108,0.5892,class_stratified_shared_dual,2000,20260729,OK
PPARA/PPARD,theta_6.0,32,32,32,14,0,0,0,0.6465,0.4463,0.4463,0.3008,0.5898,class_stratified_shared_dual,2000,20260729,OK
PPARA/PPARD,theta_6.5,32,32,32,14,0,0,0,0.6465,0.4463,0.4463,0.3008,0.5898,class_stratified_shared_dual,2000,20260729,OK
PPARA/PPARD,strict_6.5_5.5,32,32,32,14,0,0,0,0.6465,0.4463,0.4463,0.3008,0.5898,class_stratified_shared_dual,2000,20260729,OK
