pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
JAK1/JAK2,summary_min,32,32/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.647,0.0151126,0.662881
JAK1/JAK2,dual_vs_A_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.958,0.00634319,0.749791
JAK1/JAK2,dual_vs_B_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.954,0.0066245,0.746858
JAK1/JAK2,dual_vs_neither,32,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.834,0.0117662,0.754482
JAK1/JAK2,summary_min,32,32/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.893,0.00977502,0.714552
JAK1/TYK2,dual_vs_A_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.043,0.0064149,0.500381
JAK1/TYK2,dual_vs_B_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.05,0.00689202,0.500396
JAK1/TYK2,dual_vs_neither,31,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.067,0.00790639,0.499226
JAK1/TYK2,summary_min,31,32/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.126,0.010494,0.460185
JAK1/TYK2,dual_vs_A_only,31,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.11,0.00989444,0.549524
JAK1/TYK2,dual_vs_B_only,31,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.111,0.00993373,0.551314
JAK1/TYK2,dual_vs_neither,31,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.081,0.0086278,0.550184
JAK1/TYK2,summary_min,31,32/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.029,0.00530651,0.512285
JAK1/TYK2,dual_vs_A_only,31,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.285,0.014275,0.597292
JAK1/TYK2,dual_vs_B_only,31,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.292,0.0143783,0.601841
JAK1/TYK2,dual_vs_neither,31,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.192,0.0124554,0.600295
JAK1/TYK2,summary_min,31,32/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.059,0.00745111,0.559602
JAK1/TYK2,dual_vs_A_only,31,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.517,0.0158022,0.645173
JAK1/TYK2,dual_vs_B_only,31,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.559,0.0157009,0.648843
JAK1/TYK2,dual_vs_neither,31,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.368,0.0152504,0.651041
JAK1/TYK2,summary_min,31,32/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.282,0.0142294,0.61277
JAK1/TYK2,dual_vs_A_only,31,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.823,0.0120694,0.701607
JAK1/TYK2,dual_vs_B_only,31,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.807,0.01248,0.69896
JAK1/TYK2,dual_vs_neither,31,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.6,0.0154919,0.700141
JAK1/TYK2,summary_min,31,32/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.62,0.0153493,0.661066
JAK1/TYK2,dual_vs_A_only,31,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.956,0.00648568,0.747381
JAK1/TYK2,dual_vs_B_only,31,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.954,0.0066245,0.751526
