pair,end,gene,uniprot,pdb,ccd,intended_site,title,resolution,method,label_acc_present,human_on_matching,longest_matching_aa,uniprot_span,domain_window_hits,all_uniprots,partners,cognate_name,cognate_mw,cognate_in_entry,all_ligands,rcsb_3d,rcsb_ligand
PIK3CA/mTOR,A,PIK3CA,P42336,4L23,X6K,class I PI3K ATP site (p110alpha),Crystal Structure of p110alpha complexed with niSH2 of p85alpha and PI-103,2.501,X-RAY DIFFRACTION,1,1,1068,A:1-1068,p110:1-1068(ov=1068),P27986;P42336,P85A_HUMAN|P27986,"3-(4-MORPHOLIN-4-YLPYRIDO[3',2':4,5]FURO[3,2-D]PYRIMIDIN-2-YL)PHENOL",348.355,1,GOL;SO4;X6K,https://www.rcsb.org/3d-view/4L23,https://www.rcsb.org/ligand/X6K
PIK3CA/mTOR,B,MTOR,P42345,4JT6,X6K,mTOR kinase ATP site (NOT the FKBP-rapamycin/FRB site),structure of mTORDeltaN-mLST8-PI-103 complex,3.6,X-RAY DIFFRACTION,1,1,1174,A:1376-2549;B:1376-2549,FRB:2015-2114(ov=100);kinase_ATP:2181-2516(ov=336),P42345;Q9BVC4,LST8_HUMAN|Q9BVC4,"3-(4-MORPHOLIN-4-YLPYRIDO[3',2':4,5]FURO[3,2-D]PYRIMIDIN-2-YL)PHENOL",348.355,1,X6K,https://www.rcsb.org/3d-view/4JT6,https://www.rcsb.org/ligand/X6K
AChE/BChE,A,ACHE,P22303,4EY7,E20,catalytic gorge / CAS-PAS,Crystal Structure of Recombinant Human Acetylcholinesterase in Complex with Donepezil,2.3509,X-RAY DIFFRACTION,1,1,542,A:33-574;B:33-574,catalytic:33-574(ov=542),P22303,,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",379.492,1,E20;EDO;FUC;NAG;NO3,https://www.rcsb.org/3d-view/4EY7,https://www.rcsb.org/ligand/E20
AChE/BChE,B,BCHE,P06276,4BDS,THA,catalytic gorge,Human butyrylcholinesterase in complex with tacrine,2.1,X-RAY DIFFRACTION,1,1,529,A:29-557,catalytic:29-557(ov=529),P06276,,TACRINE,198.264,1,CL;FPK;FUC;FUL;GOL;NAG;SO4;THA;UNX,https://www.rcsb.org/3d-view/4BDS,https://www.rcsb.org/ligand/THA
F2/F10,A,F2,P00734,4UDW,N6L,thrombin S1 pocket (catalytic domain),"Thrombin in complex with 1-(2R)-2-amino-3-phenyl-propanoyl-N-(2, 5dichlorophenyl)methylpyrrolidine-2-carboxamide",1.16,X-RAY DIFFRACTION,1,1,258,H:364-621;L:333-360,heavy_catalytic:364-621(ov=258);light:333-360(ov=28),P00734;P09945,HIRV2_HIRME|P09945,"D-phenylalanyl-N-(2,5-dichlorobenzyl)-L-prolinamide",420.332,1,GOL;N6L;NA;NAG;PO4,https://www.rcsb.org/3d-view/4UDW,https://www.rcsb.org/ligand/N6L
F2/F10,B,F10,P00742,2JKH,BI7,factor Xa S1/S4 pockets (catalytic domain),Factor Xa - cation inhibitor complex,1.25,X-RAY DIFFRACTION,1,1,241,A:235-475;L:126-180,heavy_catalytic:235-475(ov=241);light:126-179(ov=54),P00742,,"3-[(3~{a}~{S},4~{R},8~{a}~{S},8~{b}~{R})-4-[5-(5-chloranylthiophen-2-yl)-1,2-oxazol-3-yl]-1,3-bis(oxidanylidene)-4,6,7,8,8~{a},8~{b}-hexahydro-3~{a}~{H}-pyrrolo[3,4-a]pyrrolizin-2-yl]propyl-trimethyl-azanium",464.001,1,BI7;CA;NA,https://www.rcsb.org/3d-view/2JKH,https://www.rcsb.org/ligand/BI7
JAK1/TYK2,A,JAK1,P23458,6N7A,KEV,JH1 kinase ATP site,Structure of the human JAK1 kinase domain with compound 39,1.33,X-RAY DIFFRACTION,1,1,301,A:854-1154;B:854-1154,JH1:866-1154(ov=289);JH2:854-855(ov=2),P23458,,"N-[3-(5-chloro-2-methoxyphenyl)-1-methyl-1H-pyrazol-4-yl]-2-methyl-2H-pyrazolo[4,3-c]pyridine-7-carboxamide",396.83,1,GOL;KEV,https://www.rcsb.org/3d-view/6N7A,https://www.rcsb.org/ligand/KEV
JAK1/TYK2,B,TYK2,P29597,3LXP,IZA,JH1 kinase ATP site (declare if JH2 pseudokinase),Structural and Thermodynamic Characterization of the TYK2 and JAK3 Kinase Domains in Complex with CP-690550 and CMP-6,1.65,X-RAY DIFFRACTION,1,1,295,A:888-1182,JH1:888-1176(ov=289),P29597,,"2-TERT-BUTYL-9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLINE-7-ONE",309.338,1,IZA,https://www.rcsb.org/3d-view/3LXP,https://www.rcsb.org/ligand/IZA
JAK1/JAK2,A,JAK1,P23458,6N7A,KEV,JH1 kinase ATP site,Structure of the human JAK1 kinase domain with compound 39,1.33,X-RAY DIFFRACTION,1,1,301,A:854-1154;B:854-1154,JH1:866-1154(ov=289);JH2:854-855(ov=2),P23458,,"N-[3-(5-chloro-2-methoxyphenyl)-1-methyl-1H-pyrazol-4-yl]-2-methyl-2H-pyrazolo[4,3-c]pyridine-7-carboxamide",396.83,1,GOL;KEV,https://www.rcsb.org/3d-view/6N7A,https://www.rcsb.org/ligand/KEV
JAK1/JAK2,B,JAK2,O60674,8BXH,C87,JH1 kinase ATP site,Crystal structure of JAK2 JH1 in complex with momelotinib,1.3,X-RAY DIFFRACTION,1,1,293,A:840-1132,JH1:849-1124(ov=276),O60674,,Momelotinib,414.46,1,C87;MLI,https://www.rcsb.org/3d-view/8BXH,https://www.rcsb.org/ligand/C87
PPARG/PPARA,A,PPARG,P37231,9V8H,BRL,ligand-binding domain,PPARgamma ligand-binding domain in complex with PG08-NL and rosiglitazone,1.39,X-RAY DIFFRACTION,1,1,275,A:231-505,LBD:231-505(ov=275),P37231,,"2,4-THIAZOLIDIINEDIONE, 5-[[4-[2-(METHYL-2-PYRIDINYLAMINO)ETHOXY]PHENYL]METHYL]-(9CL)",357.427,1,BRL;PEG;PGE,https://www.rcsb.org/3d-view/9V8H,https://www.rcsb.org/ligand/BRL
PPARG/PPARA,B,PPARA,Q07869,6LXA,EPA,ligand-binding domain,X-ray structure of human PPARalpha ligand binding domain-eicosapentaenoic acid (EPA) co-crystals obtained by delipidation and cross-seeding,1.23,X-RAY DIFFRACTION,1,1,269,A:200-468,LBD:200-468(ov=269),Q07869,,"5,8,11,14,17-EICOSAPENTAENOIC ACID",302.451,1,EPA;GOL,https://www.rcsb.org/3d-view/6LXA,https://www.rcsb.org/ligand/EPA
PPARA/PPARD,A,PPARA,Q07869,6LXA,EPA,ligand-binding domain,X-ray structure of human PPARalpha ligand binding domain-eicosapentaenoic acid (EPA) co-crystals obtained by delipidation and cross-seeding,1.23,X-RAY DIFFRACTION,1,1,269,A:200-468,LBD:200-468(ov=269),Q07869,,"5,8,11,14,17-EICOSAPENTAENOIC ACID",302.451,1,EPA;GOL,https://www.rcsb.org/3d-view/6LXA,https://www.rcsb.org/ligand/EPA
PPARA/PPARD,B,PPARD,Q03181,5U3Q,7UJ,ligand-binding domain,Human PPARdelta ligand-binding domain in complexed with specific agonist 1,1.5,X-RAY DIFFRACTION,1,1,272,A:170-441;B:170-441,LBD:170-441(ov=272),Q03181,,"6-(2-{[([1,1'-biphenyl]-4-carbonyl)(propan-2-yl)amino]methyl}phenoxy)hexanoic acid",459.577,1,7UJ;B7G;CL;K;PEG;PGO,https://www.rcsb.org/3d-view/5U3Q,https://www.rcsb.org/ligand/7UJ
