pair_id,name_A,name_B,j0_notes,j0_auditable_now,resolved_A,resolved_B,in_universe,chembl_A,chembl_B,uniprot_A,uniprot_B,n_A,n_B,u_n_both_measured,u_theta_dual,u_theta_A_only,u_theta_B_only,u_theta_neither,u_strict_A_only,u_strict_B_only,u_min_strict_hardneg,u_directional_n10,u_formulation_n10,u_supports_strict_panel,u_metal_either
P01,EGFR,HER2,,True,1,1,1,CHEMBL203,CHEMBL1824,P00533,P04626,11198,2619,1751,1182,207,46,316,39,7,7,1,1,0,0
P02,PIK3CA,MTOR,,True,1,1,1,CHEMBL4005,CHEMBL2842,P42336,P42345,7732,5209,2713,2002,266,236,209,80,81,80,1,1,1,0
P03,ACHE,BCHE,,True,1,1,1,CHEMBL220,CHEMBL1914,P22303,P06276,6197,3798,2537,986,483,225,843,189,78,78,1,1,1,0
P04,PIK3CA,PIK3CB,too_close_for_primary,True,1,1,1,CHEMBL4005,CHEMBL3145,P42336,P42338,7732,2786,1990,988,299,213,490,56,67,56,1,1,1,0
P05,MCL1,BCL2L1_BclxL,,True,1,1,1,CHEMBL4361,CHEMBL4625,Q07820,Q07817,3412,1612,305,82,24,77,122,12,41,12,1,1,0,0
P06,MCL1,BCL2,,True,1,1,1,CHEMBL4361,CHEMBL4860,Q07820,P10415,3412,3171,371,160,34,87,90,2,24,2,1,1,0,0
P07,AKT1,RPS6KB1_p70S6K,,True,1,1,1,CHEMBL4282,CHEMBL4501,P31749,P23443,3699,1918,601,453,11,100,37,1,35,1,1,1,0,0
P08,BRD4,HDAC1,metal_Zn_HDAC,True,1,1,1,CHEMBL1163125,CHEMBL325,O60885,Q13547,9338,8348,82,66,10,0,6,3,0,0,0,0,0,1
P09,BRD4,HDAC6,metal_Zn_HDAC,True,1,1,1,CHEMBL1163125,CHEMBL1865,O60885,Q9UBN7,9338,6554,39,27,9,3,0,2,0,0,0,0,0,1
P10,JAK2,HDAC1,metal_Zn_HDAC,True,1,1,1,CHEMBL2971,CHEMBL325,O60674,Q13547,12711,8348,76,52,23,1,0,7,1,1,0,0,0,1
P11,PARP1,MET,,True,1,1,1,CHEMBL3105,CHEMBL3717,P09874,P08581,4576,4658,13,10,0,1,2,0,0,0,0,0,0,0
P12,CDK6,BRD4,,True,1,1,1,CHEMBL2508,CHEMBL1163125,Q00534,O60885,838,9338,6,5,1,0,0,1,0,0,0,0,0,0
P13,EGFR,MET,,True,1,1,1,CHEMBL203,CHEMBL3717,P00533,P08581,11198,4658,201,92,38,35,36,17,10,10,1,1,0,0
P14,EGFR,PIK3CA,,True,1,1,1,CHEMBL203,CHEMBL4005,P00533,P42336,11198,7732,199,50,18,49,82,4,10,4,1,1,0,0
P15,EGFR,MTOR,,True,1,1,1,CHEMBL203,CHEMBL2842,P00533,P42345,11198,5209,192,33,29,36,94,7,8,7,1,1,0,0
P16,EGFR,BRD4,,True,1,1,1,CHEMBL203,CHEMBL1163125,P00533,O60885,11198,9338,10,7,3,0,0,1,0,0,0,0,0,0
P17,EGFR,CDK6,,True,1,1,1,CHEMBL203,CHEMBL2508,P00533,Q00534,11198,838,18,8,5,2,3,1,1,1,0,0,0,0
