pair,class,reject_reason,n
OPRD1/OPRK1,strict_B_only,mw_out_of_window,1
OPRM1/OPRD1,strict_A_only,missing_props,1
OPRM1/OPRD1,strict_A_only,mw_out_of_window,1
OPRM1/OPRK1,strict_A_only,mw_out_of_window,1
OPRM1/OPRK1,strict_B_only,no_structure,1
PIK3CA/MTOR,strict_dual,missing_props,1
PIK3CA/PIK3CB,strict_A_only,missing_props,1
PIK3CA/PIK3CB,strict_A_only,mw_out_of_window,1
SLC6A2/SLC6A4,strict_A_only,missing_props,1
SLC6A2/SLC6A4,strict_B_only,molecule_type_Unknown,1
SLC6A2/SLC6A4,strict_dual,missing_props,1
SLC6A4/SLC6A3,strict_A_only,molecule_type_Unknown,1
SLC6A4/SLC6A3,strict_B_only,no_structure,1
SLC6A4/SLC6A3,strict_dual,missing_props,1
