name_A,name_B,gene_A,gene_B,reason,found_n_both_ge10,n_both_measured,theta_dual,theta_A_only,theta_B_only,theta_neither,min_strict_hardneg,directional_n10,supports_strict_panel
VEGFR2_KDR,HDAC1,KDR,HDAC1,VEGFR2/HDAC duals (JMC),1,66,35,6,21,4,3,0,0
VEGFR2_KDR,HDAC6,KDR,HDAC6,VEGFR2/HDAC duals,1,32,14,5,9,4,2,0,0
AXL,MERTK,AXL,MERTK,MER/AXL duals,1,1384,943,71,151,219,2,1,0
SYK,HDAC1,SYK,HDAC1,SYK/HDAC duals,0,0,0,0,0,0,0,0,0
HSP90AA1,HDAC6,HSP90AA1,HDAC6,Hsp90/HDAC6 duals,1,20,11,6,1,2,1,0,0
WEE1,HDAC1,WEE1,HDAC1,Wee1/HDAC duals,0,0,0,0,0,0,0,0,0
TOP1,HDAC1,TOP1,HDAC1,Top/HDAC duals,0,0,0,0,0,0,0,0,0
ROCK1,HDAC1,ROCK1,HDAC1,ROCK/HDAC duals,0,0,0,0,0,0,0,0,0
PIM1,HDAC1,PIM1,HDAC1,PIM/HDAC duals,0,0,0,0,0,0,0,0,0
SERT_SLC6A4,ESR1,SLC6A4,ESR1,SERT/ER duals,1,18,5,10,0,3,0,0,0
BRAF,MAP2K1_MEK1,BRAF,MAP2K1,BRAF/MEK,1,37,22,6,3,6,2,0,0
FGFR1,VEGFR2_KDR,FGFR1,KDR,FGFR dual TKIs,1,1749,1344,77,178,150,14,1,0
ALK,EGFR,ALK,EGFR,ALK dual TKIs,1,125,94,15,7,9,1,0,0
BTK,EGFR,BTK,EGFR,BTK duals,1,641,382,21,215,23,6,1,0
FLT3,VEGFR2_KDR,FLT3,KDR,FLT3 dual TKIs,1,1003,588,213,108,94,28,1,0
SRC,ABL1,SRC,ABL1,BCR-ABL dual context,1,814,453,125,93,143,13,1,0
BACE1,ACHE,BACE1,ACHE,CNS duals,1,274,91,66,23,94,5,1,0
NLRP3,JNK1,NLRP3,MAPK8,private holdout X01,0,0,0,0,0,0,0,0,0
