panel_id,pair,class,status,reason,pdbqt
F2F10_001,F2/F10,A_only,ok,,F2F10_001.pdbqt
F2F10_002,F2/F10,A_only,ok,,F2F10_002.pdbqt
F2F10_003,F2/F10,A_only,ok,,F2F10_003.pdbqt
F2F10_004,F2/F10,A_only,ok,,F2F10_004.pdbqt
F2F10_005,F2/F10,A_only,ok,,F2F10_005.pdbqt
F2F10_006,F2/F10,A_only,ok,,F2F10_006.pdbqt
F2F10_007,F2/F10,A_only,ok,,F2F10_007.pdbqt
F2F10_008,F2/F10,A_only,ok,,F2F10_008.pdbqt
F2F10_009,F2/F10,A_only,ok,,F2F10_009.pdbqt
F2F10_010,F2/F10,A_only,ok,,F2F10_010.pdbqt
F2F10_011,F2/F10,A_only,ok,,F2F10_011.pdbqt
F2F10_012,F2/F10,A_only,ok,,F2F10_012.pdbqt
F2F10_013,F2/F10,A_only,ok,,F2F10_013.pdbqt
F2F10_014,F2/F10,A_only,ok,,F2F10_014.pdbqt
F2F10_015,F2/F10,A_only,ok,,F2F10_015.pdbqt
F2F10_016,F2/F10,A_only,ok,,F2F10_016.pdbqt
F2F10_017,F2/F10,A_only,ok,,F2F10_017.pdbqt
F2F10_018,F2/F10,A_only,ok,,F2F10_018.pdbqt
F2F10_019,F2/F10,A_only,ok,,F2F10_019.pdbqt
F2F10_020,F2/F10,A_only,ok,,F2F10_020.pdbqt
F2F10_021,F2/F10,A_only,ok,,F2F10_021.pdbqt
F2F10_022,F2/F10,A_only,ok,,F2F10_022.pdbqt
F2F10_023,F2/F10,A_only,ok,,F2F10_023.pdbqt
F2F10_024,F2/F10,A_only,ok,,F2F10_024.pdbqt
F2F10_025,F2/F10,A_only,ok,,F2F10_025.pdbqt
F2F10_026,F2/F10,A_only,ok,,F2F10_026.pdbqt
F2F10_027,F2/F10,A_only,ok,,F2F10_027.pdbqt
F2F10_028,F2/F10,A_only,ok,,F2F10_028.pdbqt
F2F10_029,F2/F10,A_only,ok,,F2F10_029.pdbqt
F2F10_030,F2/F10,A_only,ok,,F2F10_030.pdbqt
F2F10_031,F2/F10,A_only,ok,,F2F10_031.pdbqt
F2F10_032,F2/F10,A_only,ok,,F2F10_032.pdbqt
F2F10_033,F2/F10,B_only,ok,,F2F10_033.pdbqt
F2F10_034,F2/F10,B_only,ok,,F2F10_034.pdbqt
F2F10_035,F2/F10,B_only,ok,,F2F10_035.pdbqt
F2F10_036,F2/F10,B_only,ok,,F2F10_036.pdbqt
F2F10_037,F2/F10,B_only,ok,,F2F10_037.pdbqt
F2F10_038,F2/F10,B_only,ok,,F2F10_038.pdbqt
F2F10_039,F2/F10,B_only,ok,,F2F10_039.pdbqt
F2F10_040,F2/F10,B_only,ok,,F2F10_040.pdbqt
F2F10_041,F2/F10,B_only,ok,,F2F10_041.pdbqt
F2F10_042,F2/F10,B_only,ok,,F2F10_042.pdbqt
F2F10_043,F2/F10,B_only,ok,,F2F10_043.pdbqt
F2F10_044,F2/F10,B_only,ok,,F2F10_044.pdbqt
F2F10_045,F2/F10,B_only,ok,,F2F10_045.pdbqt
F2F10_046,F2/F10,B_only,ok,,F2F10_046.pdbqt
F2F10_047,F2/F10,B_only,ok,,F2F10_047.pdbqt
F2F10_048,F2/F10,B_only,ok,,F2F10_048.pdbqt
F2F10_049,F2/F10,B_only,ok,,F2F10_049.pdbqt
F2F10_050,F2/F10,B_only,ok,,F2F10_050.pdbqt
F2F10_051,F2/F10,B_only,ok,,F2F10_051.pdbqt
F2F10_052,F2/F10,B_only,ok,,F2F10_052.pdbqt
F2F10_053,F2/F10,B_only,ok,,F2F10_053.pdbqt
F2F10_054,F2/F10,B_only,ok,,F2F10_054.pdbqt
F2F10_055,F2/F10,B_only,ok,,F2F10_055.pdbqt
F2F10_056,F2/F10,B_only,ok,,F2F10_056.pdbqt
F2F10_057,F2/F10,B_only,ok,,F2F10_057.pdbqt
F2F10_058,F2/F10,B_only,ok,,F2F10_058.pdbqt
F2F10_059,F2/F10,B_only,ok,,F2F10_059.pdbqt
F2F10_060,F2/F10,B_only,ok,,F2F10_060.pdbqt
F2F10_061,F2/F10,B_only,ok,,F2F10_061.pdbqt
F2F10_062,F2/F10,B_only,ok,,F2F10_062.pdbqt
F2F10_063,F2/F10,B_only,ok,,F2F10_063.pdbqt
F2F10_064,F2/F10,B_only,ok,,F2F10_064.pdbqt
F2F10_065,F2/F10,dual,ok,,F2F10_065.pdbqt
F2F10_066,F2/F10,dual,ok,,F2F10_066.pdbqt
F2F10_067,F2/F10,dual,ok,,F2F10_067.pdbqt
F2F10_068,F2/F10,dual,ok,,F2F10_068.pdbqt
F2F10_069,F2/F10,dual,ok,,F2F10_069.pdbqt
F2F10_070,F2/F10,dual,ok,,F2F10_070.pdbqt
F2F10_071,F2/F10,dual,ok,,F2F10_071.pdbqt
F2F10_072,F2/F10,dual,ok,,F2F10_072.pdbqt
F2F10_073,F2/F10,dual,ok,,F2F10_073.pdbqt
F2F10_074,F2/F10,dual,ok,,F2F10_074.pdbqt
F2F10_075,F2/F10,dual,ok,,F2F10_075.pdbqt
F2F10_076,F2/F10,dual,ok,,F2F10_076.pdbqt
