target_chembl,uniprot,gene_symbol,pref_name,protein_class,n_mols,metal_enzyme_risk
CHEMBL3577,P00352,ALDH1A1,Aldehyde dehydrogenase 1A1,Oxidoreductase,75664,0
CHEMBL1293224,P10636,MAPT,Microtubule-associated protein tau,Other cytosolic protein,67208,0
CHEMBL1293226,B2RXH2,KDM4E,Lysine-specific demethylase 4E,Jumonji domain-containing,39516,0
CHEMBL1293235,P02545,LMNA,Prelamin-A/C,Structural protein,36154,0
CHEMBL1293232,Q16637,SMN1,Survival motor neuron protein,Tudor domain,33450,0
CHEMBL1293255,P15428,HPGD,15-hydroxyprostaglandin dehydrogenase [NAD(+)],Oxidoreductase,24443,0
CHEMBL2392,P06746,POLB,DNA polymerase beta,Enzyme,23075,0
CHEMBL2608,P10253,GAA,Lysosomal alpha-glucosidase,Hydrolase,22082,0
CHEMBL1293294,P51151,RAB9A,Ras-related protein Rab-9A,Hydrolase,21934,0
CHEMBL5514,P42858,HTT,Huntingtin,Unclassified protein,18767,0
CHEMBL4040,P28482,MAPK1,Mitogen-activated protein kinase 1,CMGC protein kinase ERK subfamily,18719,0
CHEMBL1293277,O15118,NPC1,NPC intracellular cholesterol transporter 1,Transporter,18552,0
CHEMBL1293299,Q03164,KMT2A,Histone-lysine N-methyltransferase 2A,Protein methyltransferase,17209,0
CHEMBL4096,P04637,TP53,Cellular tumor antigen p53,Transcription factor,16995,0
CHEMBL1963,P16473,TSHR,Thyrotropin receptor,Glycohormone receptor,16315,0
CHEMBL4159,Q99714,HSD17B10,3-hydroxyacyl-CoA dehydrogenase type-2,Oxidoreductase,15273,0
CHEMBL5162,Q6W5P4,NPSR1,Neuropeptide S receptor,Neuropeptide receptor,15047,0
CHEMBL1287622,Q9Y468,L3MBTL1,Lethal(3)malignant brain tumor-like protein 1,MBT domain,13896,0
CHEMBL2971,O60674,JAK2,Tyrosine-protein kinase JAK2,Tyrosine protein kinase JakA family,12711,0
CHEMBL1075138,Q9NUW8,TDP1,Tyrosyl-DNA phosphodiesterase 1,Phosphodiesterase,12277,0
CHEMBL340,P08684,CYP3A4,Cytochrome P450 3A4,Cytochrome P450 3A4,12030,0
CHEMBL203,P00533,EGFR,Epidermal growth factor receptor,Tyrosine protein kinase EGFR family,11198,0
CHEMBL240,Q12809,KCNH2,Voltage-gated inwardly rectifying potassium channel KCNH2,Voltage-gated potassium channel,11095,0
CHEMBL1741186,P51449,RORC,Nuclear receptor ROR-gamma,Nuclear hormone receptor subfamily 1 group F member 3,10762,0
CHEMBL279,P35968,KDR,Vascular endothelial growth factor receptor 2,Tyrosine protein kinase VEGFR family,10627,0
CHEMBL2835,P23458,JAK1,Tyrosine-protein kinase JAK1,Tyrosine protein kinase JakA family,10506,0
CHEMBL4822,P56817,BACE1,Beta-secretase 1,Aspartic protease A1A subfamily,10023,0
CHEMBL5251,Q06187,BTK,Tyrosine-protein kinase BTK,Tyrosine protein kinase Tec family,9798,0
CHEMBL1163125,O60885,BRD4,Bromodomain-containing protein 4,Bromodomain,9338,0
CHEMBL217,P14416,DRD2,D(2) dopamine receptor,Dopamine receptor,9316,0
CHEMBL205,P00918,CA2,Carbonic anhydrase 2,Lyase,8816,1
CHEMBL325,Q13547,HDAC1,Histone deacetylase 1,HDAC class I,8348,1
CHEMBL253,P34972,CNR2,Cannabinoid receptor 2,Cannabinoid receptor,7901,0
CHEMBL1293227,O75604,USP2,Ubiquitin carboxyl-terminal hydrolase 2,Cysteine protease C19 family,7859,0
CHEMBL4296,Q15858,SCN9A,Sodium channel protein type 9 subunit alpha,Voltage-gated sodium channel,7802,0
CHEMBL4005,P42336,PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Transferase,7732,0
CHEMBL261,P00915,CA1,Carbonic anhydrase 1,Lyase,7643,1
CHEMBL4792,O43614,HCRTR2,Orexin receptor type 2,Orexin receptor,7636,0
CHEMBL3778,Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4,TKL protein kinase IRAK family,7494,0
CHEMBL2148,P52333,JAK3,Tyrosine-protein kinase JAK3,Tyrosine protein kinase JakA family,7463,0
CHEMBL233,P35372,OPRM1,Mu-type opioid receptor,Opioid receptor,7422,0
CHEMBL5113,O43613,HCRTR1,Orexin/Hypocretin receptor type 1,Orexin receptor,7222,0
CHEMBL3130,O00329,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Transferase,7186,0
CHEMBL1075189,P14618,PKM,Pyruvate kinase PKM,Enzyme,6856,0
CHEMBL251,P29274,ADORA2A,Adenosine receptor A2a,Adenosine receptor,6737,0
CHEMBL1865,Q9UBN7,HDAC6,Protein deacetylase HDAC6,HDAC class IIb,6554,1
CHEMBL237,P41145,OPRK1,Kappa-type opioid receptor,Opioid receptor,6370,0
CHEMBL289,P10635,CYP2D6,Cytochrome P450 2D6,Cytochrome P450 2D6,6368,0
CHEMBL234,P35462,DRD3,D(3) dopamine receptor,Dopamine receptor,6219,0
CHEMBL220,P22303,ACHE,Acetylcholinesterase,Hydrolase,6197,0
CHEMBL3594,Q16790,CA9,Carbonic anhydrase 9,Lyase,6197,1
CHEMBL3553,P29597,TYK2,Non-receptor tyrosine-protein kinase TYK2,Tyrosine protein kinase JakA family,6175,0
CHEMBL224,P28223,HTR2A,5-hydroxytryptamine receptor 2A,Serotonin receptor,6168,0
CHEMBL244,P00742,F10,Coagulation factor X,Serine protease S1A subfamily,5937,0
CHEMBL218,P21554,CNR1,Cannabinoid receptor 1,Cannabinoid receptor,5892,0
CHEMBL3397,P11712,CYP2C9,Cytochrome P450 2C9,Cytochrome P450 2C9,5867,0
CHEMBL214,P08908,HTR1A,5-hydroxytryptamine receptor 1A,Serotonin receptor,5848,0
CHEMBL5145,P15056,BRAF,Serine/threonine-protein kinase B-raf,TKL protein kinase RAF family,5753,0
CHEMBL2903,P16050,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15,Oxidoreductase,5708,0
CHEMBL204,P00734,F2,Prothrombin,Serine protease S1A subfamily,5583,0
CHEMBL4409,Q9Y233,PDE10A,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Phosphodiesterase 10A,5497,0
CHEMBL262,P49841,GSK3B,Glycogen synthase kinase-3 beta,CMGC protein kinase GSK family,5464,0
CHEMBL1947,P10828,THRB,Thyroid hormone receptor beta,Nuclear hormone receptor subfamily 1 group A member 2,5454,0
CHEMBL5936,Q9NYK1,TLR7,Toll-like receptor 7,Toll-like and Il-1 receptors,5412,0
CHEMBL228,P31645,SLC6A4,Sodium-dependent serotonin transporter,SLC06 neurotransmitter transporter family,5410,0
CHEMBL2973,O75116,ROCK2,Rho-associated protein kinase 2,AGC protein kinase ROCK subfamily,5407,0
CHEMBL2599,P43405,SYK,Tyrosine-protein kinase SYK,Tyrosine protein kinase Syk family,5292,0
CHEMBL2842,P42345,MTOR,Serine/threonine-protein kinase mTOR,Atypical protein kinase FRAP subfamily,5209,0
CHEMBL3622,P33261,CYP2C19,Cytochrome P450 2C19,Cytochrome P450 2C19,5165,0
CHEMBL1293316,Q9HBX9,RXFP1,Relaxin receptor 1,Relaxin receptor,5162,0
CHEMBL226,P30542,ADORA1,Adenosine receptor A1,Adenosine receptor,5133,0
CHEMBL260,Q16539,MAPK14,Mitogen-activated protein kinase 14,CMGC protein kinase p38 subfamily,5096,0
