id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason,react2,react2_reason,stepA_keep
CHEMBL68737_ACR0,CHEMBL68737,chembl,C=CC(=O)NC(=N)c1ccc(O)c(/C=C/CNC(=O)c2ccc(-c3ncc[nH]3)cc2)c1,IIEBFTKCVTWSGI-ONEGZZNKSA-N,N=C(N)c1ccc(O)c(/C=C/CNC(=O)c2ccc(-c3ncc[nH]3)cc2)c1,415.45,2.85,7,3.076,ok,0,1,0.1837,0.1613,56d,JNK-IN-8,0.7803,56d,O=C(NC/C=C/c1ccccc1)c1ccc(-c2ncc[nH]2)cc1,,0,0.161,0.1359,0.6118,0.1624,0.1386,0.6118,0.1792,0.1613,0.728,0.1837,0.1383,0.7803,novel,novel,,ok,,unsure
CHEMBL3656528_ACR0,CHEMBL3656528,chembl,C=CC(=O)NC1=N[C@@H](CCc2ccc(Nc3ncc(OCC)cn3)cc2)CO1,VMCDMKKONQNBTF-INIZCTEOSA-N,CCOc1cnc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)nc1,381.44,2.61,8,3.327,ok,0,1,0.2178,0.186,JNK-IN-8,JNK-IN-8,0.7802,JNK-IN-8,C1=N[C@@H](CCc2ccc(Nc3ncccn3)cc2)CO1,,0,0.1842,0.1443,0.6941,0.1754,0.1237,0.6941,0.2178,0.186,0.7802,0.2128,0.1222,0.6021,novel,novel,,ok,,unsure
CHEMBL3656511_ACR0,CHEMBL3656511,chembl,C=CC(=O)NC1=N[C@@H](CCc2ccc(Nc3ncc(OC)cn3)cc2)CO1,QECKPQFENIVEEI-HNNXBMFYSA-N,COc1cnc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)nc1,367.41,2.22,7,3.337,ok,0,1,0.22,0.1882,JNK-IN-8,JNK-IN-8,0.7802,JNK-IN-8,C1=N[C@@H](CCc2ccc(Nc3ncccn3)cc2)CO1,,0,0.1858,0.1458,0.6941,0.177,0.125,0.6941,0.22,0.1882,0.7802,0.2151,0.1236,0.6021,novel,novel,,ok,,unsure
CHEMBL3409918_ACR0,CHEMBL3409918,chembl,C=CC(=O)NCCOCCOCCNc1cc(=O)[nH]c2c([N+](=O)[O-])cccc12,LAGVSVCGCZDBPE-UHFFFAOYSA-N,NCCOCCOCCNc1cc(=O)[nH]c2c([N+](=O)[O-])cccc12,390.4,1.18,12,2.776,ok,0,1,0.2043,0.1333,56d,56d,0.7801,JNK-IN-8,O=c1ccc2ccccc2[nH]1,,2,0.0902,0.0667,0.6739,0.0909,0.068,0.6739,0.1308,0.1075,0.7801,0.2043,0.1333,0.6365,novel,novel,,ok,,unsure
CHEMBL1186360_ACR0,CHEMBL1186360,chembl,C=CC(=O)N[C@@H](CC(=O)N1N=CCC1C(=O)Nc1ccccc1)Cc1cc(F)c(F)cc1F,XBPQELWYMBJSKV-QRIPLOBPSA-N,N[C@@H](CC(=O)N1N=CCC1C(=O)Nc1ccccc1)Cc1cc(F)c(F)cc1F,458.44,2.93,8,3.588,ok,0,1,0.2188,0.1739,56d,56d,0.7801,56d,O=C(Nc1ccccc1)C1CC=NN1C(=O)CCCc1ccccc1,,0,0.1695,0.1456,0.6536,0.1709,0.1485,0.6536,0.1455,0.1354,0.6483,0.2188,0.1739,0.7801,novel,novel,,ok,,unsure
CHEMBL331039_ACR0,CHEMBL331039,chembl,C=CC(=O)N(CCc1ccccc1)CC(O)COc1ccc2nc(O)ccc2c1,UEOASMUZXNDWKX-UHFFFAOYSA-N,Oc1ccc2cc(OCC(O)CNCCc3ccccc3)ccc2n1,392.46,2.94,9,2.999,ok,0,1,0.1546,0.1122,56d,YL2056,0.78,56d,c1ccc(CCNCCCOc2ccc3ncccc3c2)cc1,,2,0.1368,0.11,0.7743,0.1478,0.1122,0.7743,0.1415,0.1087,0.7725,0.1546,0.1099,0.78,novel,novel,,ok,,unsure
CHEMBL4111013_ACR0,CHEMBL4111013,chembl,C=CC(=O)NC1=N[C@@]2(C(=O)N1CCc1ccncc1)c1cc(C#N)ccc1C[C@@]21C[C@@H](C)[C@H](O)[C@@H](C)C1,WOPHLURUZFHFAB-GOJCLBMJSA-N,C[C@@H]1C[C@@]2(Cc3ccc(C#N)cc3[C@]23N=C(N)N(CCc2ccncc2)C3=O)C[C@H](C)[C@H]1O,497.6,2.86,4,5.352,ok,0,1,0.1622,0.1364,56d,YL5084,0.78,YL5084,O=C1N(CCc2ccncc2)C=N[C@]12c1ccccc1CC21CCCCC1,,1,0.145,0.1364,0.78,0.1288,0.1081,0.78,0.1311,0.1154,0.6813,0.1622,0.0952,0.7127,novel,novel,,ok,,unsure
CHEMBL3623951_ACR0,CHEMBL3623951,chembl,C=CC(=O)NCCC(=O)Nc1ccc2nc(N3CCNCC3)[nH]c(=O)c2c1,ISVZNHQOQVHKRL-UHFFFAOYSA-N,NCCC(=O)Nc1ccc2nc(N3CCNCC3)[nH]c(=O)c2c1,370.41,-0.04,6,2.598,ok,0,1,0.2391,0.2093,56d,56d,0.78,JNK-IN-8,O=c1[nH]c(N2CCNCC2)nc2ccccc12,,0,0.1638,0.14,0.7053,0.1754,0.1546,0.7053,0.1714,0.1798,0.78,0.2391,0.2093,0.7044,novel,novel,,ok,,unsure
CHEMBL3650833_ACR0,CHEMBL3650833,chembl,C=CC(=O)NC1=NC2(CO1)c1cc(-c3cncnc3)ccc1OC(CC1CC1)C21COC1,QZKJWFICQUCUPX-UHFFFAOYSA-N,NC1=NC2(CO1)c1cc(-c3cncnc3)ccc1OC(CC1CC1)C21COC1,432.48,2.61,4,5.068,ok,0,1,0.1863,0.1354,56d,JNK-IN-8,0.7799,YL5084,C1=NC2(CO1)c1cc(-c3cncnc3)ccc1OC(CC1CC1)C21COC1,,0,0.136,0.1028,0.7799,0.1371,0.1048,0.7799,0.1712,0.1354,0.6321,0.1863,0.0909,0.6042,novel,novel,,ok,,unsure
CHEMBL1852269_ACR0,CHEMBL1852269,chembl,C=CC(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@H](C(=O)NO)c1ccccc1,WJMVJLWOVFVPQN-HKUYNNGSSA-N,O=C(N[C@H](C(=O)NO)c1ccccc1)[C@@H]1Cc2ccccc2CN1,379.42,1.49,5,3.18,ok,0,1,0.1667,0.1444,56d,YL2056,0.7798,56d,O=C(NCc1ccccc1)[C@@H]1Cc2ccccc2CN1,,0,0.125,0.1413,0.6153,0.1261,0.1444,0.6153,0.0857,0.1034,0.6737,0.1667,0.131,0.7798,novel,novel,,ok,,unsure
