target,seed,exhaustiveness,rmsd_mode1,rmsd_best_of_9,best_of_9_mode,pass_best_of_9_lt2
4L23,20260727,16,0.624,0.624,1,True
4JT6,20260727,16,7.118,0.445,3,True
