target,seed,exhaustiveness,rmsd_mode1,rmsd_best_of_9,best_of_9_mode,pass_mode1_lt2,pass_best_of_9_lt2,rmsd_rtm_best,rtm_best_mode
4L23,20260727,8,0.624,0.624,1,True,True,,
4JT6,20260727,8,7.118,5.003,2,False,False,,
