repurposing_id,chembl_id,name,canonical_smiles,p_active_nlrp3,mw_pool,ok,has_carboxylate,has_tetrazole,has_acyl_sulfonamide,mw,hbd,hba,logp,rotbonds,tpsa,pass_veber,pass_ro5_hb,pass_mw_200_550,pass_chemistry_soft
REP_01593,CHEMBL1256686,CALCIMYCIN,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O,1.0,523.63,True,True,False,False,523.6300000000003,3,7,5.529800000000005,7,126.68000000000002,True,True,True,True
REP_05922,CHEMBL3912251,ONO-8539,Cc1cc(C(=O)O)ccc1COc1cc2c(cc1N(CC(C)C)S(=O)(=O)c1nccs1)CCC2,1.0,500.64,True,True,False,False,500.6420000000003,1,6,5.068720000000004,9,96.8,True,True,True,True
REP_03238,CHEMBL2104984,SODELGLITAZAR,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)O,1.0,499.55,True,True,False,False,499.5510000000002,1,5,7.119140000000007,7,59.42,True,True,True,True
REP_01122,CHEMBL483158,ALISERTIB,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,1.0,518.93,True,True,False,False,518.9320000000004,2,7,5.746100000000004,6,105.92999999999999,True,True,True,True
REP_04971,CHEMBL2153191,AZD-4017,CCCSc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,1.0,419.59,True,True,False,False,419.59100000000024,2,5,4.337300000000003,8,82.53,True,True,True,True
REP_07580,CHEMBL1215331,PF-03882845,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,1.0,419.91,True,True,False,False,419.91200000000026,1,4,5.255380000000004,3,76.69,True,True,True,True
REP_06464,CHEMBL431651,ENRASENTAN,CCCOc1ccc2c(c1)[C@@H](c1ccc(OC)cc1OCCO)[C@H](C(=O)O)[C@H]2c1ccc2c(c1)OCO2,1.0,506.55,True,True,False,False,506.55100000000033,2,7,4.562000000000003,10,103.68000000000002,True,True,True,True
REP_07120,CHEMBL5314911,BMS-986310,CC(C)NC(=O)c1ccc2c(c1)[C@]1(CCO2)C[C@H]1C(=O)Nc1cc(C#N)ccc1CCCC(=O)O,1.0,475.55,True,True,False,False,475.54500000000024,3,5,3.782680000000002,8,128.51999999999998,True,True,True,True
REP_01485,CHEMBL1207366,GW468816,O=C(O)C1C/C(=C2/CCN(c3ccccc3)C2=O)c2ccc(Cl)cc2N1,1.0,368.82,True,True,False,False,368.8200000000001,2,3,3.7993000000000023,2,69.64,True,True,True,True
REP_06855,CHEMBL5095075,ONRADIVIR,O=C(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nc(C2CC2)c1F,1.0,440.45,True,True,False,False,440.45400000000024,3,6,3.871800000000002,5,116.68,True,True,True,True
