repurposing_id,canonical_smiles,status,pdbqt
REP_08262,N#Cc1c(-c2cc(NC(=O)c3cc(F)cc(C(F)(F)F)c3)c3c(c2)C(=O)N[C@H]3c2cc(F)ccc2Cl)ccc2ncnn12,prepared,results/repurposing/ligands_p05/REP_08262.pdbqt
REP_02480,COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C1=O,prepared,results/repurposing/ligands_p05/REP_02480.pdbqt
REP_08230,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,prepared,results/repurposing/ligands_p05/REP_08230.pdbqt
REP_04666,Cc1ccc(-c2ncccn2)c(C(=O)N2C[C@H](COc3ccc(F)cn3)CC[C@H]2C)c1,prepared,results/repurposing/ligands_p05/REP_04666.pdbqt
REP_08213,CC(C)OC(=O)[C@@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,prepared,results/repurposing/ligands_p05/REP_08213.pdbqt
REP_01984,Cc1c(S(=O)(=O)O)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,prepared,results/repurposing/ligands_p05/REP_01984.pdbqt
REP_08127,CCN(Cc1nc2c(N)nc3cc(-c4cc[nH]n4)ccc3c2[nH]1)C(C)=O,prepared,results/repurposing/ligands_p05/REP_08127.pdbqt
REP_04980,Cc1cnc(C(=O)c2ncnc3[nH]ccc23)c(NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c1,prepared,results/repurposing/ligands_p05/REP_04980.pdbqt
REP_06645,CC(=O)c1nn(CC(=O)N2[C@H](C(=O)Nc3nc(Br)ccc3C)C[C@@]3(C)C[C@@H]23)c2ccc(-c3cnc(C)nc3)cc12,prepared,results/repurposing/ligands_p05/REP_06645.pdbqt
REP_07200,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,prepared,results/repurposing/ligands_p05/REP_07200.pdbqt
REP_04368,CCCCCC(C)(O)CS[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)Oc1ccc(NC(=O)c2ccccc2)cc1,prepared,results/repurposing/ligands_p05/REP_04368.pdbqt
REP_01593,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O,prepared,results/repurposing/ligands_p05/REP_01593.pdbqt
REP_04376,OCCC1CCN(CC/C=C2/c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,prepared,results/repurposing/ligands_p05/REP_04376.pdbqt
