slice,n_human_single_protein_targets,n_targets_with_map,n_unordered_pairs_possible,n_pairs_n_both_ge_1,n_pairs_n_both_ge_10,n_directional_n10,n_formulation_n10,n_strict_thick,n_strict_thick_nonmetal,n_thin_or_thick
all,5869,4672,10911456,2164618,63790,5253,4564,86,78,275
conf8,5869,4672,10911456,2164618,63790,5253,4564,86,78,275
