channel,pair,label_rule,bootstrap,n_dual,n_A_only,n_B_only,n_neither,n_scored_both_ends,auroc_D_vs_A_pocketB,auroc_D_vs_B_pocketA,summary_min,ci_lo,ci_hi,n_boot_ok,D_vs_neither_mean,D_vs_neither_ci_lo,D_vs_neither_ci_hi,note
vina_seed20260813,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.6377,0.4688,0.4688,0.3278,0.6018,2000,0.5513,0.3594,0.7522,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260814,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.437,0.3659,0.3659,0.2269,0.4975,2000,0.5668,0.394,0.7351,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260814,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5938,0.3955,0.3955,0.2571,0.5377,2000,0.7835,0.6116,0.9152,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260814,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5879,0.752,0.5879,0.4392,0.7217,2000,0.7589,0.5848,0.9062,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260814,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,32,31,32,14,109,0.6946,0.6729,0.6729,0.5295,0.7579,2000,0.7054,0.5246,0.8571,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260814,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.6182,0.4482,0.4482,0.2957,0.5858,2000,0.5826,0.3906,0.7656,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_fiveseed_per_ligand_median,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,12,107,0.432,0.3619,0.3619,0.2211,0.4928,2000,0.5134,0.344,0.6828,per-ligand median of five Vina seeds; not a Table 2 replacement; primary remains 20260727
vina_fiveseed_per_ligand_median,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.5796,0.3715,0.3715,0.2375,0.5121,2000,0.7673,0.5922,0.9079,per-ligand median of five Vina seeds; not a Table 2 replacement; primary remains 20260727
vina_fiveseed_per_ligand_median,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5791,0.7446,0.5791,0.4325,0.7136,2000,0.7411,0.5737,0.884,per-ligand median of five Vina seeds; not a Table 2 replacement; primary remains 20260727
vina_fiveseed_per_ligand_median,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,32,31,32,14,109,0.6915,0.6719,0.6719,0.5202,0.7546,2000,0.7254,0.5335,0.8817,per-ligand median of five Vina seeds; not a Table 2 replacement; primary remains 20260727
