pair,n_ranked,n_dual,n_A_only,n_B_only,n_neither,top_fraction,top_k,top_k_fraction,top_dual,top_A_only,top_B_only,top_neither,top_dual_fraction,top_ligand_ids,threshold,n_filter_input,retained_dual,retained_A_only,retained_B_only,dual_recall,dual_precision,filter_rule,tie_rule,ranking_rule
EGFR/HER2,110,28,38,32,12,0.1,11,0.1,1,5,5,0,0.09090909090909091,EH40_04;EH40_18;EH120_088;EH40_28;EH120_062;EH120_085;EH40_23;EH120_072;EH120_061;EH120_087;EH120_092,9.6995,98,14,9,24,0.5,0.2978723404255319,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID,top 10% on full four-state panel; k=ceil(0.10 n)
JAK1/JAK2,110,32,32,32,14,0.1,11,0.1,6,5,0,0,0.5454545454545454,J1J2_074;J1J2_081;J1J2_072;J1J2_031;J1J2_075;J1J2_096;J1J2_029;J1J2_026;J1J2_013;J1J2_027;J1J2_088,9.1935,96,16,13,6,0.5,0.45714285714285713,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID,top 10% on full four-state panel; k=ceil(0.10 n)
JAK1/TYK2,109,31,32,32,14,0.1,11,0.10091743119266056,1,3,7,0,0.09090909090909091,J1TYK2_006;J1TYK2_064;J1TYK2_042;J1TYK2_056;J1TYK2_058;J1TYK2_046;J1TYK2_069;J1TYK2_060;J1TYK2_023;J1TYK2_063;J1TYK2_009,8.829,95,16,12,22,0.5161290322580645,0.32,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID,top 10% on full four-state panel; k=ceil(0.10 n)
PIK3CA/mTOR,48,18,14,12,4,0.1,5,0.10416666666666667,4,1,0,0,0.8,PM48_04;PM48_02;PM48_31;PM48_07;PM48_10,8.24,44,9,4,4,0.5,0.5294117647058824,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID,top 10% on full four-state panel; k=ceil(0.10 n)
AChE/BChE,95,27,25,28,15,0.1,10,0.10526315789473684,5,3,1,1,0.5,AB_004;AB_057;AB_030;AB_005;AB_017;AB_026;AB_098;AB_027;AB_048;AB_037,9.764,80,14,7,11,0.5185185185185185,0.4375,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID,top 10% on full four-state panel; k=ceil(0.10 n)
F2/F10,107,31,32,32,12,0.1,11,0.102803738317757,4,1,6,0,0.36363636363636365,F2F10_061;F2F10_096;F2F10_086;F2F10_058;F2F10_046;F2F10_068;F2F10_021;F2F10_053;F2F10_081;F2F10_054;F2F10_055,8.758,95,16,20,23,0.5161290322580645,0.2711864406779661,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID,top 10% on full four-state panel; k=ceil(0.10 n)
PPARG/PPARA,109,32,31,32,14,0.1,11,0.10091743119266056,7,3,0,1,0.6363636363636364,PGPA_074;PGPA_069;PGPA_102;PGPA_001;PGPA_096;PGPA_011;PGPA_068;PGPA_009;PGPA_087;PGPA_067;PGPA_083,8.881499999999999,95,16,9,6,0.5,0.5161290322580645,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID,top 10% on full four-state panel; k=ceil(0.10 n)
PPARA/PPARD,110,32,32,32,14,0.1,11,0.1,5,2,3,1,0.45454545454545453,PAPD_104;PAPD_085;PAPD_018;PAPD_033;PAPD_017;PAPD_064;PAPD_082;PAPD_055;PAPD_070;PAPD_075;PAPD_076,8.714500000000001,96,16,22,20,0.5,0.27586206896551724,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID,top 10% on full four-state panel; k=ceil(0.10 n)
