target,seed,exhaustiveness,rmsd_mode1,rmsd_best_of_9,best_of_9_mode,pass_mode1_lt2,pass_best_of_9_lt2,job_id
4L23,20260727,16,0.624,0.624,1,True,True,B16_A
4JT6,20260727,16,7.118,0.445,3,False,True,B16_B
4JT6,7,16,7.123,0.314,3,False,True,B16_C
4JT6,42,16,7.123,1.374,5,False,True,B16_D
