ligand,4L23_affinity_E8,4JT6_affinity_E8
PM48_01,-9.354,-9.523
PM48_02,-9.162,-10.95
PM48_03,-7.47,-8.53
PM48_04,-9.758,-10.54
PM48_05,-9.634,-8.887
PM48_06,-8.186,-9.307
PM48_07,-9.278,-10.49
PM48_08,-7.545,-9.036
PM48_09,-8.379,-8.307
PM48_10,-7.976,-10.11
PM48_11,-8.025,-9.161
PM48_12,-8.815,-8.978
PM48_13,-8.28,-8.551
PM48_14,-7.798,-8.548
PM48_15,-7.938,-8.217
PM48_16,-8.751,-7.762
PM48_17,-7.995,-8.497
PM48_18,-8.948,-8.567
PM48_19,-6.238,-6.128
PM48_20,-8.805,-8.865
PM48_21,-8.292,-9.275
PM48_22,-7.359,-7.951
PM48_23,-7.65,-7.804
PM48_24,-7.537,-6.8
PM48_25,-6.082,-6.747
PM48_26,-9.116,-8.879
PM48_27,-8.47,-8.08
PM48_28,-8.272,-9.303
PM48_29,-8.311,-7.718
PM48_30,-7.868,-8.12
PM48_31,-9.315,-10.74
PM48_32,-7.58,-8.194
PM48_33,-7.959,-9.249
PM48_34,-8.363,-9.074
PM48_35,-8.273,-8.775
PM48_36,-8.316,-9.298
PM48_37,-7.835,-7.888
PM48_38,-8.168,-8.991
PM48_39,-8.102,-8.309
PM48_40,-7.547,-8.02
PM48_41,-8.435,-6.877
PM48_42,-7.898,-8.239
PM48_43,-7.995,-9.834
PM48_44,-8.002,-8.35
PM48_45,-9.596,-9.339
PM48_46,-8.523,-9.174
PM48_47,,-8.408
PM48_48,-8.354,-8.14
