pair,seed,n_complete,n_dual,n_A_only,n_B_only,n_neither,auroc_dual_vs_A_only,auroc_dual_vs_B_only,summary_min,auroc_dual_vs_neither_vina_mean,mean_marginal_pocket_auroc_D_vs_neither,formulation_gap_neither_minus_summary_min
AChE/BChE,20260727,96,27,26,28,15,0.6524,0.6058,0.6058,0.6494,0.6494,0.0436
AChE/BChE,20260811,91,26,23,27,15,0.6045,0.6396,0.6045,0.6564,0.6564,0.0519
AChE/BChE,20260812,90,25,23,27,15,0.5696,0.6104,0.5696,0.6427,0.6427,0.0731
AChE/BChE,20260813,91,25,24,27,15,0.6067,0.6104,0.6067,0.656,0.656,0.0493
AChE/BChE,20260814,90,25,23,27,15,0.5583,0.6119,0.5583,0.656,0.656,0.0977
EGFR/HER2,20260727,110,28,38,32,12,0.6607,0.3237,0.3237,0.7589,0.7589,0.4353
EGFR/HER2,20260811,110,28,38,32,12,0.672,0.3304,0.3304,0.7649,0.7649,0.4345
EGFR/HER2,20260812,110,28,38,32,12,0.6786,0.3482,0.3482,0.7738,0.7738,0.4256
EGFR/HER2,20260813,110,28,38,32,12,0.6682,0.3248,0.3248,0.7649,0.7649,0.4401
EGFR/HER2,20260814,110,28,38,32,12,0.6673,0.3504,0.3504,0.7649,0.7649,0.4144
PIK3CA/mTOR,20260727,48,18,14,12,4,0.7143,0.6921,0.6921,0.5139,0.5278,-0.1782
PIK3CA/mTOR,20260811,48,18,14,12,4,0.746,0.713,0.713,0.5278,0.5486,-0.1852
PIK3CA/mTOR,20260812,48,18,14,12,4,0.7262,0.7778,0.7262,0.5556,0.5486,-0.1706
PIK3CA/mTOR,20260813,48,18,14,12,4,0.7381,0.6759,0.6759,0.4861,0.5347,-0.1898
PIK3CA/mTOR,20260814,48,18,14,12,4,0.744,0.7037,0.7037,0.5278,0.5347,-0.1759
