channel,pair,n_dual,n_A_only,n_B_only,n_boot_ok,matched_D_vs_A,matched_D_vs_B,matched_summary_min,matched_ci_lo,matched_ci_hi,wrong_D_vs_A,wrong_D_vs_B,wrong_summary_min,wrong_ci_lo,wrong_ci_hi,delta_matched_minus_wrong,delta_ci_lo,delta_ci_hi,ci_excludes_zero
vina_20260727,F2/F10,31,32,32,2000,0.4133,0.3448,0.3448,0.2087,0.4764,0.4506,0.3755,0.3755,0.2369,0.5162,-0.0307,-0.1171,0.0402,False
vina_20260727,JAK1/TYK2,31,32,32,2000,0.5751,0.3649,0.3649,0.2377,0.5098,0.5151,0.4294,0.4294,0.2903,0.5466,-0.0645,-0.1524,0.0377,False
vina_20260727,JAK1/JAK2,32,32,32,2000,0.5884,0.7275,0.5884,0.4429,0.7139,0.6074,0.7231,0.6074,0.4634,0.7323,-0.019,-0.0972,0.0542,False
vina_20260727,PPARG/PPARA,32,31,32,2000,0.6492,0.7061,0.6492,0.4995,0.7478,0.6512,0.6196,0.6196,0.4613,0.712,0.0296,-0.0805,0.1627,False
vina_20260727,PPARA/PPARD,32,32,32,2000,0.6465,0.4463,0.4463,0.2969,0.5888,0.4346,0.499,0.4346,0.2864,0.5417,0.0117,-0.0918,0.1452,False
vina_fiveseed_per_ligand_median,F2/F10,31,32,32,2000,0.432,0.3619,0.3619,0.2238,0.4879,0.4577,0.3921,0.3921,0.2482,0.5292,-0.0302,-0.1267,0.045,False
vina_fiveseed_per_ligand_median,JAK1/TYK2,31,32,32,2000,0.5796,0.3715,0.3715,0.2405,0.5134,0.5202,0.437,0.437,0.2903,0.5556,-0.0655,-0.1544,0.0389,False
vina_fiveseed_per_ligand_median,JAK1/JAK2,32,32,32,2000,0.5791,0.7446,0.5791,0.4356,0.7107,0.5996,0.7119,0.5996,0.4641,0.7317,-0.0205,-0.0979,0.0509,False
vina_fiveseed_per_ligand_median,PPARG/PPARA,32,31,32,2000,0.6915,0.6719,0.6719,0.5232,0.7605,0.6094,0.6484,0.6094,0.4581,0.7036,0.0625,-0.0551,0.1792,False
vina_fiveseed_per_ligand_median,PPARA/PPARD,32,32,32,2000,0.6211,0.4492,0.4492,0.3062,0.5868,0.4189,0.4663,0.4189,0.2663,0.5245,0.0303,-0.0631,0.166,False
rtm_best9,F2/F10,31,32,32,2000,0.6079,0.5907,0.5907,0.4279,0.6875,0.5867,0.4486,0.4486,0.3055,0.5788,0.1421,0.0,0.2351,False
rtm_best9,JAK1/TYK2,31,32,32,2000,0.624,0.6099,0.6099,0.452,0.7109,0.5696,0.4113,0.4113,0.2673,0.5484,0.1986,0.0324,0.3175,True
