ligand_id,seed,target,sdf,n_poses,C1_P2star,C1_VS,C1_P2max,C1_P0,selected_mode_cnnscore,rmsd_cnnscore_selected,rmsd_top1_by_order,rmsd_best_of_n,acid_arg477_min_A,acid_arg477_best_of_n_A,pass_rmsd,pass_acid_arg477,pass
lesinurad,42,urat1_9dkb,data/campaigns/c1/02_selfdock/urat1_9dkb/seed42/lesinurad_out.sdf,9,7.34828377,6.911253756089111,7.34828377,0.940526247,1,4.297886016209987,4.297886016209987,1.1803749051325452,14.107409436179271,2.985188101276026,False,False,False
NP3-146,42,nlrp3_7alv,data/campaigns/c1/02_selfdock/nlrp3_7alv/seed42/NP3-146_out.sdf,9,7.45910025,7.249358048761457,7.45910025,0.971881032,1,0.8208828930718026,0.8208828930718026,0.6794826886226978,,,True,,True
lesinurad,43,urat1_9dkb,data/campaigns/c1/02_selfdock/urat1_9dkb/seed43/lesinurad_out.sdf,9,7.36211061,6.947731843716533,7.36211061,0.943714678,1,4.311697896420853,4.311697896420853,4.311697896420853,14.12549942479911,2.945781729863904,False,False,False
NP3-146,43,nlrp3_7alv,data/campaigns/c1/02_selfdock/nlrp3_7alv/seed43/NP3-146_out.sdf,9,7.41119528,7.156150429913118,7.41119528,0.965586543,1,0.6675196238882132,0.6675196238882132,0.6675196238882132,,,True,,True
lesinurad,44,urat1_9dkb,data/campaigns/c1/02_selfdock/urat1_9dkb/seed44/lesinurad_out.sdf,9,7.19869232,6.513022376320932,7.19869232,0.904750764,1,4.878339398982675,4.878339398982675,3.8738786818467443,13.772946634616712,3.0596414822655196,False,False,False
NP3-146,44,nlrp3_7alv,data/campaigns/c1/02_selfdock/nlrp3_7alv/seed44/NP3-146_out.sdf,9,7.40845537,7.14905590629466,7.40845537,0.964986026,1,0.6829418615130404,0.6829418615130404,0.6829418615130404,,,True,,True
