ligand,seed,mode,CNNscore,CNNaffinity,rmsd,acid_arg477,selected_by_cnnscore,rmsd_method
lesinurad,42,1,0.940526247,7.34828377,4.297886016209987,14.107409436179271,True,
lesinurad,42,2,0.889491022,7.25366402,4.871093092588835,13.779050475268606,False,
lesinurad,42,3,0.692628026,6.87019682,4.745278341853791,12.944431737237437,False,
lesinurad,42,4,0.678801417,6.62296247,4.683916074361995,12.449414283411084,False,
lesinurad,42,5,0.67098254,6.97009897,2.0350883989809043,10.710445088790648,False,
lesinurad,42,6,0.670793176,6.56401682,5.058092151032181,3.9267220426202694,False,
lesinurad,42,7,0.642901361,6.72607756,1.1803749051325452,6.116582787799083,False,
lesinurad,42,8,0.62732774,6.50742483,5.766353996822139,3.042443754615688,False,
lesinurad,42,9,0.625947595,6.63164902,5.046129263273649,2.985188101276026,False,
lesinurad,43,1,0.943714678,7.36211061,4.311697896420853,14.12549942479911,True,
lesinurad,43,2,0.801610649,6.93987226,4.791675694194393,13.29961334024414,False,
lesinurad,43,3,0.771478295,6.8325572,4.784579148159217,13.304255860438035,False,
lesinurad,43,4,0.715349972,6.60151911,4.846426634645366,7.019541366784582,False,
lesinurad,43,5,0.680831134,6.76567888,4.607702093596475,13.084757582775463,False,
lesinurad,43,6,0.660731316,6.5624485,5.0822205981572015,2.9756663119375464,False,
lesinurad,43,7,0.637030959,6.56501007,5.256655677963573,3.0034873064489536,False,
lesinurad,43,8,0.618129492,6.64230871,5.0701242999227025,2.945781729863904,False,
lesinurad,43,9,0.616280019,6.50614023,5.791108101362524,3.077992202719165,False,
lesinurad,44,1,0.904750764,7.19869232,4.878339398982675,13.772946634616712,True,
lesinurad,44,2,0.866775095,7.03269911,4.188230791953406,13.671236776531956,False,
lesinurad,44,3,0.832185984,6.88496017,4.781394610013555,13.376979218044704,False,
lesinurad,44,4,0.827785313,7.12915039,3.97260697359639,13.134420961732573,False,
lesinurad,44,5,0.746032953,6.17443323,3.8738786818467443,3.0596414822655196,False,
lesinurad,44,6,0.71249032,6.57579422,4.845888033511848,5.983365858778812,False,
lesinurad,44,7,0.679266632,6.73350716,4.38132469979115,12.861944876261902,False,
lesinurad,44,8,0.666584134,6.57975769,5.051200026561346,3.1246639819346913,False,
lesinurad,44,9,0.628572941,6.51358795,5.76652614954041,3.0608072464629315,False,
NP3-146,42,1,0.971881032,7.45910025,,,True,no_match
NP3-146,42,2,0.96419704,7.40952635,,,False,no_match
NP3-146,42,3,0.937822938,7.21510267,,,False,no_match
NP3-146,42,4,0.207347393,4.46331739,,,False,no_match
NP3-146,42,5,0.201683104,4.60740471,,,False,no_match
NP3-146,42,6,0.179700971,5.63931131,,,False,no_match
NP3-146,42,7,0.174275771,5.38014793,,,False,no_match
NP3-146,42,8,0.171562001,5.9898982,,,False,no_match
NP3-146,42,9,0.1647266,4.12423277,,,False,no_match
NP3-146,43,1,0.965586543,7.41119528,,,True,no_match
NP3-146,43,2,0.956785917,7.3516593,,,False,no_match
NP3-146,43,3,0.952039182,7.11780596,,,False,no_match
NP3-146,43,4,0.205392122,4.46505499,,,False,no_match
NP3-146,43,5,0.170158327,6.1377964,,,False,no_match
NP3-146,43,6,0.166880339,4.94482088,,,False,no_match
NP3-146,43,7,0.149372876,5.41593552,,,False,no_match
NP3-146,43,8,0.140197009,5.55947733,,,False,no_match
NP3-146,43,9,0.13788043,3.87569976,,,False,no_match
NP3-146,44,1,0.964986026,7.40845537,,,True,no_match
NP3-146,44,2,0.958832085,7.36214304,,,False,no_match
NP3-146,44,3,0.945578158,7.14563704,,,False,no_match
NP3-146,44,4,0.22983472,5.44677353,,,False,no_match
NP3-146,44,5,0.196886122,5.942945,,,False,no_match
NP3-146,44,6,0.180934399,4.19459867,,,False,no_match
NP3-146,44,7,0.17412582,6.03271723,,,False,no_match
NP3-146,44,8,0.151394397,4.89188719,,,False,no_match
NP3-146,44,9,0.150405779,5.97812033,,,False,no_match
