seed,mode,rmsd,arg,cnn,ok_rmsd,ok_arg,ok_both
42,1,4.297886016209987,14.107409436179271,0.940526247,False,False,False
42,2,4.871093092588835,13.779050475268606,0.889491022,False,False,False
42,3,4.745278341853791,12.944431737237437,0.692628026,False,False,False
42,4,4.683916074361995,12.449414283411084,0.678801417,False,False,False
42,5,2.0350883989809043,10.710445088790648,0.67098254,False,False,False
42,6,5.058092151032181,3.9267220426202694,0.670793176,False,True,False
42,7,1.1803749051325452,6.116582787799083,0.642901361,True,False,False
42,8,5.766353996822139,3.042443754615688,0.62732774,False,True,False
42,9,5.046129263273649,2.985188101276026,0.625947595,False,True,False
43,1,4.311697896420853,14.12549942479911,0.943714678,False,False,False
43,2,4.791675694194393,13.29961334024414,0.801610649,False,False,False
43,3,4.784579148159217,13.304255860438035,0.771478295,False,False,False
43,4,4.846426634645366,7.019541366784582,0.715349972,False,False,False
43,5,4.607702093596475,13.084757582775463,0.680831134,False,False,False
43,6,5.0822205981572015,2.9756663119375464,0.660731316,False,True,False
43,7,5.256655677963573,3.0034873064489536,0.637030959,False,True,False
43,8,5.0701242999227025,2.945781729863904,0.618129492,False,True,False
43,9,5.791108101362524,3.077992202719165,0.616280019,False,True,False
44,1,4.878339398982675,13.772946634616712,0.904750764,False,False,False
44,2,4.188230791953406,13.671236776531956,0.866775095,False,False,False
44,3,4.781394610013555,13.376979218044704,0.832185984,False,False,False
44,4,3.97260697359639,13.134420961732573,0.827785313,False,False,False
44,5,3.8738786818467443,3.0596414822655196,0.746032953,False,True,False
44,6,4.845888033511848,5.983365858778812,0.71249032,False,False,False
44,7,4.38132469979115,12.861944876261902,0.679266632,False,False,False
44,8,5.051200026561346,3.1246639819346913,0.666584134,False,True,False
44,9,5.76652614954041,3.0608072464629315,0.628572941,False,True,False
